a,eps,budget,seed,w2_abs,solved
1.05,0.050000000000000044,1000,0,0.36871248486050284,False
1.05,0.050000000000000044,1000,1,1.3359100580399994,False
1.05,0.050000000000000044,1000,2,2.0682375587323416,False
1.05,0.050000000000000044,1000,3,1.2188983167291223,False
1.05,0.050000000000000044,1000,4,0.6890979295694325,False
1.05,0.050000000000000044,1000,5,1.5426161493402497,False
1.05,0.050000000000000044,1000,6,0.7685478465100245,False
1.05,0.050000000000000044,1000,7,2.310847872070745,False
1.05,0.050000000000000044,1000,8,0.6699211013602473,False
1.05,0.050000000000000044,1000,9,1.4006783150303372,False
1.05,0.050000000000000044,1000,10,1.9291610102646752,False
1.05,0.050000000000000044,1000,11,0.4871904017173437,False
1.05,0.050000000000000044,1000,12,1.8646782113548064,False
1.05,0.050000000000000044,1000,13,0.4813608057693527,False
1.05,0.050000000000000044,1000,14,0.5414586630497688,False
1.05,0.050000000000000044,1000,15,0.5493361931310603,False
1.05,0.050000000000000044,1000,16,0.3353166220081787,False
1.05,0.050000000000000044,1000,17,0.8775787149819904,False
1.05,0.050000000000000044,1000,18,1.4057237136507827,False
1.05,0.050000000000000044,1000,19,1.6667953961613022,False
1.05,0.050000000000000044,1000,20,1.089778356207651,False
1.05,0.050000000000000044,1000,21,0.90571890230727,False
1.05,0.050000000000000044,1000,22,0.8209272529894155,False
1.05,0.050000000000000044,1000,23,0.46864524855420275,False
1.05,0.050000000000000044,1000,24,0.3193774477297128,False
1.05,0.050000000000000044,1000,25,0.2983604748029927,False
1.05,0.050000000000000044,1000,26,0.41634393010029386,False
1.05,0.050000000000000044,1000,27,1.2668759999890389,False
1.05,0.050000000000000044,1000,28,1.1556002951585007,False
1.05,0.050000000000000044,1000,29,0.34070472160065346,False
1.05,0.050000000000000044,2000,0,0.6456171749975642,False
1.05,0.050000000000000044,2000,1,2.25914541133289,False
1.05,0.050000000000000044,2000,2,3.648928704374243,False
1.05,0.050000000000000044,2000,3,2.011960031742541,False
1.05,0.050000000000000044,2000,4,0.6897871912063859,False
1.05,0.050000000000000044,2000,5,2.6363340710684504,False
1.05,0.050000000000000044,2000,6,0.7177824691437436,False
1.05,0.050000000000000044,2000,7,4.008782118325673,False
1.05,0.050000000000000044,2000,8,0.6704719388016297,False
1.05,0.050000000000000044,2000,9,2.3603338191238477,False
1.05,0.050000000000000044,2000,10,3.3145771633556373,False
1.05,0.050000000000000044,2000,11,0.513729651468725,False
1.05,0.050000000000000044,2000,12,3.206629396283593,False
1.05,0.050000000000000044,2000,13,0.6579349748644265,False
1.05,0.050000000000000044,2000,14,0.5374066858156018,False
1.05,0.050000000000000044,2000,15,2.011824677295861,False
1.05,0.050000000000000044,2000,16,0.314223100751654,False
1.05,0.050000000000000044,2000,17,0.8797665555452489,False
1.05,0.050000000000000044,2000,18,2.393954756675015,False
1.05,0.050000000000000044,2000,19,2.8555060814450273,False
1.05,0.050000000000000044,2000,20,1.8385238589608734,False
1.05,0.050000000000000044,2000,21,1.0130213306359992,False
1.05,0.050000000000000044,2000,22,1.4981034406825569,False
1.05,0.050000000000000044,2000,23,2.0644130500363,False
1.05,0.050000000000000044,2000,24,2.3628111003277916,False
1.05,0.050000000000000044,2000,25,1.2408339136207787,False
1.05,0.050000000000000044,2000,26,1.0146909270765856,False
1.05,0.050000000000000044,2000,27,2.013202709653228,False
1.05,0.050000000000000044,2000,28,2.037756603975593,False
1.05,0.050000000000000044,2000,29,0.3606248241604914,False
1.05,0.050000000000000044,4000,0,2.7447343421753816,False
1.05,0.050000000000000044,4000,1,4.653347075755647,False
1.05,0.050000000000000044,4000,2,7.557578438195554,False
1.05,0.050000000000000044,4000,3,4.023155742597095,False
1.05,0.050000000000000044,4000,4,0.6931041222650797,False
1.05,0.050000000000000044,4000,5,5.582822757817465,False
1.05,0.050000000000000044,4000,6,3.2130791456379386,False
1.05,0.050000000000000044,4000,7,8.148222662823525,False
1.05,0.050000000000000044,4000,8,0.6731275108915257,False
1.05,0.050000000000000044,4000,9,4.873375830347249,False
1.05,0.050000000000000044,4000,10,6.790078300714517,False
1.05,0.050000000000000044,4000,11,3.1473262706859546,False
1.05,0.050000000000000044,4000,12,6.644663862934064,False
1.05,0.050000000000000044,4000,13,2.6388679802761574,False
1.05,0.050000000000000044,4000,14,0.5070921481788081,False
1.05,0.050000000000000044,4000,15,4.558301944994159,False
1.05,0.050000000000000044,4000,16,4.753690370352558,False
1.05,0.050000000000000044,4000,17,0.8902429795677386,False
1.05,0.050000000000000044,4000,18,4.930187084343499,False
1.05,0.050000000000000044,4000,19,5.988262447696556,False
1.05,0.050000000000000044,4000,20,3.703533562573571,False
1.05,0.050000000000000044,4000,21,1.307656156094851,False
1.05,0.050000000000000044,4000,22,3.020872171037894,False
1.05,0.050000000000000044,4000,23,6.320397517015269,False
1.05,0.050000000000000044,4000,24,5.583702837994402,False
1.05,0.050000000000000044,4000,25,2.7808043947884595,False
1.05,0.050000000000000044,4000,26,5.6132609736010926,False
1.05,0.050000000000000044,4000,27,3.8715794293477352,False
1.05,0.050000000000000044,4000,28,4.18768394717784,False
1.05,0.050000000000000044,4000,29,0.42628989957382196,False
1.05,0.050000000000000044,8000,0,9.095104985694542,False
1.05,0.050000000000000044,8000,1,13.31605952009907,False
1.05,0.050000000000000044,8000,2,17.860127700189427,False
1.05,0.050000000000000044,8000,3,11.946000729790892,False
1.05,0.050000000000000044,8000,4,0.7208983490200679,False
1.05,0.050000000000000044,8000,5,15.528460374306922,False
1.05,0.050000000000000044,8000,6,12.640479881756177,False
1.05,0.050000000000000044,8000,7,18.64288266177905,False
1.05,0.050000000000000044,8000,8,0.6999040145436228,False
1.05,0.050000000000000044,8000,9,13.688275591979368,False
1.05,0.050000000000000044,8000,10,16.724523133442563,False
1.05,0.050000000000000044,8000,11,12.391804058885825,False
1.05,0.050000000000000044,8000,12,16.561315035714927,False
1.05,0.050000000000000044,8000,13,9.966394855936757,False
1.05,0.050000000000000044,8000,14,8.606759430026415,False
1.05,0.050000000000000044,8000,15,13.335727944535627,False
1.05,0.050000000000000044,8000,16,15.363469585937933,False
1.05,0.050000000000000044,8000,17,0.9686995675723485,False
1.05,0.050000000000000044,8000,18,13.605699544986695,False
1.05,0.050000000000000044,8000,19,16.258987932440764,False
1.05,0.050000000000000044,8000,20,11.218408015147176,False
1.05,0.050000000000000044,8000,21,3.224267073419135,False
1.05,0.050000000000000044,8000,22,9.350694608730445,False
1.05,0.050000000000000044,8000,23,16.47243228504021,False
1.05,0.050000000000000044,8000,24,15.516917753799442,False
1.05,0.050000000000000044,8000,25,8.795006409360033,False
1.05,0.050000000000000044,8000,26,16.716167221500157,False
1.05,0.050000000000000044,8000,27,11.04379692321947,False
1.05,0.050000000000000044,8000,28,12.292978043929457,False
1.05,0.050000000000000044,8000,29,5.993556334168781,False
1.05,0.050000000000000044,16000,0,30.686568088099214,False
1.05,0.050000000000000044,16000,1,35.80826745287948,False
1.05,0.050000000000000044,16000,2,40.49145217812085,False
1.05,0.050000000000000044,16000,3,34.45715742155759,False
1.05,0.050000000000000044,16000,4,0.6907370650490364,False
1.05,0.050000000000000044,16000,5,38.36655742853063,False
1.05,0.050000000000000044,16000,6,34.97692299935817,False
1.05,0.050000000000000044,16000,7,41.29762392407581,False
1.05,0.050000000000000044,16000,8,0.8407357360543736,False
1.05,0.050000000000000044,16000,9,36.264481948807614,False
1.05,0.050000000000000044,16000,10,39.38610109442146,False
1.05,0.050000000000000044,16000,11,35.23171779997945,False
1.05,0.050000000000000044,16000,12,39.03373221650869,False
1.05,0.050000000000000044,16000,13,32.0862639601868,False
1.05,0.050000000000000044,16000,14,30.739472247341535,False
1.05,0.050000000000000044,16000,15,35.84918156386274,False
1.05,0.050000000000000044,16000,16,38.41807014666383,False
1.05,0.050000000000000044,16000,17,1.0676913721211136,False
1.05,0.050000000000000044,16000,18,35.93762368860417,False
1.05,0.050000000000000044,16000,19,39.06275373608515,False
1.05,0.050000000000000044,16000,20,33.51897991649874,False
1.05,0.050000000000000044,16000,21,23.783467685873113,False
1.05,0.050000000000000044,16000,22,31.201631049581323,False
1.05,0.050000000000000044,16000,23,39.15248033359235,False
1.05,0.050000000000000044,16000,24,38.163648236272444,False
1.05,0.050000000000000044,16000,25,30.623472432220716,False
1.05,0.050000000000000044,16000,26,39.82371252114292,False
1.05,0.050000000000000044,16000,27,32.87683558910445,False
1.05,0.050000000000000044,16000,28,34.697140257854905,False
1.05,0.050000000000000044,16000,29,27.506984499477163,False
1.05,0.050000000000000044,32000,0,73.864374380329,False
1.05,0.050000000000000044,32000,1,79.97907712136075,False
1.05,0.050000000000000044,32000,2,84.30411986683393,False
1.05,0.050000000000000044,32000,3,79.06211764963966,False
1.05,0.050000000000000044,32000,4,14.785919263953195,False
1.05,0.050000000000000044,32000,5,82.59455015491966,False
1.05,0.050000000000000044,32000,6,78.64520189948045,False
1.05,0.050000000000000044,32000,7,85.05435040566088,False
1.05,0.050000000000000044,32000,8,0.9567697937032517,False
1.05,0.050000000000000044,32000,9,80.78312684652681,False
1.05,0.050000000000000044,32000,10,83.58002813882985,False
1.05,0.050000000000000044,32000,11,79.79060066277745,False
1.05,0.050000000000000044,32000,12,82.33097000932126,False
1.05,0.050000000000000044,32000,13,76.65458338012073,False
1.05,0.050000000000000044,32000,14,75.44044700463694,False
1.05,0.050000000000000044,32000,15,80.05172903232688,False
1.05,0.050000000000000044,32000,16,82.81234717816365,False
1.05,0.050000000000000044,32000,17,0.9864452841736119,False
1.05,0.050000000000000044,32000,18,79.40916875606784,False
1.05,0.050000000000000044,32000,19,83.00265355184092,False
1.05,0.050000000000000044,32000,20,77.86918365644841,False
1.05,0.050000000000000044,32000,21,68.20807504584651,False
1.05,0.050000000000000044,32000,22,75.64091583572622,False
1.05,0.050000000000000044,32000,23,83.36146534242253,False
1.05,0.050000000000000044,32000,24,82.02685800559811,False
1.05,0.050000000000000044,32000,25,75.08696360959777,False
1.05,0.050000000000000044,32000,26,84.12760217461866,False
1.05,0.050000000000000044,32000,27,76.07508832547299,False
1.05,0.050000000000000044,32000,28,79.028649445569,False
1.05,0.050000000000000044,32000,29,72.3086119541827,False
1.1,0.10000000000000009,1000,0,0.36928217244190137,False
1.1,0.10000000000000009,1000,1,1.4850455347513682,False
1.1,0.10000000000000009,1000,2,2.335067974722956,False
1.1,0.10000000000000009,1000,3,1.3317754506816515,False
1.1,0.10000000000000009,1000,4,0.6860286135044574,False
1.1,0.10000000000000009,1000,5,1.7350434826880687,False
1.1,0.10000000000000009,1000,6,0.7693528881053104,False
1.1,0.10000000000000009,1000,7,2.5652603251134756,False
1.1,0.10000000000000009,1000,8,0.6659105591780782,False
1.1,0.10000000000000009,1000,9,1.5680897230944042,False
1.1,0.10000000000000009,1000,10,2.173379994018528,False
1.1,0.10000000000000009,1000,11,0.4862139984342734,False
1.1,0.10000000000000009,1000,12,2.101646971575679,False
1.1,0.10000000000000009,1000,13,0.47190195028163534,False
1.1,0.10000000000000009,1000,14,0.5333090119737418,False
1.1,0.10000000000000009,1000,15,0.47329213225021066,False
1.1,0.10000000000000009,1000,16,0.33576757096299376,False
1.1,0.10000000000000009,1000,17,0.8722468421618144,False
1.1,0.10000000000000009,1000,18,1.567565430469259,False
1.1,0.10000000000000009,1000,19,1.8645796646722004,False
1.1,0.10000000000000009,1000,20,1.1821656583982079,False
1.1,0.10000000000000009,1000,21,0.9005433687695438,False
1.1,0.10000000000000009,1000,22,0.8772621672005887,False
1.1,0.10000000000000009,1000,23,0.46824893095857206,False
1.1,0.10000000000000009,1000,24,0.34243726234404775,False
1.1,0.10000000000000009,1000,25,0.3058530653863641,False
1.1,0.10000000000000009,1000,26,0.41708358539979035,False
1.1,0.10000000000000009,1000,27,1.3577703473174798,False
1.1,0.10000000000000009,1000,28,1.2534216955210922,False
1.1,0.10000000000000009,1000,29,0.3392734042508447,False
1.1,0.10000000000000009,2000,0,0.5793151300039017,False
1.1,0.10000000000000009,2000,1,2.702683370184326,False
1.1,0.10000000000000009,2000,2,4.343548216797533,False
1.1,0.10000000000000009,2000,3,2.35414844716132,False
1.1,0.10000000000000009,2000,4,0.6866999277928851,False
1.1,0.10000000000000009,2000,5,3.1894910105869463,False
1.1,0.10000000000000009,2000,6,0.7223390134952242,False
1.1,0.10000000000000009,2000,7,4.649903229930894,False
1.1,0.10000000000000009,2000,8,0.6664332920974445,False
1.1,0.10000000000000009,2000,9,2.8421889260901363,False
1.1,0.10000000000000009,2000,10,3.964484091791616,False
1.1,0.10000000000000009,2000,11,0.510775769170678,False
1.1,0.10000000000000009,2000,12,3.8451217722768924,False
1.1,0.10000000000000009,2000,13,0.6426220910830938,False
1.1,0.10000000000000009,2000,14,0.5290030386660058,False
1.1,0.10000000000000009,2000,15,2.3356040255786192,False
1.1,0.10000000000000009,2000,16,0.317836987348606,False
1.1,0.10000000000000009,2000,17,0.8744358243703758,False
1.1,0.10000000000000009,2000,18,2.86967303546871,False
1.1,0.10000000000000009,2000,19,3.4309789498959034,False
1.1,0.10000000000000009,2000,20,2.1374069412998358,False
1.1,0.10000000000000009,2000,21,1.0055062725648052,False
1.1,0.10000000000000009,2000,22,1.7106992345917238,False
1.1,0.10000000000000009,2000,23,2.3797550988051253,False
1.1,0.10000000000000009,2000,24,2.750038723352967,False
1.1,0.10000000000000009,2000,25,1.3555574994044588,False
1.1,0.10000000000000009,2000,26,0.80684035548191,False
1.1,0.10000000000000009,2000,27,2.289333182963557,False
1.1,0.10000000000000009,2000,28,2.3898174029322234,False
1.1,0.10000000000000009,2000,29,0.35869120172831426,False
1.1,0.10000000000000009,4000,0,3.3491720267246747,False
1.1,0.10000000000000009,4000,1,6.037945834174307,False
1.1,0.10000000000000009,4000,2,9.092721591110692,False
1.1,0.10000000000000009,4000,3,5.186050461904178,False
1.1,0.10000000000000009,4000,4,0.6899306994468133,False
1.1,0.10000000000000009,4000,5,7.167726439716898,False
1.1,0.10000000000000009,4000,6,3.5969403381811684,False
1.1,0.10000000000000009,4000,7,9.51626333718652,False
1.1,0.10000000000000009,4000,8,0.6689536589252596,False
1.1,0.10000000000000009,4000,9,6.319477714826012,False
1.1,0.10000000000000009,4000,10,8.359611399779382,False
1.1,0.10000000000000009,4000,11,3.9575030501592683,False
1.1,0.10000000000000009,4000,12,8.218770727500491,False
1.1,0.10000000000000009,4000,13,3.2496950624050567,False
1.1,0.10000000000000009,4000,14,0.4919074049653748,False
1.1,0.10000000000000009,4000,15,5.8369415535323865,False
1.1,0.10000000000000009,4000,16,5.765685438489941,False
1.1,0.10000000000000009,4000,17,0.8849168207918064,False
1.1,0.10000000000000009,4000,18,6.353044823007482,False
1.1,0.10000000000000009,4000,19,7.608388015201008,False
1.1,0.10000000000000009,4000,20,4.763904208011801,False
1.1,0.10000000000000009,4000,21,1.2954948862649713,False
1.1,0.10000000000000009,4000,22,3.8431510574211547,False
1.1,0.10000000000000009,4000,23,7.605317516599337,False
1.1,0.10000000000000009,4000,24,7.035097949112699,False
1.1,0.10000000000000009,4000,25,3.4394820400529236,False
1.1,0.10000000000000009,4000,26,6.917128425646513,False
1.1,0.10000000000000009,4000,27,4.835030473198703,False
1.1,0.10000000000000009,4000,28,5.402724364535357,False
1.1,0.10000000000000009,4000,29,0.4232634607790719,False
1.1,0.10000000000000009,8000,0,11.687487414302387,False
1.1,0.10000000000000009,8000,1,16.332434884278694,False
1.1,0.10000000000000009,8000,2,20.269740971475535,False
1.1,0.10000000000000009,8000,3,14.971136620303383,False
1.1,0.10000000000000009,8000,4,0.7167508136969593,False
1.1,0.10000000000000009,8000,5,18.320663176321013,False
1.1,0.10000000000000009,8000,6,14.466415949659902,False
1.1,0.10000000000000009,8000,7,20.754746564007057,False
1.1,0.10000000000000009,8000,8,0.694395582520071,False
1.1,0.10000000000000009,8000,9,16.695461018579085,False
1.1,0.10000000000000009,8000,10,19.329911234416954,False
1.1,0.10000000000000009,8000,11,14.893035293671865,False
1.1,0.10000000000000009,8000,12,19.21596139420957,False
1.1,0.10000000000000009,8000,13,12.535680095577442,False
1.1,0.10000000000000009,8000,14,10.794666442316965,False
1.1,0.10000000000000009,8000,15,16.193190305673948,False
1.1,0.10000000000000009,8000,16,17.46509186135556,False
1.1,0.10000000000000009,8000,17,0.9638139024956174,False
1.1,0.10000000000000009,8000,18,16.598969554976417,False
1.1,0.10000000000000009,8000,19,18.9703516135647,False
1.1,0.10000000000000009,8000,20,14.192952284338826,False
1.1,0.10000000000000009,8000,21,3.661143792136106,False
1.1,0.10000000000000009,8000,22,12.227814247282428,False
1.1,0.10000000000000009,8000,23,18.709082819842394,False
1.1,0.10000000000000009,8000,24,18.15069218883162,False
1.1,0.10000000000000009,8000,25,11.49534999951746,False
1.1,0.10000000000000009,8000,26,18.853841463753252,False
1.1,0.10000000000000009,8000,27,13.871488990459186,False
1.1,0.10000000000000009,8000,28,15.296813962510456,False
1.1,0.10000000000000009,8000,29,7.343658065885799,False
1.1,0.10000000000000009,16000,0,34.7753752945856,False
1.1,0.10000000000000009,16000,1,39.833996813544076,True
1.1,0.10000000000000009,16000,2,43.85764664789864,True
1.1,0.10000000000000009,16000,3,38.491379256087875,False
1.1,0.10000000000000009,16000,4,0.688759376577156,False
1.1,0.10000000000000009,16000,5,42.00210428705921,True
1.1,0.10000000000000009,16000,6,37.863342218720014,True
1.1,0.10000000000000009,16000,7,44.33930039612209,True
1.1,0.10000000000000009,16000,8,0.8277598446367792,False
1.1,0.10000000000000009,16000,9,40.24759136409417,True
1.1,0.10000000000000009,16000,10,42.9329005166561,True
1.1,0.10000000000000009,16000,11,38.617549172027644,True
1.1,0.10000000000000009,16000,12,42.75750467825527,True
1.1,0.10000000000000009,16000,13,35.868776101880414,False
1.1,0.10000000000000009,16000,14,34.113622077525434,False
1.1,0.10000000000000009,16000,15,39.68201858262121,True
1.1,0.10000000000000009,16000,16,41.29759251386024,True
1.1,0.10000000000000009,16000,17,1.05558964124868,False
1.1,0.10000000000000009,16000,18,40.03492318318297,True
1.1,0.10000000000000009,16000,19,42.68119621687587,True
1.1,0.10000000000000009,16000,20,37.63473721344502,False
1.1,0.10000000000000009,16000,21,26.18036521490651,False
1.1,0.10000000000000009,16000,22,35.4347625930752,True
1.1,0.10000000000000009,16000,23,42.27468385610791,True
1.1,0.10000000000000009,16000,24,41.73383010000956,True
1.1,0.10000000000000009,16000,25,34.712168119917195,False
1.1,0.10000000000000009,16000,26,42.713032573388304,True
1.1,0.10000000000000009,16000,27,37.07314230815251,False
1.1,0.10000000000000009,16000,28,38.83572274363392,False
1.1,0.10000000000000009,16000,29,30.320084395065457,False
1.1,0.10000000000000009,32000,0,81.33695472297518,True
1.1,0.10000000000000009,32000,1,86.45074018377727,True
1.1,0.10000000000000009,32000,2,90.0762315695964,True
1.1,0.10000000000000009,32000,3,85.25216229581149,True
1.1,0.10000000000000009,32000,4,16.531521767401358,False
1.1,0.10000000000000009,32000,5,88.41045354168205,True
1.1,0.10000000000000009,32000,6,84.53882457527352,True
1.1,0.10000000000000009,32000,7,90.56957385182952,True
1.1,0.10000000000000009,32000,8,0.9439994474461708,False
1.1,0.10000000000000009,32000,9,86.75962497951588,True
1.1,0.10000000000000009,32000,10,89.43245555923713,True
1.1,0.10000000000000009,32000,11,84.96968926430934,True
1.1,0.10000000000000009,32000,12,89.16196450500688,True
1.1,0.10000000000000009,32000,13,82.41441745351052,True
1.1,0.10000000000000009,32000,14,80.79449712815975,True
1.1,0.10000000000000009,32000,15,86.41996291610604,True
1.1,0.10000000000000009,32000,16,87.64246529061131,True
1.1,0.10000000000000009,32000,17,0.9824838275609907,False
1.1,0.10000000000000009,32000,18,86.50664469792791,True
1.1,0.10000000000000009,32000,19,88.9432550974002,True
1.1,0.10000000000000009,32000,20,84.29611437275388,True
1.1,0.10000000000000009,32000,21,73.12278240402995,True
1.1,0.10000000000000009,32000,22,82.21154818379132,True
1.1,0.10000000000000009,32000,23,88.82232057091471,True
1.1,0.10000000000000009,32000,24,88.43583657133667,True
1.1,0.10000000000000009,32000,25,81.5488145258934,True
1.1,0.10000000000000009,32000,26,88.9150048728963,True
1.1,0.10000000000000009,32000,27,83.67184189012656,True
1.1,0.10000000000000009,32000,28,85.30407710341024,True
1.1,0.10000000000000009,32000,29,77.27196398425414,True
1.2,0.19999999999999996,1000,0,0.3703468974897037,False
1.2,0.19999999999999996,1000,1,1.7574498652602337,False
1.2,0.19999999999999996,1000,2,2.689623300471747,False
1.2,0.19999999999999996,1000,3,1.5494253231634907,False
1.2,0.19999999999999996,1000,4,0.6802788769145782,False
1.2,0.19999999999999996,1000,5,2.044812548312117,False
1.2,0.19999999999999996,1000,6,0.770809463333269,False
1.2,0.19999999999999996,1000,7,2.8603473115432627,False
1.2,0.19999999999999996,1000,8,0.6581854792561008,False
1.2,0.19999999999999996,1000,9,1.8688764040289036,False
1.2,0.19999999999999996,1000,10,2.533927720059036,False
1.2,0.19999999999999996,1000,11,0.48431451149914967,False
1.2,0.19999999999999996,1000,12,2.4557193576094485,False
1.2,0.19999999999999996,1000,13,0.4539870552085646,False
1.2,0.19999999999999996,1000,14,0.5172470505440545,False
1.2,0.19999999999999996,1000,15,0.22655315369294296,False
1.2,0.19999999999999996,1000,16,0.33682529494633767,False
1.2,0.19999999999999996,1000,17,0.8619126595152075,False
1.2,0.19999999999999996,1000,18,1.858041169250755,False
1.2,0.19999999999999996,1000,19,2.186200435167704,False
1.2,0.19999999999999996,1000,20,1.3574753427067192,False
1.2,0.19999999999999996,1000,21,0.8906666662335976,False
1.2,0.19999999999999996,1000,22,0.9876856574045579,False
1.2,0.19999999999999996,1000,23,0.46720622380354093,False
1.2,0.19999999999999996,1000,24,0.3814226637795904,False
1.2,0.19999999999999996,1000,25,0.31988305392102717,False
1.2,0.19999999999999996,1000,26,0.41846632110871107,False
1.2,0.19999999999999996,1000,27,1.526967718884287,False
1.2,0.19999999999999996,1000,28,1.4363202286263008,False
1.2,0.19999999999999996,1000,29,0.3365043618541908,False
1.2,0.19999999999999996,2000,0,0.2911831742431341,False
1.2,0.19999999999999996,2000,1,3.4361986778841267,False
1.2,0.19999999999999996,2000,2,5.0866001514171995,False
1.2,0.19999999999999996,2000,3,2.974665997464325,False
1.2,0.19999999999999996,2000,4,0.6809147549421866,False
1.2,0.19999999999999996,2000,5,3.9713093458754707,False
1.2,0.19999999999999996,2000,6,0.7303673482467252,False
1.2,0.19999999999999996,2000,7,5.25281700661463,False
1.2,0.19999999999999996,2000,8,0.6586577806991227,False
1.2,0.19999999999999996,2000,9,3.6150226003028068,False
1.2,0.19999999999999996,2000,10,4.754862049336814,False
1.2,0.19999999999999996,2000,11,0.5049205477561804,False
1.2,0.19999999999999996,2000,12,4.638157241323026,False
1.2,0.19999999999999996,2000,13,0.6132147996063084,False
1.2,0.19999999999999996,2000,14,0.5123243617061606,False
1.2,0.19999999999999996,2000,15,2.8470657950960514,False
1.2,0.19999999999999996,2000,16,0.32325802779794144,False
1.2,0.19999999999999996,2000,17,0.8641006863822498,False
1.2,0.19999999999999996,2000,18,3.6290931767675265,False
1.2,0.19999999999999996,2000,19,4.237410008067898,False
1.2,0.19999999999999996,2000,20,2.6786322194894723,False
1.2,0.19999999999999996,2000,21,0.9909847404789933,False
