search,depth,seed,eval_errors,dense_errors,separated,lr,errors_after_swap,train_errors
restarts,5,0,23,,False,,,
restarts,5,1,70,,False,,,
restarts,5,2,97,,False,,,
restarts,5,3,7,,False,,,
restarts,5,4,94,,False,,,
restarts,5,5,71,,False,,,
restarts,5,6,80,,False,,,
restarts,5,7,89,,False,,,
restarts,5,8,70,,False,,,
restarts,5,9,16,,False,,,
restarts,5,10,78,,False,,,
restarts,5,11,39,,False,,,
restarts,5,12,71,,False,,,
restarts,5,13,99,,False,,,
restarts,5,14,93,,False,,,
restarts,5,15,12,,False,,,
restarts,5,16,93,,False,,,
restarts,5,17,87,,False,,,
restarts,5,18,54,,False,,,
restarts,5,19,84,,False,,,
restarts,5,20,60,,False,,,
restarts,5,21,60,,False,,,
restarts,5,22,72,,False,,,
restarts,5,23,45,,False,,,
restarts,5,24,66,,False,,,
restarts,5,25,65,,False,,,
restarts,5,26,75,,False,,,
restarts,5,27,15,,False,,,
restarts,5,28,99,,False,,,
restarts,5,29,70,,False,,,
restarts,5,30,61,,False,,,
restarts,5,31,80,,False,,,
restarts,5,32,62,,False,,,
restarts,5,33,63,,False,,,
restarts,5,34,72,,False,,,
restarts,5,35,54,,False,,,
restarts,5,36,86,,False,,,
restarts,5,37,17,,False,,,
restarts,5,38,67,,False,,,
restarts,5,39,85,,False,,,
restarts,5,40,75,,False,,,
restarts,5,41,51,,False,,,
restarts,5,42,14,,False,,,
restarts,5,43,92,,False,,,
restarts,5,44,93,,False,,,
restarts,5,45,76,,False,,,
restarts,5,46,23,,False,,,
restarts,5,47,87,,False,,,
restarts,5,48,70,,False,,,
restarts,5,49,91,,False,,,
restarts,5,50,25,,False,,,
restarts,5,51,5,,False,,,
restarts,5,52,90,,False,,,
restarts,5,53,40,,False,,,
restarts,5,54,63,,False,,,
restarts,5,55,102,,False,,,
restarts,5,56,52,,False,,,
restarts,5,57,79,,False,,,
restarts,5,58,74,,False,,,
restarts,5,59,96,,False,,,
restarts,5,60,82,,False,,,
restarts,5,61,63,,False,,,
restarts,5,62,7,,False,,,
restarts,5,63,100,,False,,,
restarts,5,64,75,,False,,,
restarts,5,65,76,,False,,,
restarts,5,66,68,,False,,,
restarts,5,67,103,,False,,,
restarts,5,68,92,,False,,,
restarts,5,69,78,,False,,,
restarts,5,70,15,,False,,,
restarts,5,71,71,,False,,,
restarts,5,72,64,,False,,,
restarts,5,73,61,,False,,,
restarts,5,74,64,,False,,,
restarts,5,75,97,,False,,,
restarts,5,76,63,,False,,,
restarts,5,77,62,,False,,,
restarts,5,78,8,,False,,,
restarts,5,79,75,,False,,,
restarts,5,80,77,,False,,,
restarts,5,81,56,,False,,,
restarts,5,82,92,,False,,,
restarts,5,83,70,,False,,,
restarts,5,84,79,,False,,,
restarts,5,85,57,,False,,,
restarts,5,86,54,,False,,,
restarts,5,87,67,,False,,,
restarts,5,88,53,,False,,,
restarts,5,89,57,,False,,,
restarts,5,90,74,,False,,,
restarts,5,91,74,,False,,,
restarts,5,92,86,,False,,,
restarts,5,93,88,,False,,,
restarts,5,94,80,,False,,,
restarts,5,95,32,,False,,,
restarts,5,96,36,,False,,,
restarts,5,97,74,,False,,,
restarts,5,98,99,,False,,,
restarts,5,99,70,,False,,,
restarts,5,100,73,,False,,,
restarts,5,101,61,,False,,,
restarts,5,102,67,,False,,,
restarts,5,103,59,,False,,,
restarts,5,104,102,,False,,,
restarts,5,105,81,,False,,,
restarts,5,106,77,,False,,,
restarts,5,107,73,,False,,,
restarts,5,108,90,,False,,,
restarts,5,109,73,,False,,,
restarts,5,110,95,,False,,,
restarts,5,111,22,,False,,,
restarts,5,112,9,,False,,,
restarts,5,113,64,,False,,,
restarts,5,114,65,,False,,,
restarts,5,115,30,,False,,,
restarts,5,116,8,,False,,,
restarts,5,117,42,,False,,,
restarts,5,118,91,,False,,,
restarts,5,119,3,,False,,,
restarts,5,120,82,,False,,,
restarts,5,121,79,,False,,,
restarts,5,122,86,,False,,,
restarts,5,123,53,,False,,,
restarts,5,124,75,,False,,,
restarts,5,125,63,,False,,,
restarts,5,126,19,,False,,,
