budget,a,outcomes
2000,1.7,0111010101101001001110111001101111111011
2000,1.6,0111010101101001001110011000001111101011
2000,1.55,0111010101101000001100000000001111101011
2000,1.5,0110010101101000000100000000001101101011
2000,1.45,0010010100101000000100000000000000000001
8000,1.3,1111011101111111101110111111111111111111
8000,1.25,1111011101111111101110111111101111111111
8000,1.2,0111011101111101101110111010101111111111
8000,1.18,0110010101111001101100011010001111101111
8000,1.16,0110010100101000000100000000000000000001
8000,1.14,0000000000000000000000000000000000000000
32000,1.12,1111011101111111101111111111111111111111
32000,1.1,1111011101111111101111111111111111111111
32000,1.08,1111011101111111101111111111111111111111
32000,1.06,0110011101111111100110111010001011101101
32000,1.05,0000000000000000000000000000000000000000
32000,1.04,0000000000000000000000000000000000000000
128000,1.06,1111111111111111111111111111111111111111
128000,1.05,1111111111111111111111111111111111111111
128000,1.04,1111111111111111111111111111111111111111
128000,1.035,1111111111111111111111111111111111111111
128000,1.03,0111011101111111100110111010011011110101
128000,1.025,0000000000000000000000000000000000000000
