kind,a,lr,init_scale,rate,G_star,w2_med,w2_p10,w2_p90,w2_all
a_sweep,1.02,0.01,1.0,0.0,0.0016099439961188011,1.8141425251960754,0.5397709727287292,3.004280257225037,0.6672;1.9804;3.0763;1.8049;0.6917;2.2584;0.7149;3.4116;0.6729;2.0538;2.8272;0.5155;2.7344;0.6673;0.5425;1.8028;0.3115;0.8830;2.0900;2.4623;1.6569;1.0176;1.3722;1.8526;2.0998;1.1709;1.0694;1.8430;1.8214;0.3618;1.9669;3.0672;1.8069;2.3339;1.9340;1.4140;2.9973;0.3508;3.8681;2.5696
a_sweep,1.1,0.01,1.0,0.0,0.017510477277358216,2.3669427633285522,0.5271764814853668,4.125534963607788,0.5793;2.7027;4.3435;2.3541;0.6867;3.1895;0.7223;4.6499;0.6664;2.8422;3.9652;0.5108;3.8451;0.6426;0.5290;2.3356;0.3178;0.8744;2.8697;3.4310;2.1374;1.0055;1.7107;2.3797;2.7500;1.3556;0.8068;2.2893;2.3898;0.3587;2.7063;4.2225;2.4623;3.1635;2.6120;1.7623;4.1148;0.3406;5.1546;3.6655
a_sweep,1.25,0.01,1.0,0.0,0.06618006680469835,3.149785280227661,0.35164074301719667,5.034465599060058,0.1345;3.7141;5.2727;3.2361;0.6782;4.2237;0.7339;5.3871;0.6549;3.8977;4.9777;0.5020;4.8661;0.5991;0.5040;3.0304;0.3255;0.8591;3.9065;4.4937;2.9077;0.9840;2.3117;3.0635;3.4680;1.6625;0.3379;2.9870;3.2578;0.3532;3.7630;5.1962;3.4465;4.0904;3.5494;2.3825;5.0165;0.3228;5.9209;4.8827
a_sweep,1.35,0.01,1.0,0.0,0.10670356051126317,3.5069639682769775,0.3649088203907013,5.245045804977417,0.2176;4.1085;5.4474;3.6484;0.6731;4.5319;0.7401;5.4901;0.6477;4.2857;5.2225;0.4961;5.1172;0.5718;0.4874;3.2708;0.3298;0.8493;4.2882;4.8004;3.2727;0.9705;2.6408;3.3725;3.6581;1.8196;0.3666;3.3140;3.6414;0.3497;4.1774;5.4057;3.8638;4.3699;3.9135;2.7206;5.2006;0.3109;6.0197;5.2272
a_sweep,1.45,0.01,1.0,0.175,0.1513121185233457,3.6580358743667603,0.3778111428022385,5.366769218444825,0.2726;4.3311;5.4667;3.9224;0.6684;4.6612;0.7454;5.4655;0.6408;4.4929;5.2931;0.4900;5.1966;0.5457;0.4702;3.3788;0.3383;0.8398;4.4942;4.9232;3.5207;0.9578;2.8967;3.6096;3.7065;1.9329;0.3813;3.5364;3.8869;0.3464;4.4103;5.4488;4.1184;4.4895;4.1187;2.9814;5.2281;0.2973;5.9496;5.3577
a_sweep,1.5,0.01,1.0,0.375,0.17460838287533909,3.700889229774475,0.382253310084343,5.376722049713135,0.2889;4.3940;5.4419;4.0151;0.6663;4.6816;0.7477;5.4253;0.6375;4.5474;5.2880;0.4869;5.1961;0.5330;0.4612;3.3957;0.3408;0.8351;4.5495;4.9399;3.6068;0.9517;2.9974;3.7071;3.6947;1.9733;0.3864;3.6138;3.9675;0.3448;4.4759;5.4325;4.1977;4.5092;4.1765;3.0831;5.2058;0.2890;5.8862;5.3713
a_sweep,2.0,0.01,1.0,0.7,0.4405880788268046,3.8393560647964478,0.40959767401218417,4.763835477828979,0.3532;4.2373;4.8246;4.0093;0.6486;4.2952;0.7629;4.7485;0.6081;4.3214;4.7571;0.4877;4.6950;0.4071;3.5985;2.9154;0.3552;0.7749;4.3645;4.5297;3.6933;0.8993;3.3098;4.1147;3.0314;1.9235;0.4099;3.6918;3.9854;0.3308;4.3262;4.8455;4.1549;4.1353;4.0194;3.3744;4.5544;3.6627;5.0335;4.8610
a_sweep,3.0,0.01,1.0,0.65,1.0491633119478312,3.220231056213379,0.35842992663383483,3.8156300067901614,0.3750;3.4715;3.9106;3.2178;0.6282;3.4037;0.7737;3.8111;0.5639;3.5683;3.8560;0.4682;3.8030;1.0994;2.9679;0.1799;0.3601;0.6613;3.6660;3.6124;3.0566;0.8305;2.9154;3.6329;0.3433;0.1924;0.4194;3.2226;3.3112;0.3098;3.6176;3.9080;3.4434;3.2016;3.2649;2.9101;3.4073;3.3227;4.0046;3.7958
lr_sweep,1.25,0.03,1.0,0.5,0.06618006680469835,10.250747680664062,1.0517989039421083,13.031430530548096,6.4855;10.3430;13.4157;9.0873;0.3003;11.0424;11.2301;13.3691;0.5935;10.4287;12.7044;11.0503;12.6629;7.1269;7.8732;10.1180;12.9939;0.7210;10.6266;11.2361;8.2981;1.0886;7.0734;13.3692;11.3151;6.4245;12.4405;8.5579;9.5274;0.1692;10.1585;12.8374;9.8009;12.0107;9.9445;7.0350;12.8997;9.3314;14.3464;12.4309
lr_sweep,1.25,0.003,1.0,0.0,0.06618006680469835,0.9529244303703308,0.4145545303821564,1.8086365342140198,0.4270;1.2944;1.8115;1.1548;0.8246;1.5328;0.8707;2.0697;0.6698;1.4186;1.8083;0.5297;1.7236;0.4201;0.5302;0.3141;0.3649;0.9272;1.2671;1.6222;0.9823;0.9786;0.5677;0.4624;0.5255;0.4547;0.4624;1.1552;0.9036;0.3579;1.3668;1.8906;1.2101;0.5284;1.2504;0.6951;1.3301;0.2401;2.4205;1.6714
