parametrization,axis_aligned,activation,monotonic,depth,seed,fold_layer,layer,linking_rounded,linking_raw,min_distance,defined,reportable
baseline,True,gelu,False,5,8,1,0,-1,-1.000025100237454,0.9999999999999998,True,True
baseline,True,gelu,False,5,8,1,1,0,9.437930072555877e-06,0.10709221180750335,True,True
baseline,True,gelu,False,5,8,1,2,0,1.4081613352819073e-06,0.25506092980043577,True,True
baseline,True,gelu,False,5,8,1,3,0,2.5819189449625786e-07,0.6526406119019841,True,True
baseline,True,gelu,False,5,8,1,4,0,-1.4534191678451465e-08,1.2122726646906457,True,True
baseline,True,gelu,False,5,8,1,5,0,1.3799677400685034e-09,5.095602345810257,True,True
baseline,True,gelu,False,12,4,1,0,-1,-1.000025100237454,0.9999999999999998,True,True
baseline,True,gelu,False,12,4,1,1,0,-5.7448063843989946e-05,0.1495985356207318,True,True
baseline,True,gelu,False,12,4,1,2,0,3.2222640306231896e-05,0.11733372191916754,True,True
baseline,True,gelu,False,12,4,1,3,0,1.5419122075529196e-07,0.1983413707925946,True,True
baseline,True,gelu,False,12,4,1,4,0,2.664345370091019e-07,0.2067181295388013,True,True
baseline,True,gelu,False,12,4,1,5,0,4.802511947412603e-06,0.18841882569416712,True,True
baseline,True,gelu,False,12,4,1,6,0,7.261415164690807e-06,0.16960907063685052,True,True
baseline,True,gelu,False,12,4,1,7,0,4.1523395435122236e-07,0.26786908669141807,True,True
baseline,True,gelu,False,12,4,1,8,0,-3.4144500846760744e-08,0.6367865685972137,True,True
baseline,True,gelu,False,12,4,1,9,0,2.7761968267925922e-08,1.3027703796425882,True,True
baseline,True,gelu,False,12,4,1,10,0,-8.48464168365344e-09,3.145989190473105,True,True
baseline,True,gelu,False,12,4,1,11,0,9.975695673374585e-10,5.73383704138735,True,True
baseline,True,gelu,False,12,4,1,12,0,-2.964155917343422e-10,9.885458100926465,True,True
thick_tube,True,gelu,False,3,1,1,0,-1,-1.000025100237454,0.9999999999999998,True,True
thick_tube,True,gelu,False,3,1,1,1,0,4.203766087976154e-06,0.14300981881794433,True,True
thick_tube,True,gelu,False,3,1,1,2,0,2.25449351594855e-06,0.5509106207952449,True,True
thick_tube,True,gelu,False,3,1,1,3,0,-1.1517484669884737e-06,1.7835042227967064,True,True
thick_tube,True,gelu,False,5,8,1,0,-1,-1.000025100237454,0.9999999999999998,True,True
thick_tube,True,gelu,False,5,8,1,1,0,1.1217664055803653e-05,0.11289610581168778,True,True
thick_tube,True,gelu,False,5,8,1,2,0,-2.3518205475489242e-07,0.23112160634968296,True,True
thick_tube,True,gelu,False,5,8,1,3,0,-5.466989190192365e-08,0.691146183687908,True,True
thick_tube,True,gelu,False,5,8,1,4,0,-4.090093394862992e-09,1.5319105705657103,True,True
thick_tube,True,gelu,False,5,8,1,5,0,-4.82149460679747e-10,5.190186926681589,True,True
unequal_major,True,gelu,False,5,1,1,0,-1,-1.000025100237454,0.9999999999999999,True,True
unequal_major,True,gelu,False,5,1,1,1,0,2.234585347914407e-05,0.10898136703294393,True,True
unequal_major,True,gelu,False,5,1,1,2,0,-7.64274637689085e-06,0.18651991375379487,True,True
unequal_major,True,gelu,False,5,1,1,3,0,1.6258546691585392e-07,0.4855221685444353,True,True
unequal_major,True,gelu,False,5,1,1,4,0,-1.671041671632786e-08,1.504043953883536,True,True
unequal_major,True,gelu,False,5,1,1,5,0,-7.469240958412484e-09,3.6823375355642014,True,True
unequal_major,True,gelu,False,5,8,1,0,-1,-1.000025100237454,0.9999999999999999,True,True
unequal_major,True,gelu,False,5,8,1,1,0,1.0193699209873911e-05,0.14375515268865943,True,True
unequal_major,True,gelu,False,5,8,1,2,0,-9.772801135216152e-06,0.0684158329030147,True,True
unequal_major,True,gelu,False,5,8,1,3,0,-1.046728642266131e-06,0.27409557963742304,True,True
unequal_major,True,gelu,False,5,8,1,4,0,-6.688838601651708e-08,0.7271633295859065,True,True
unequal_major,True,gelu,False,5,8,1,5,0,-2.5338333577517164e-11,1.988738109073487,True,True
unequal_major,True,gelu,False,8,3,1,0,-1,-1.000025100237454,0.9999999999999999,True,True
unequal_major,True,gelu,False,8,3,1,1,0,2.5561321280845825e-05,0.0968136703920958,True,True
unequal_major,True,gelu,False,8,3,1,2,0,-4.079320621441295e-06,0.09259228385413566,True,True
unequal_major,True,gelu,False,8,3,1,3,0,1.9299362773842196e-09,0.1771019035581586,True,True
unequal_major,True,gelu,False,8,3,1,4,0,1.896733649472707e-08,0.42089571735983994,True,True
unequal_major,True,gelu,False,8,3,1,5,0,-5.431773642050975e-10,1.3027910237577196,True,True
unequal_major,True,gelu,False,8,3,1,6,0,-1.5080076191612723e-12,3.3766548865356345,True,True
unequal_major,True,gelu,False,8,3,1,7,0,-2.4070481575261943e-11,6.557752254258611,True,True
unequal_major,True,gelu,False,8,3,1,8,0,-5.562732407067754e-14,8.598634075831393,True,True
asymmetric_tube,True,gelu,False,3,5,1,0,-1,-1.000025100237454,0.9999999999999998,True,True
asymmetric_tube,True,gelu,False,3,5,1,1,0,-3.989561438496665e-06,0.11379653413990641,True,True
asymmetric_tube,True,gelu,False,3,5,1,2,0,1.374493339450883e-05,0.1556606640263372,True,True
asymmetric_tube,True,gelu,False,3,5,1,3,0,2.31330274313871e-07,1.0401394752902022,True,True
asymmetric_tube,True,gelu,False,5,0,1,0,-1,-1.000025100237454,0.9999999999999998,True,True
asymmetric_tube,True,gelu,False,5,0,1,1,0,-1.1446734117814016e-05,0.14066516122171577,True,True
asymmetric_tube,True,gelu,False,5,0,1,2,0,1.7774850355252203e-05,0.2452169570134138,True,True
asymmetric_tube,True,gelu,False,5,0,1,3,0,2.9240216952042307e-05,0.137001626432812,True,True
asymmetric_tube,True,gelu,False,5,0,1,4,0,1.452269045211539e-06,0.6678013810334186,True,True
asymmetric_tube,True,gelu,False,5,0,1,5,0,-1.2285962446633578e-07,3.290381796973437,True,True
asymmetric_both,True,gelu,False,5,3,1,0,-1,-1.000025100237454,0.9999999999999999,True,True
asymmetric_both,True,gelu,False,5,3,1,1,0,-1.9082720175763545e-05,0.13646791921694595,True,True
asymmetric_both,True,gelu,False,5,3,1,2,0,2.293125238312129e-05,0.1385918370436478,True,True
asymmetric_both,True,gelu,False,5,3,1,3,0,6.271987228869846e-06,0.3232810896825422,True,True
asymmetric_both,True,gelu,False,5,3,1,4,0,2.378718581180611e-07,0.7406423632112381,True,True
asymmetric_both,True,gelu,False,5,3,1,5,0,-1.1304057298249291e-10,2.2593322140935133,True,True
asymmetric_both,True,gelu,False,5,8,1,0,-1,-1.000025100237454,0.9999999999999999,True,True
asymmetric_both,True,gelu,False,5,8,1,1,0,1.4320525989454012e-05,0.136141827872715,True,True
asymmetric_both,True,gelu,False,5,8,1,2,0,-1.4963488456595194e-05,0.07534931628353105,True,True
asymmetric_both,True,gelu,False,5,8,1,3,0,1.184520162700555e-08,0.3034242963612841,True,True
asymmetric_both,True,gelu,False,5,8,1,4,0,-1.0327043310408815e-07,1.156263491273119,True,True
asymmetric_both,True,gelu,False,5,8,1,5,0,-6.232821915839862e-08,4.678871957811018,True,True
asymmetric_both,True,gelu,False,8,3,1,0,-1,-1.000025100237454,0.9999999999999999,True,True
asymmetric_both,True,gelu,False,8,3,1,1,0,1.8876308612619994e-05,0.09856999930780207,True,True
asymmetric_both,True,gelu,False,8,3,1,2,0,-7.891365231334446e-07,0.08175814916454262,True,True
asymmetric_both,True,gelu,False,8,3,1,3,0,-8.062007510963161e-10,0.22619449199327096,True,True
asymmetric_both,True,gelu,False,8,3,1,4,0,6.637235727701516e-09,0.6501867162375511,True,True
asymmetric_both,True,gelu,False,8,3,1,5,0,1.06228493412521e-09,2.431959814877523,True,True
asymmetric_both,True,gelu,False,8,3,1,6,0,-3.4228534424019863e-10,6.224857674727694,True,True
asymmetric_both,True,gelu,False,8,3,1,7,0,-4.600172233181901e-10,11.355436443684962,True,True
asymmetric_both,True,gelu,False,8,3,1,8,0,1.131205692934223e-09,10.506442148689136,True,True
near_offset,True,gelu,False,5,3,1,0,-1,-1.000025100237454,0.6999999999999998,True,True
near_offset,True,gelu,False,5,3,1,1,0,-1.0758866208419597e-05,0.113672883732934,True,True
near_offset,True,gelu,False,5,3,1,2,0,4.429160274836248e-06,0.12403427974529727,True,True
near_offset,True,gelu,False,5,3,1,3,0,1.5234512147632465e-06,0.3375924012587344,True,True
near_offset,True,gelu,False,5,3,1,4,0,-1.0267786817040108e-07,0.8860099088451037,True,True
near_offset,True,gelu,False,5,3,1,5,0,-5.694044126405752e-13,2.504517765982909,True,True
near_offset,True,gelu,False,5,8,1,0,-1,-1.000025100237454,0.6999999999999998,True,True
near_offset,True,gelu,False,5,8,1,1,0,-5.209435637247875e-06,0.11020992702816941,True,True
near_offset,True,gelu,False,5,8,1,2,0,6.9795636983306565e-06,0.056777283995817406,True,True
near_offset,True,gelu,False,5,8,1,3,0,1.2549933899375283e-07,0.2013421931377076,True,True
near_offset,True,gelu,False,5,8,1,4,0,-1.853310905401328e-09,0.7508159886879179,True,True
near_offset,True,gelu,False,5,8,1,5,0,7.441528685612498e-10,3.41075866693164,True,True
near_offset,True,gelu,False,5,9,1,0,-1,-1.000025100237454,0.6999999999999998,True,True
near_offset,True,gelu,False,5,9,1,1,0,-2.529956063246798e-07,0.09910523684754634,True,True
near_offset,True,gelu,False,5,9,1,2,0,2.368055712255842e-06,0.11489960813286447,True,True
near_offset,True,gelu,False,5,9,1,3,0,-4.34807935320163e-06,0.5817884986452713,True,True
near_offset,True,gelu,False,5,9,1,4,0,-5.605625487524426e-06,1.6143334370066214,True,True
near_offset,True,gelu,False,5,9,1,5,0,2.070744867160612e-05,3.60329383071232,True,True
near_offset,True,gelu,False,12,3,1,0,-1,-1.000025100237454,0.6999999999999998,True,True
near_offset,True,gelu,False,12,3,1,1,0,-8.938980670299381e-05,0.0798832191712539,True,True
near_offset,True,gelu,False,12,3,1,2,0,2.065106279788962e-06,0.0363717899263935,True,True
near_offset,True,gelu,False,12,3,1,3,0,5.907167652868816e-08,0.04410235250272639,True,True
near_offset,True,gelu,False,12,3,1,4,0,-6.113375657224209e-08,0.08663972701002177,True,True
near_offset,True,gelu,False,12,3,1,5,0,-4.974757744471349e-08,0.15360611251234188,True,True
near_offset,True,gelu,False,12,3,1,6,0,6.774111020484846e-11,0.23777806283284736,True,True
near_offset,True,gelu,False,12,3,1,7,0,1.313162943991349e-10,0.2780309583663657,True,True
near_offset,True,gelu,False,12,3,1,8,0,-1.477879151500264e-11,0.9717564195295614,True,True
near_offset,True,gelu,False,12,3,1,9,0,1.324293980952247e-11,1.8383368448168036,True,True
near_offset,True,gelu,False,12,3,1,10,0,1.7549422826897318e-14,1.7873148026691914,True,True
near_offset,True,gelu,False,12,3,1,11,0,-2.3539430084719482e-14,3.3476138723595787,True,True
near_offset,True,gelu,False,12,3,1,12,0,-2.863451464168145e-14,6.34811097624798,True,True
near_offset,True,gelu,False,12,4,1,0,-1,-1.000025100237454,0.6999999999999998,True,True
near_offset,True,gelu,False,12,4,1,1,0,-5.3526171826710726e-05,0.12816014737407475,True,True
near_offset,True,gelu,False,12,4,1,2,0,-7.30699481638174e-06,0.11408465212553623,True,True
near_offset,True,gelu,False,12,4,1,3,0,-7.001598356156748e-06,0.18776324952397058,True,True
near_offset,True,gelu,False,12,4,1,4,0,3.403683653231757e-06,0.28356474689780403,True,True
near_offset,True,gelu,False,12,4,1,5,0,4.419415157567784e-06,0.35349236146252827,True,True
near_offset,True,gelu,False,12,4,1,6,0,-8.94887986518573e-08,0.6280644884588816,True,True
near_offset,True,gelu,False,12,4,1,7,0,2.616371540229333e-06,0.7447047373363754,True,True
near_offset,True,gelu,False,12,4,1,8,0,-1.0754438123290183e-05,1.4932262411687842,True,True
near_offset,True,gelu,False,12,4,1,9,0,7.140325374024826e-05,1.5353623858362964,True,True
near_offset,True,gelu,False,12,4,1,10,0,4.7496415680907564e-06,3.1543610669387823,True,True
near_offset,True,gelu,False,12,4,1,11,0,-3.639820613994655e-07,6.12510456245813,True,True
near_offset,True,gelu,False,12,4,1,12,0,-6.403089442961265e-07,8.819783359520468,True,True
oblique_offset,True,gelu,False,5,0,1,0,-1,-1.000025100237454,0.7497304934608423,True,True
oblique_offset,True,gelu,False,5,0,1,1,0,-1.495271583162095e-05,0.12919741675987842,True,True
oblique_offset,True,gelu,False,5,0,1,2,0,-2.4948171541780518e-05,0.28338110384286946,True,True
oblique_offset,True,gelu,False,5,0,1,3,0,2.9536495729132548e-05,0.13945759227388,True,True
oblique_offset,True,gelu,False,5,0,1,4,0,-4.1941372293608695e-06,0.7908568062251994,True,True
oblique_offset,True,gelu,False,5,0,1,5,0,1.2410145337555444e-06,3.718331767054281,True,True
oblique_offset,True,gelu,False,5,8,1,0,-1,-1.000025100237454,0.7497304934608423,True,True
