a,budget,seed,n_checkpoints,init_distance,min_distance,min_at_step,final_distance,final_solved
1.3,4000,27,914,5.400750486862613,5.382219320681787,6,25.683684310532044,False
1.4,2000,10,727,5.23184820578024,4.802960475352399,107,19.876457578073683,False
1.6,32000,8,31987,4.11462199452204,4.11462199452204,1,4.5310793533254365,False
1.3,8000,32,5098,5.726845019240653,5.347137657959064,39,60.61191168716511,True
1.35,2000,3,35,5.388177945881493,5.388177945881493,1,15.302065278786742,False
1.3,8000,24,5298,5.433051297370881,5.016451287841075,1005,64.01696590923271,True
1.3,2000,4,1997,4.804764867955381,4.804764867955381,1,5.133663608417967,False
1.3,2000,23,1995,5.199291535789696,4.593828630653499,1525,13.246033144143327,False
1.3,32000,27,28908,5.400750486862613,5.382219320681787,6,246.5598054794687,True
1.45,4000,39,2921,5.131592693630568,4.732053783428845,133,34.82363887564726,True
1.45,4000,18,2644,5.399857743249102,4.602624609116889,203,30.93528932449141,True
1.5,8000,24,6267,5.470466310167841,4.751975639307714,1266,54.980076058553976,True
1.4,32000,32,30083,5.7487076658127005,5.371704315444265,41,234.09560263826646,True
1.5,4000,33,2647,4.910074238352101,4.910074238352101,1,31.412480484332388,True
1.35,32000,38,30538,5.34823886502125,5.273651743184722,70,250.49682504980842,True
1.45,4000,34,2681,5.490428886265766,5.487735959382991,4,29.596495046475642,True
1.6,16000,18,15127,5.394607543724868,4.673943518295394,235,98.39611457926414,True
1.35,4000,11,3873,4.588537033596474,4.501827742467253,30,23.012052144067848,False
1.5,4000,35,2214,5.219032623127191,5.168752319148844,30,24.759700002294704,True
1.35,4000,37,3833,4.309770087603418,4.276844831103936,24,23.95792944731567,True
1.45,16000,9,14519,5.6410283413616025,5.531033379784308,15,110.24898037305766,True
1.5,2000,39,1092,5.137699543005529,4.7329471363348175,130,20.12985875181606,True
1.35,32000,9,29822,5.628204408483242,5.51676227676156,14,243.317989259525,True
1.35,4000,30,1880,5.176348178222684,4.673227982393675,87,30.87979891709318,True
1.4,32000,29,25684,4.589363380848846,4.5656547480222205,31,203.26759526201562,True
1.4,32000,38,30838,5.351986103148982,5.279153690955756,70,241.60841077111348,True
1.4,16000,6,11969,4.947610678195732,4.947610678195732,1,102.02668176479187,True
1.45,16000,0,13046,4.44434193109745,4.44434193109745,1,99.42963853432845,True
1.5,2000,20,391,5.282274086910238,5.238298281293878,27,15.115572580074222,False
1.6,2000,10,1348,5.23637417130755,4.796009762203082,107,19.537389869468328,True
1.6,8000,15,7958,5.194116323192144,5.119888819532866,61,48.47212540130218,True
1.35,32000,33,30000,4.884994080567392,4.817362384590721,772,245.24411001180357,True
1.4,16000,3,13934,5.408909997065626,5.408909997065626,1,112.3776651365072,True
1.3,8000,4,7996,4.804764867955381,4.804764867955381,1,5.13726614109902,False
1.5,2000,35,216,5.219032623127191,5.169047498736241,27,13.567844051270955,False
1.4,16000,39,14692,5.122760044939821,4.735533190113782,143,122.10118541441447,True
1.4,8000,34,6417,5.477726224406844,5.4755126631130615,3,57.30898384849586,True
1.45,8000,8,7956,4.112099230712436,4.112099230712436,1,4.202887668050711,False
1.45,16000,14,12660,5.972642724755016,5.946772742395384,25,100.49776977853283,True
1.6,8000,36,7017,5.382535565716445,5.106888990142347,503,53.459577899673754,True
1.4,4000,4,3997,4.835504373197885,4.835504373197885,1,5.156902741899965,False
1.35,2000,22,35,4.253047421285911,4.253047421285911,1,11.307399565896093,False
1.45,2000,39,923,5.131592693630568,4.733725895899888,130,20.129151512488203,True
1.3,8000,8,7955,4.084062884413513,4.084062884413513,1,4.161491114769275,False
1.35,16000,38,14540,5.34823886502125,5.254748857188633,87,126.92600689958634,True
1.5,8000,20,6387,5.282274086910238,5.238048754603555,31,51.316268781281664,True
1.3,2000,29,35,4.584697002970402,4.551083328040232,33,4.5989455524218625,False
1.4,4000,24,1977,5.458546124886569,4.985065815791942,1116,31.346762853594928,True
1.3,32000,26,31815,4.814994036349338,4.814994036349338,1,253.305568245471,True
1.6,8000,26,7826,4.849811930832871,4.849811930832871,1,48.132500641388845,True
1.45,32000,38,31052,5.379214676706458,5.225925805011878,91,232.83017011837623,True
1.5,16000,10,15113,5.238730255061094,4.80349063875511,111,108.38480813260982,True
1.35,16000,35,13085,5.173426465305522,5.130943512613897,32,112.1534359361997,True
1.35,32000,32,29667,5.739922473125474,5.361207290121088,41,242.6316454742431,True
1.4,4000,27,1939,5.444929790841034,5.42964335260123,6,26.566409983307967,True
1.4,4000,39,2696,5.122760044939821,4.730670358051363,133,35.442096264035165,True
1.5,32000,11,31870,4.625603767558627,4.536916533061013,24,215.96225149833123,True
1.45,4000,36,2665,5.376923155589906,5.049424813945218,476,34.19096348986704,True
1.6,8000,14,5491,5.981593611996386,5.94898038475116,25,44.589457882628395,True
1.5,32000,3,30526,5.440374320215302,5.440374320215302,1,214.45161522435555,True
1.45,8000,34,6679,5.490428886265766,5.488067071301636,3,55.34653828579181,True
1.45,8000,36,6663,5.376923155589906,4.919793574149173,503,60.30835761740675,True
1.4,16000,7,15999,5.607719339346934,5.603126307671178,12,120.02592022462628,True
1.4,32000,31,30722,5.258984608018571,4.801454694236782,204,241.39614099547066,True
1.35,8000,34,6064,5.461283807886714,5.459229056942235,3,59.137044898645065,True
1.5,2000,13,35,4.535947593194653,4.317111592782144,88,4.9609393728649165,False
1.5,8000,1,6819,5.668884670618583,5.2626163578405105,50,54.2988857594982,True
1.35,8000,12,7982,5.5135061616869985,5.27561366142491,46,64.43700826144762,True
1.45,8000,24,6150,5.465884886223762,4.829886457434852,1266,57.301933915981294,True
1.5,32000,0,29176,4.450725545211375,4.450725545211375,1,206.80738228731445,True
1.35,4000,31,2428,5.248742434432053,4.771837301012766,164,35.89920977106084,True
1.6,2000,16,1779,4.491324967925013,4.491324967925013,1,5.108125373176498,False
1.5,4000,36,2823,5.380915922568831,5.100414102336115,476,33.39526037446595,True
1.4,32000,21,24016,4.65452962541365,4.65452962541365,1,195.11131501251472,True
1.3,16000,12,14126,5.497685458054218,5.26004933203311,41,129.6368942678592,True
1.35,16000,33,14002,4.884994080567392,4.726003590487097,813,121.8633983092519,True
1.45,2000,22,35,4.281192471341813,4.281192471341813,1,12.07843458674711,False
1.45,8000,27,6266,5.4607532542065735,5.4467941603999135,5,52.02724765203344,True
1.6,8000,10,7344,5.23637417130755,4.813818649760069,100,53.24146970929357,True
1.5,8000,0,5180,4.450725545211375,4.450725545211375,1,44.89399271133178,True
1.6,8000,22,6580,4.3038253711226435,4.3038253711226435,1,45.720698281015615,True
1.5,32000,15,31957,5.185736826475296,5.120395438087898,60,213.1278155119993,True
1.45,2000,34,683,5.490428886265766,5.487735959382991,4,16.7190624364672,False
1.3,16000,27,12910,5.400750486862613,5.38189830695293,7,118.68793914063161,True
1.3,8000,1,5456,5.637974509871039,5.224312943241731,50,61.641834087420804,True
1.35,2000,30,35,5.176348178222684,4.672175263864544,88,16.346997257100593,False
