activation,width,depth,seed,layer,final_layer,distortion,native_min_distance,reportable_native,rand_n,rand_n_reportable,rand_frac_zero_all,rand_frac_zero_reportable,rand_any_nonzero_reportable,rand_distinct_all,rand_distinct_reportable,rand_min_proj_dist,rand_median_proj_dist,pca_n,pca_n_reportable,pca_frac_zero_all,pca_frac_zero_reportable,pca_any_nonzero_reportable,pca_distinct_all,pca_distinct_reportable,pca_min_proj_dist,pca_median_proj_dist
gelu,4,3,0,1,False,0.23139578928646448,0.10812812442739221,True,48,38,0.7708333333333334,0.7894736842105263,True,"(-1, 0, 1)","(-1, 0, 1)",0.006167994971423843,0.05299015432088246,4,3,0.75,0.6666666666666666,True,"(0, 1)","(0, 1)",0.002097753788208681,0.03660328987295348
gelu,4,3,0,2,False,0.928733648674631,0.36632943996083805,True,48,48,0.9791666666666666,0.9791666666666666,True,"(-1, 0)","(-1, 0)",0.054652735415946764,0.2979622368214647,4,4,1.0,1.0,False,"(0,)","(0,)",0.043660759256757574,0.322901968654307
gelu,4,3,0,3,True,0.99613074653086,1.822385184925003,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.6145174141590845,1.7224247799897956,4,3,1.0,1.0,False,"(0,)","(0,)",0.015776994259493967,1.8048787502448411
gelu,5,3,0,1,False,0.998082732962873,0.0017075303298685607,False,48,0,0.9166666666666666,,False,"(-1, 0)",(),0.0005161838043665436,0.0013534436292695507,10,0,0.7,,False,"(-1, 0, 1)",(),0.0005013403305470492,0.0012137825578819655
gelu,5,3,0,2,False,0.999891137465515,0.0031427927616367226,False,48,0,0.08333333333333333,,False,"(-1, 0, 1, 2, 8)",(),0.00048355514738704434,0.00214576608866931,10,0,0.3,,False,"(-16, -5, -1, 0, 1, 12)",(),0.0007541496704851943,0.0012105143064934
gelu,5,3,0,3,True,0.9999876067039581,0.005169695166117506,False,48,0,0.20833333333333334,,False,"(-1, 0, 1, 2, 4, 8)",(),0.0011923093662562958,0.004010526686107251,10,0,0.2,,False,"(-1, 0, 1)",(),0.0005963306449352184,0.0015473535205733702
gelu,6,3,0,1,False,0.28312551385012985,0.6577660849638917,True,48,42,0.5416666666666666,0.6190476190476191,True,"(-1, 0, 1)","(-1, 0, 1)",0.0038024129670528933,0.11141393830192116,20,19,0.6,0.631578947368421,True,"(-1, 0, 1)","(-1, 0, 1)",0.012532309274870796,0.0928996791129396
gelu,6,3,0,2,False,0.8696789384678738,1.0848045729740607,True,48,47,0.9583333333333334,0.9787234042553191,True,"(0, 1)","(0, 1)",0.005092344301732917,0.5035438881832037,20,14,0.7,0.8571428571428571,True,"(-1, 0, 1)","(-1, 0)",0.002382481024223516,0.4615726249896691
gelu,6,3,0,3,True,0.9908644163410083,4.23192126102529,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.5670254333335092,3.024894781039431,20,12,0.85,1.0,False,"(-1, 0, 1)","(0,)",0.002529113588863117,2.137233055116962
gelu,7,3,0,1,False,0.38652404578247523,0.8499874588274705,True,48,41,0.625,0.7073170731707317,True,"(-2, -1, 0, 1)","(-1, 0, 1)",0.005070571715069895,0.13786924935951933,20,20,0.75,0.75,True,"(-1, 0, 1)","(-1, 0, 1)",0.051452738136760136,0.10473488361594334
gelu,7,3,0,2,False,0.7267421745885474,1.5165113614916352,True,48,48,0.8958333333333334,0.8958333333333334,True,"(-1, 0, 1)","(-1, 0, 1)",0.02053407117846137,0.34176502255487995,20,18,0.95,1.0,False,"(-1, 0)","(0,)",0.011600716635803634,0.2054820276879704
gelu,7,3,0,3,True,0.9682566077256307,4.4266602132141735,True,48,48,1.0,1.0,False,"(0,)","(0,)",0.0632748434033676,2.4252513833180513,20,18,0.8,0.8888888888888888,True,"(-1, 0, 1)","(-1, 0, 1)",0.01151145281371869,2.3749768048782585
