activation,width,depth,seed,layer,family,value,proj_dist
gelu,7,3,0,3,pca,0,4.3987798226220765
gelu,7,3,0,3,pca,0,4.41412498596396
gelu,7,3,0,3,pca,0,4.391592163902053
gelu,7,3,0,3,pca,0,4.393068567616793
gelu,7,3,0,3,pca,0,4.214481196831056
gelu,7,3,0,3,pca,0,4.19317244500568
gelu,7,3,0,3,pca,0,4.1950944360108995
gelu,7,3,0,3,pca,0,4.209026802086462
gelu,7,3,0,3,pca,0,4.210941556727769
gelu,7,3,0,3,pca,0,4.189458946907274
gelu,7,3,0,3,pca,0,0.419586008004032
gelu,7,3,0,3,pca,0,0.560494662849243
gelu,7,3,0,3,pca,1,0.04952879098173
gelu,7,3,0,3,pca,0,0.30882989570880126
gelu,7,3,0,3,pca,0,0.05317069570638209
gelu,7,3,0,3,pca,0,0.14827497490412941
gelu,7,3,0,3,pca,0,0.025239154297577907
gelu,7,3,0,3,pca,-1,0.08442213233512877
gelu,7,3,0,3,pca,-1,0.019574632211774766
gelu,7,3,0,3,pca,-1,0.01151145281371869
gelu,7,3,0,3,rand,0,3.7395841836456074
gelu,7,3,0,3,rand,0,2.8492649482477166
gelu,7,3,0,3,rand,0,1.2400734167207543
gelu,7,3,0,3,rand,0,3.182659142352972
gelu,7,3,0,3,rand,0,3.675071050142209
gelu,7,3,0,3,rand,0,2.1186337958587265
gelu,7,3,0,3,rand,0,3.4141441332073663
gelu,7,3,0,3,rand,0,2.9881103209266118
gelu,7,3,0,3,rand,0,1.9923316655933425
gelu,7,3,0,3,rand,0,3.1486616807931678
gelu,7,3,0,3,rand,0,1.983213626486659
gelu,7,3,0,3,rand,0,2.7056220031134046
gelu,7,3,0,3,rand,0,2.220643234387774
gelu,7,3,0,3,rand,0,2.6566020366503844
gelu,7,3,0,3,rand,0,0.8770899871473081
gelu,7,3,0,3,rand,0,3.5875664315574434
gelu,7,3,0,3,rand,0,2.5976241135372113
gelu,7,3,0,3,rand,0,2.023429489064124
gelu,7,3,0,3,rand,0,2.5649842493854162
gelu,7,3,0,3,rand,0,2.3743854289208866
gelu,7,3,0,3,rand,0,1.753811685504782
gelu,7,3,0,3,rand,0,2.0819232958613
gelu,7,3,0,3,rand,0,3.317167676085923
gelu,7,3,0,3,rand,0,1.967050315870318
gelu,7,3,0,3,rand,0,2.9005972068933725
gelu,7,3,0,3,rand,0,2.4401699296584853
gelu,7,3,0,3,rand,0,1.1464038335963391
gelu,7,3,0,3,rand,0,2.0875935073498666
gelu,7,3,0,3,rand,0,3.3010213588982733
gelu,7,3,0,3,rand,0,3.3064268713287386
gelu,7,3,0,3,rand,0,1.7192045132654574
gelu,7,3,0,3,rand,0,1.0402925512039183
gelu,7,3,0,3,rand,0,2.2001772587662427
gelu,7,3,0,3,rand,0,2.25408088235912
gelu,7,3,0,3,rand,0,2.6649691076681625
gelu,7,3,0,3,rand,0,3.224665892106322
gelu,7,3,0,3,rand,0,1.91922228284913
gelu,7,3,0,3,rand,0,1.8248147329977105
gelu,7,3,0,3,rand,0,2.3529822112570016
gelu,7,3,0,3,rand,0,2.645517659080774
gelu,7,3,0,3,rand,0,3.4846062609551187
gelu,7,3,0,3,rand,0,1.3989060468632426
gelu,7,3,0,3,rand,0,2.751714844222893
gelu,7,3,0,3,rand,0,1.8391972320651846
gelu,7,3,0,3,rand,0,3.67940365765714
gelu,7,3,0,3,rand,0,2.4763003092404716
gelu,7,3,0,3,rand,0,3.6364241070452357
gelu,7,3,0,3,rand,0,2.9850561490971628
gelu,12,3,0,3,pca,0,6.029540918276271
gelu,12,3,0,3,pca,0,6.037612760763652
gelu,12,3,0,3,pca,0,6.0360480080911305
gelu,12,3,0,3,pca,0,6.027274504798542
gelu,12,3,0,3,pca,0,5.837028653112202
gelu,12,3,0,3,pca,0,5.83453174524498
gelu,12,3,0,3,pca,0,5.82588029107723
gelu,12,3,0,3,pca,0,5.843246188506992
gelu,12,3,0,3,pca,0,5.834607655977578
gelu,12,3,0,3,pca,0,5.832109711606148
gelu,12,3,0,3,pca,1,0.050339422857499254
gelu,12,3,0,3,pca,0,0.03818960107367369
gelu,12,3,0,3,pca,0,0.05023450711818899
gelu,12,3,0,3,pca,0,0.044125775390352534
gelu,12,3,0,3,pca,0,0.08620867361475269
gelu,12,3,0,3,pca,-1,0.01187048101906528
gelu,12,3,0,3,pca,-1,0.04689355953889529
gelu,12,3,0,3,pca,0,0.031949499726787074
gelu,12,3,0,3,pca,1,0.0076283826236564194
gelu,12,3,0,3,pca,0,0.009945622899162124
gelu,12,3,0,3,rand,0,0.9268839870437727
gelu,12,3,0,3,rand,0,4.40626765852712
gelu,12,3,0,3,rand,0,1.9881800879083755
gelu,12,3,0,3,rand,0,3.8812436926104428
gelu,12,3,0,3,rand,0,2.465298619303302
gelu,12,3,0,3,rand,0,1.560178919302257
gelu,12,3,0,3,rand,0,0.9787136189534702
gelu,12,3,0,3,rand,0,2.4629180241453343
gelu,12,3,0,3,rand,0,1.8772873452140286
gelu,12,3,0,3,rand,0,3.473747240697522
gelu,12,3,0,3,rand,0,2.2337487717791062
gelu,12,3,0,3,rand,0,2.2923060783440783
gelu,12,3,0,3,rand,0,2.540276165624987
gelu,12,3,0,3,rand,0,4.705930648062903
gelu,12,3,0,3,rand,0,2.1531844118647725
gelu,12,3,0,3,rand,0,3.0510902315221924
gelu,12,3,0,3,rand,0,1.8561923071603874
gelu,12,3,0,3,rand,0,4.045089583436561
gelu,12,3,0,3,rand,0,1.8835396186619742
gelu,12,3,0,3,rand,0,2.843214640087732
gelu,12,3,0,3,rand,0,1.090775997484006
gelu,12,3,0,3,rand,0,3.43999600322588
gelu,12,3,0,3,rand,0,1.6871272542964377
gelu,12,3,0,3,rand,0,2.682378076457567
gelu,12,3,0,3,rand,0,2.656308070510904
gelu,12,3,0,3,rand,0,2.694417333847729
gelu,12,3,0,3,rand,0,3.7713952803109376
gelu,12,3,0,3,rand,0,0.6435418014674499
gelu,12,3,0,3,rand,0,2.3253884968360903
gelu,12,3,0,3,rand,0,2.9324470168608356
gelu,12,3,0,3,rand,0,2.1623568616597697
gelu,12,3,0,3,rand,0,3.8802403809189605
gelu,12,3,0,3,rand,0,1.426534615330666
gelu,12,3,0,3,rand,0,4.2696688597395855
gelu,12,3,0,3,rand,0,2.4089333739365832
gelu,12,3,0,3,rand,0,4.833558173089362
gelu,12,3,0,3,rand,0,2.3794374456355514
gelu,12,3,0,3,rand,0,2.4071316968657537
gelu,12,3,0,3,rand,0,1.4069174927112635
gelu,12,3,0,3,rand,0,2.442847776703944
gelu,12,3,0,3,rand,0,3.9703425583979173
gelu,12,3,0,3,rand,0,3.819309818322646
gelu,12,3,0,3,rand,0,3.560375273626751
gelu,12,3,0,3,rand,0,0.8279063077207357
gelu,12,3,0,3,rand,0,3.6790949822173546
gelu,12,3,0,3,rand,0,3.0853348057407555
gelu,12,3,0,3,rand,0,2.8520484602763214
gelu,12,3,0,3,rand,0,2.7900912733996464
gelu,15,3,0,3,pca,0,6.471404637525272
gelu,15,3,0,3,pca,0,6.380926878283338
gelu,15,3,0,3,pca,0,6.386966007055881
gelu,15,3,0,3,pca,0,6.395803802379344
gelu,15,3,0,3,pca,0,6.3346714470311465
gelu,15,3,0,3,pca,0,6.344506755387632
gelu,15,3,0,3,pca,0,6.3477040659248924
gelu,15,3,0,3,pca,0,6.254507095987082
gelu,15,3,0,3,pca,0,6.2598254246418
gelu,15,3,0,3,pca,0,6.269193485519881
gelu,15,3,0,3,pca,2,0.023624812736930678
