window,a,n_crossed,median_cross_R,median_cross_w2,R_glob,log_ratio
G1_wide_gap,1.3,38,0.24241190663600481,2.901078660090973,0.22375,0.08010901561935586
G1_wide_gap,1.5,38,0.2805223696093262,1.6567581000206384,0.2374999999999999,0.16648584736112518
G2_narrow_gap,1.3,36,0.14380058318375905,13.654243533719686,0.1287499999999997,0.11055496125476166
G2_narrow_gap,1.5,37,0.15139489983613713,7.051777927491188,0.1318749999999997,0.13803714952223645
G3_far_outer,1.3,38,0.22690517314900976,6.329436286302343,0.2043749999999999,0.10457564912078701
G3_far_outer,1.5,38,0.246568621185859,3.379013775229191,0.2087499999999999,0.16650297310340956
G4_shifted,1.3,40,0.16950754513764316,2.3356656716479076,0.15375,0.09756953322954556
G4_shifted,1.5,40,0.19502178357406402,1.3692220500677124,0.1624999999999999,0.1824332611910125
base,1.3,37,0.23760575414516188,5.519099386510101,0.2131249999999998,0.10873395694013181
base,1.5,37,0.2576239730016905,2.942157930809711,0.2212499999999999,0.1522077689068388
