a,frac_time,mean,size
1.3,"(-0.001, 0.01]",0.6153846153846154,39
1.3,"(0.01, 0.05]",0.8613861386138614,101
1.3,"(0.05, 0.1]",0.9754098360655737,122
1.3,"(0.1, 0.25]",1.0,366
1.3,"(0.25, 0.5]",1.0,606
1.3,"(0.5, 0.75]",1.0,599
1.3,"(0.75, 0.9]",1.0,360
1.3,"(0.9, 1.0]",1.0,259
1.5,"(-0.001, 0.01]",0.6153846153846154,39
1.5,"(0.01, 0.05]",0.7777777777777778,54
1.5,"(0.05, 0.1]",0.9487179487179487,78
1.5,"(0.1, 0.25]",1.0,236
1.5,"(0.25, 0.5]",1.0,386
1.5,"(0.5, 0.75]",1.0,379
1.5,"(0.75, 0.9]",1.0,229
1.5,"(0.9, 1.0]",1.0,170
