a,seed,step,w1,w2,loss
1.3,0,0,-0.017486819232746875,-0.8130451347838448,1.025462089831358
1.3,0,50,-0.17437036492403674,-0.44522461229869037,0.7183458071267821
1.3,0,100,-0.0815452195804652,-0.371207798032597,0.6940668111172569
1.3,0,150,-0.069572724415753,-0.3684534240373451,0.6925837542125811
1.3,0,200,-0.06724932265460495,-0.3691019495480523,0.6925484063214404
1.3,0,250,-0.06714540889505545,-0.36945928943634787,0.6925473482088443
1.3,0,300,-0.06721123494285904,-0.36980646293716984,0.6925462601126776
1.3,0,350,-0.06727956976611316,-0.3701656186766487,0.6925450594128495
1.3,0,400,-0.06735940463386249,-0.37052628586549075,0.6925437486482877
1.3,0,450,-0.06745264517986055,-0.3708796613150957,0.692542329287499
1.3,0,500,-0.06756083053200784,-0.37121682307562365,0.6925408015109056
1.3,0,550,-0.06768578414971108,-0.371528458045273,0.6925391643533569
1.3,0,600,-0.06782955372969754,-0.3718047448803489,0.6925374157588435
1.3,0,650,-0.06799444684838715,-0.3720352274708161,0.692535552572357
1.3,0,700,-0.06818307034164514,-0.3722086848143439,0.6925335704805213
1.3,0,750,-0.06839838008971856,-0.37231298943697866,0.6925314639046648
1.3,0,800,-0.06864374339739489,-0.3723349476558504,0.6925292258445281
1.3,0,850,-0.06892301723391746,-0.3722601145386526,0.6925268476661556
1.3,0,900,-0.06924064681365791,-0.37207257524257153,0.6925243188227012
1.3,0,950,-0.06960179066595851,-0.3717546824645303,0.6925216264911248
1.3,0,1000,-0.07001248069473594,-0.3712867368274769,0.6925187551001396
1.3,0,1050,-0.07047982911635645,-0.3706465928304486,0.6925156857141872
1.3,0,1100,-0.07101229913978747,-0.3698091669563599,0.6925123952228514
1.3,0,1150,-0.07162006370518122,-0.3687458157893447,0.692508855262279
1.3,0,1200,-0.07231548799467832,-0.36742353914810366,0.6925050307602522
1.3,0,1250,-0.07311378926372683,-0.36580394402242794,0.6925008779419087
1.3,0,1300,-0.07403395616153334,-0.36384187572364235,0.6924963415452161
1.3,0,1350,-0.07510005695259762,-0.36148357664607783,0.6924913508498021
1.3,0,1400,-0.07634314655455492,-0.3586641589288187,0.6924858138739148
1.3,0,1450,-0.0778041245336717,-0.35530405410550714,0.6924796086525918
1.3,0,1500,-0.07953815810814814,-0.351303890430958,0.6924725696920734
1.3,0,1550,-0.08162179026746431,-0.34653686668712796,0.6924644661033548
1.3,0,1600,-0.08416488770266116,-0.3408369701136077,0.6924549646325358
1.3,0,1650,-0.08733184552967217,-0.33397994283651394,0.6924435635342812
1.3,0,1700,-0.09138183323474271,-0.32565080398657353,0.6924294656987352
1.3,0,1750,-0.09675195698980776,-0.3153844963130536,0.6924113123403568
1.3,0,1800,-0.10424929778911969,-0.30244740869268916,0.6923865530463127
1.3,0,1850,-0.11556682381128226,-0.28557150396449904,0.6923496842862517
1.3,0,1900,-0.1350060545806316,-0.2622544484265536,0.6922859096845037
1.3,0,1950,-0.1774952283176584,-0.22649021850883252,0.6921361948606346
