a,seed,cross_step,cross_w2,final_w2,n_checks,branch_cross,early_w1_defined,early_w1_step,early_w1_branch,early_w1_w2,early_w1w2_defined,early_w1w2_step,early_w1w2_branch,early_w1w2_w2,ever_on_plateau_w1,ever_on_plateau_w1w2,reproduced
1.3,0,4050.0,4.994369798659602,23.833588694544442,82,1.0,True,50.0,1.0,0.44522461229869037,True,50.0,1.0,0.44522461229869037,True,True,True
1.3,1,2650.0,5.331265817117603,27.60549051698399,54,1.0,True,0.0,-1.0,0.18386148492983562,True,0.0,-1.0,0.18386148492983562,False,False,True
1.3,2,1900.0,5.140586310235811,29.608021769385466,39,-1.0,True,100.0,-1.0,0.10709145677759259,True,100.0,-1.0,0.10709145677759259,True,True,True
1.3,3,3250.0,6.007437874616698,26.873389996239833,66,-1.0,True,0.0,1.0,0.41831504364935096,True,150.0,-1.0,0.12456814124336671,False,True,True
1.3,4,,,0.6819035398405113,240,,False,,,,False,,,,True,True,True
1.3,5,2450.0,5.4432172487197015,28.648222037989285,50,1.0,True,0.0,1.0,0.8049393799428161,True,0.0,1.0,0.8049393799428161,False,False,True
1.3,6,4400.0,4.946332441787589,24.0587670421803,89,1.0,True,3500.0,1.0,0.20941512641217155,True,3500.0,1.0,0.20941512641217155,True,True,True
1.3,7,1900.0,5.217137467965294,29.637507344722696,39,-1.0,True,0.0,1.0,0.30842339293313176,True,0.0,1.0,0.30842339293313176,False,False,True
1.3,8,,,0.7355593322475634,240,,False,,,,False,,,,True,True,True
1.3,9,2850.0,5.98794191239085,27.81429563627568,58,-1.0,True,0.0,-1.0,0.030207148331418836,True,50.0,-1.0,0.2323733310053633,False,True,True
1.3,10,2150.0,5.486879841491428,29.14050296140171,44,1.0,True,0.0,1.0,0.36500335832236325,True,0.0,1.0,0.36500335832236325,False,False,True
1.3,11,3900.0,5.577452592932275,26.184518889562135,79,1.0,True,2600.0,1.0,0.45553974503367983,True,2600.0,1.0,0.45553974503367983,True,True,True
1.3,12,2000.0,5.021856438337489,29.19227060357399,41,-1.0,True,0.0,1.0,0.08455800169276421,True,0.0,1.0,0.08455800169276421,False,False,True
1.3,13,4350.0,5.851786939844847,24.54028307672496,88,-1.0,True,0.0,-1.0,0.6111025717678192,True,0.0,-1.0,0.6111025717678192,False,False,True
1.3,14,4650.0,4.993247711544304,23.285166045355805,94,1.0,True,3450.0,1.0,0.41196336967062075,True,3450.0,1.0,0.41196336967062075,True,True,True
1.3,15,2850.0,5.18590488760881,27.078123177448646,58,1.0,True,300.0,1.0,0.2868174725940956,True,300.0,1.0,0.2868174725940956,True,True,True
1.3,16,3700.0,5.27365758131861,26.615273681622238,75,1.0,True,2700.0,1.0,0.2779791990385688,True,2700.0,1.0,0.2779791990385688,True,True,True
1.3,17,,,0.986681077068808,240,,False,,,,False,,,,True,True,True
1.3,18,2650.0,5.543506448814323,27.742695412989164,54,-1.0,True,50.0,-1.0,0.32341092690810996,True,50.0,-1.0,0.32341092690810996,True,True,True
1.3,19,2200.0,5.151991382600736,29.23020778296829,45,1.0,True,0.0,1.0,0.7498558666628011,True,0.0,1.0,0.7498558666628011,False,False,True
1.3,20,3400.0,5.8295188711081325,26.2922352535376,69,1.0,True,0.0,1.0,0.6194268372262179,True,0.0,1.0,0.6194268372262179,False,False,True
1.3,21,8500.0,5.63919719430401,14.719693203717313,171,1.0,True,7450.0,1.0,0.21816802387423662,True,7450.0,1.0,0.21816802387423662,True,True,True
1.3,22,3550.0,5.17752763435729,24.89596936405722,72,-1.0,True,0.0,1.0,0.3692977336591639,True,500.0,-1.0,0.11288587376353039,False,True,True
1.3,23,2800.0,5.746092068662132,28.189559904526835,57,-1.0,True,1500.0,-1.0,0.2862282492616261,True,1500.0,-1.0,0.2862282492616261,True,True,True
1.3,24,2800.0,5.770544233241964,28.217026486109567,57,-1.0,True,0.0,-1.0,0.839830627714564,True,0.0,-1.0,0.839830627714564,False,False,True
1.3,25,4350.0,6.050066424422292,24.127738251211586,88,1.0,True,0.0,-1.0,0.8642110730790034,True,0.0,-1.0,0.8642110730790034,False,False,True
1.3,26,3250.0,5.653409966174804,27.982796116337422,66,-1.0,True,1950.0,-1.0,0.36561237613660924,True,1950.0,-1.0,0.36561237613660924,True,True,True
1.3,27,3200.0,5.34425440360989,25.87418404980289,65,1.0,True,0.0,1.0,0.07687259595124293,True,0.0,1.0,0.07687259595124293,False,False,True
1.3,28,3150.0,5.89291999083053,27.162091059369754,64,-1.0,True,100.0,-1.0,0.03690513099766491,True,150.0,-1.0,0.09297696944880186,True,True,True
1.3,29,6850.0,5.347335199746908,18.390223027403128,138,-1.0,True,5600.0,-1.0,0.3540677625573177,True,5600.0,-1.0,0.3540677625573177,True,True,True
1.3,30,2800.0,5.722860340357375,27.667901714534448,57,-1.0,True,0.0,-1.0,0.06677258921562236,True,0.0,-1.0,0.06677258921562236,False,False,True
1.3,31,2100.0,5.577110871260391,29.59088723192774,43,1.0,True,0.0,1.0,0.43994926508093063,True,0.0,1.0,0.43994926508093063,False,False,True
1.3,32,3050.0,5.896954385331893,27.38897441005272,62,1.0,True,0.0,-1.0,0.1618896630339518,True,0.0,-1.0,0.1618896630339518,False,False,True
1.3,33,2550.0,5.62697240214195,28.356719950060228,52,-1.0,True,0.0,-1.0,0.6025841156912969,True,0.0,-1.0,0.6025841156912969,False,False,True
1.3,34,2550.0,4.8866658326276795,27.334893424243706,52,1.0,True,0.0,1.0,0.4014353660017626,True,0.0,1.0,0.4014353660017626,False,False,True
1.3,35,3700.0,5.519099386510101,25.1247792018661,75,-1.0,True,0.0,-1.0,0.8649976160117561,True,0.0,-1.0,0.8649976160117561,False,False,True
1.3,36,2450.0,6.271601907705926,29.30598791401306,50,1.0,True,50.0,1.0,0.8079084251700096,True,50.0,1.0,0.8079084251700096,True,True,True
1.3,37,3650.0,5.0567484663224604,25.883890390264316,74,-1.0,True,2500.0,-1.0,0.3176709193668911,True,2500.0,-1.0,0.3176709193668911,True,True,True
1.3,38,2000.0,5.994392951543871,30.067568242214872,41,-1.0,True,50.0,-1.0,0.7352341332984412,True,50.0,-1.0,0.7352341332984412,True,True,True
1.3,39,2150.0,5.467468345460975,29.837223876349825,44,1.0,True,0.0,1.0,0.46570312045899226,True,0.0,1.0,0.46570312045899226,False,False,True
1.5,0,2900.0,2.676413175443801,20.611481005901968,59,1.0,True,50.0,1.0,0.4446789052951754,True,50.0,1.0,0.4446789052951754,True,True,True
1.5,1,1250.0,2.8219509859212066,23.670061133031897,26,1.0,True,0.0,-1.0,0.18386148488592022,True,0.0,-1.0,0.18386148488592022,False,False,True
1.5,2,850.0,2.6670195693183407,25.103344081352994,18,-1.0,True,100.0,-1.0,0.10559293664762197,True,100.0,-1.0,0.10559293664762197,True,True,True
1.5,3,1550.0,3.125353166479126,23.14068193090148,32,-1.0,True,0.0,1.0,0.4183150436215686,True,150.0,-1.0,0.14978292025480747,False,True,True
1.5,4,,,0.659493910984792,240,,False,,,,False,,,,True,True,True
1.5,5,1200.0,2.945106057165209,24.411503479428024,25,1.0,True,0.0,1.0,0.8049393799122702,True,0.0,1.0,0.8049393799122702,False,False,True
1.5,6,4050.0,2.600534561046244,19.961718093611545,82,1.0,True,3800.0,1.0,0.1415090838144125,True,3800.0,1.0,0.1415090838144125,True,True,True
1.5,7,850.0,2.745100039266731,25.01761999663169,18,-1.0,True,0.0,1.0,0.30842339218398807,True,0.0,1.0,0.30842339218398807,False,False,True
1.5,8,,,0.7118854203740521,240,,False,,,,False,,,,True,True,True
1.5,9,1350.0,3.176734296642256,23.8014293680081,28,-1.0,True,0.0,-1.0,0.030207148265553607,True,50.0,-1.0,0.2174709343582757,False,True,True
1.5,10,950.0,2.866486251117602,24.571657082774404,20,1.0,True,0.0,1.0,0.3650033550041151,True,0.0,1.0,0.3650033550041151,False,False,True
1.5,11,2950.0,3.0863806318213625,22.954868463304795,60,1.0,True,2450.0,1.0,0.4474226223989723,True,2450.0,1.0,0.4474226223989723,True,True,True
1.5,12,900.0,2.668865773074861,24.760621310721575,19,-1.0,True,0.0,1.0,0.08455800157169525,True,100.0,-1.0,0.27530634068863413,False,True,True
1.5,13,3050.0,3.104113291059015,21.581631043322524,62,-1.0,True,0.0,-1.0,0.6111025717317854,True,0.0,-1.0,0.6111025717317854,False,False,True
1.5,14,3100.0,2.62471398405098,21.197929538517933,63,1.0,True,2650.0,1.0,0.4053093791038006,True,2650.0,1.0,0.4053093791038006,True,True,True
1.5,15,1750.0,2.724292393259573,22.885286146386782,36,1.0,True,550.0,1.0,0.2743706086107997,True,550.0,1.0,0.2743706086107997,True,True,True
1.5,16,3900.0,2.94078585265958,20.86300711578346,79,1.0,True,3550.0,1.0,0.2776651550960457,True,3550.0,1.0,0.2776651550960457,True,True,True
1.5,17,,,0.949237422424975,240,,False,,,,False,,,,True,True,True
1.5,18,1250.0,2.949557489726198,23.868574390248188,26,-1.0,True,50.0,-1.0,0.31504724271880385,True,50.0,-1.0,0.31504724271880385,True,True,True
1.5,19,1050.0,2.785925280699135,24.924280024184,22,1.0,True,0.0,1.0,0.7498558666403953,True,0.0,1.0,0.7498558666403953,False,False,True
1.5,20,1700.0,3.0407019573961462,22.730244935628715,35,1.0,True,0.0,1.0,0.6194268371956644,True,0.0,1.0,0.6194268371956644,False,False,True
1.5,21,7950.0,3.184089205912572,12.785215946059004,160,1.0,True,7600.0,1.0,0.4544292518406934,True,7600.0,1.0,0.4544292518406934,True,True,True
1.5,22,1850.0,2.733951378013042,21.818720039824733,38,-1.0,True,0.0,1.0,0.3692977336262122,True,500.0,-1.0,0.0975425796471407,False,True,True
1.5,23,1800.0,2.983231440849219,23.85112325584919,37,-1.0,True,1400.0,-1.0,0.26673832601477704,True,1400.0,-1.0,0.26673832601477704,True,True,True
1.5,24,1800.0,3.062654372316414,23.571131617020274,37,-1.0,True,0.0,-1.0,0.83983062768058,True,0.0,-1.0,0.83983062768058,False,False,True
1.5,25,2600.0,3.176726184784452,20.992335343713133,53,1.0,True,0.0,-1.0,0.8642110730642582,True,0.0,-1.0,0.8642110730642582,False,False,True
1.5,26,2750.0,3.168287715155155,23.331953005861997,56,-1.0,True,2250.0,-1.0,0.35036345168115735,True,2250.0,-1.0,0.35036345168115735,True,True,True
1.5,27,1550.0,2.823010434836865,22.57369733178288,32,1.0,True,0.0,1.0,0.0768725960753637,True,0.0,1.0,0.0768725960753637,False,False,True
