a,statistic,value,lo,hi
1.3,mean per-setting err_mix,0.06162323761318642,0.05735729827233117,0.06605079258398493
1.3,err_mix - err_U,-0.05224912273959067,-0.06870746712676007,-0.038503967433479044
1.3,err_mix - err_C,0.049839503218769385,0.036599334612910345,0.060679687438954785
1.3,err_mix - err_U_own_setting,0.01769386384137122,0.013152090505429108,0.02252704042228379
1.3,mean per-setting err_mix_fitted,0.03206443537164201,0.027798496030786796,0.03649199034244051
1.3,err_mix_fitted - err_U,-0.08180792498113508,-0.09826626936830453,-0.06806276967502346
1.3,err_mix_fitted - err_C,0.02028070097722498,0.007040532371365918,0.031120885197410394
1.3,err_mix_fitted - err_U_own_setting,-0.011864938400173192,-0.01640671173611529,-0.007031761819260662
1.5,mean per-setting err_mix,0.11118827613519766,0.09654654351062883,0.12480651832176701
1.5,err_mix - err_U,-0.06049406745759827,-0.07551712193202215,-0.04844584099166972
1.5,err_mix - err_C,0.08326913513449041,0.0682874390387238,0.09780121676750171
1.5,err_mix - err_U_own_setting,0.012214525699167901,0.008881611519306715,0.015407521751577086
1.5,mean per-setting err_mix_fitted,0.05009317677538686,0.03545144415081808,0.06371141896195615
1.5,err_mix_fitted - err_U,-0.12158916681740907,-0.13661222129183295,-0.10954094035148047
1.5,err_mix_fitted - err_C,0.022174035774679614,0.00719233967891301,0.03670611740769094
1.5,err_mix_fitted - err_U_own_setting,-0.04888057366064289,-0.05221348784050405,-0.04568757760823373
