window,a,seed,cross_step,cross_w2,final_w2,early_defined,early_step,early_branch,early_w2,branch_cross
V10,1.3,400000,3100.0,8.490890886252751,30.366157094441323,True,0.0,1.0,0.4159330086300809,-1.0
V10,1.3,400001,5750.0,8.899639416787776,24.090481109575574,True,0.0,-1.0,0.6891875173433192,-1.0
V10,1.3,400002,4250.0,7.034179640793818,25.969864153420275,True,100.0,1.0,0.39815969288874703,1.0
V10,1.3,400003,6950.0,10.596996779279015,22.96496690827162,True,50.0,1.0,0.5886263432262159,1.0
V10,1.3,400004,,,0.48498944973768726,False,,,,
V10,1.3,400005,4200.0,8.334232447474484,27.508865373681626,True,0.0,1.0,0.14073609393576814,1.0
V10,1.3,400006,5400.0,7.947861003651937,24.357957262457138,True,0.0,-1.0,0.6476340200292924,-1.0
V10,1.3,400007,3000.0,7.624526891889936,29.707311180390413,True,100.0,1.0,0.07301745369140084,1.0
V10,1.3,400008,8200.0,7.3863765915490465,16.982517611875007,True,6250.0,1.0,0.258081981446084,1.0
V10,1.3,400009,10300.0,7.964202455012399,12.291456273889313,True,8350.0,1.0,0.3445917684687318,1.0
V10,1.3,400010,6400.0,7.331601154986783,21.4664790772569,True,0.0,1.0,0.8094268943623851,1.0
V10,1.3,400011,6450.0,8.318434530341737,22.066511637163035,True,0.0,-1.0,0.8880437520222793,1.0
V10,1.3,400012,4300.0,8.069263462830445,26.803974345967376,True,0.0,-1.0,0.48750638044415723,1.0
V10,1.3,400013,5350.0,8.024726188438379,24.56227043002222,True,0.0,1.0,0.8607835675844193,-1.0
V10,1.3,400014,3100.0,7.8744195150003025,29.622713127974933,True,100.0,1.0,0.235382857988149,1.0
V10,1.3,400015,5000.0,7.6641318298656635,25.17465569522882,True,300.0,-1.0,0.43384785475870596,-1.0
V10,1.3,400016,3850.0,8.990895486714747,29.33868652462227,True,0.0,1.0,0.2031757738967639,-1.0
V10,1.3,400017,9250.0,7.0540337823877195,14.041734134806848,True,7650.0,1.0,0.7015544120653547,1.0
V10,1.3,400018,3150.0,6.845928901827888,29.153289981749623,True,700.0,1.0,0.09795948001339565,1.0
V10,1.3,400019,5100.0,10.141001041410108,27.305582144925722,True,100.0,1.0,0.15628031962703126,1.0
V10,1.3,400020,3350.0,8.774692008563058,30.149897174951,True,0.0,1.0,0.08588076419559733,-1.0
V10,1.3,400021,2650.0,7.5414489285996105,31.175755958869143,True,250.0,-1.0,0.056320836804728755,-1.0
V10,1.3,400022,4250.0,8.60020036978455,28.02013536881923,True,1950.0,-1.0,0.39011530577316217,-1.0
V10,1.3,400023,4000.0,8.684475962542308,28.747878936826815,True,500.0,-1.0,0.05374995470967157,-1.0
V10,1.3,400024,4950.0,9.589463599443386,27.461219762712577,True,250.0,1.0,0.5080264180780821,1.0
V10,1.3,400025,4650.0,7.531411694160075,25.380583591550234,True,0.0,1.0,0.3083559181402275,1.0
V10,1.3,400026,4300.0,8.320964587546861,27.381536316170763,True,0.0,1.0,0.7469446565779515,1.0
V10,1.3,400027,5150.0,6.8903065452713195,24.246336383808988,True,3150.0,1.0,0.05018071725275713,1.0
V10,1.3,400028,3250.0,8.18013011079289,29.763135486579962,True,0.0,-1.0,0.522240033887674,-1.0
V10,1.3,400029,6800.0,8.370542828827919,21.374313596627324,True,4550.0,-1.0,1.0766616333808385,-1.0
V10,1.3,400030,3650.0,8.192269632835961,28.705550424529342,True,0.0,1.0,0.058659574563666564,-1.0
V10,1.3,400031,9700.0,8.009892921272161,13.879838768854313,True,7800.0,1.0,0.3503555724653028,1.0
V10,1.3,400032,5000.0,7.246029393913402,24.475350614904613,True,2650.0,1.0,0.9205223585566612,1.0
V10,1.3,400033,5500.0,7.508475176937022,23.209703234869853,True,0.0,-1.0,0.9816681053050276,-1.0
V10,1.3,400034,3350.0,6.889928409345444,28.206653376741652,True,0.0,1.0,0.8684139158635668,1.0
V10,1.3,400035,3250.0,8.736062962096529,30.54731057473702,True,150.0,1.0,0.08693200989409822,1.0
V10,1.3,400036,4350.0,7.073171924433864,25.57186973947156,True,250.0,-1.0,0.05963539623087405,-1.0
V10,1.3,400037,8450.0,6.776590239267325,15.875936270346243,True,7000.0,-1.0,0.36755008564365443,-1.0
V10,1.3,400038,3800.0,7.792781818668616,28.07972980727782,True,100.0,-1.0,0.07258340093987829,-1.0
V10,1.3,400039,3050.0,7.663608145371064,29.627177829316693,True,100.0,1.0,0.10734197114811109,1.0
V10,1.3,400040,3100.0,8.139408236366707,30.276268147662165,True,100.0,1.0,0.0698105296342129,1.0
V10,1.3,400041,,,1.1095001452262043,False,,,,
V10,1.3,400042,5900.0,8.173596527854768,23.357522048026976,True,0.0,-1.0,0.08619534039541094,1.0
V10,1.3,400043,4350.0,8.683753629634218,27.20073728962302,True,0.0,-1.0,0.2356752071328341,-1.0
V10,1.3,400044,6850.0,8.993272383144369,21.821029118214692,True,600.0,1.0,0.3467275439656508,1.0
V10,1.3,400045,3200.0,8.65468377681474,30.33413199136237,True,0.0,-1.0,0.20962362862644263,-1.0
V10,1.3,400046,4550.0,7.078726782536197,25.796783468509858,True,2800.0,-1.0,0.4311964529271305,-1.0
V10,1.3,400047,3150.0,6.442320302750615,27.974746530025303,True,0.0,-1.0,0.12847758246780724,-1.0
V10,1.3,400048,5550.0,7.549443322795258,23.283448456815634,True,0.0,-1.0,0.9594904090465433,1.0
V10,1.3,400049,2850.0,6.7111398274291245,28.99444896985354,True,50.0,1.0,0.07000911626854688,1.0
V10,1.3,400050,3500.0,7.79490168344014,28.901961886951046,True,400.0,1.0,0.08643507809363107,1.0
V10,1.3,400051,,,0.8049763239673445,False,,,,
V10,1.3,400052,5250.0,6.475953122404514,23.291021549570754,True,3450.0,1.0,0.23478411110301492,1.0
V10,1.3,400053,3550.0,8.493212816967628,29.1442240943234,True,0.0,1.0,0.23466252493502196,1.0
V10,1.3,400054,3150.0,8.647064529758575,31.391931713940195,True,0.0,1.0,0.9745103027497263,1.0
V10,1.3,400055,3600.0,8.714519691080257,29.52819778556923,True,0.0,1.0,0.13372934693240546,-1.0
V10,1.3,400056,4100.0,7.392950721705036,26.64810831410423,True,100.0,1.0,0.18492270125168941,1.0
V10,1.3,400057,3850.0,7.527745557012835,27.595827339564575,True,0.0,-1.0,0.8709938441050532,-1.0
V10,1.3,400058,4700.0,8.127221069241477,25.66969117570578,True,0.0,-1.0,0.06220804816377079,-1.0
V10,1.3,400059,2800.0,6.2373800355319,28.651193769494206,True,0.0,-1.0,0.191184052624292,-1.0
V10,1.5,400000,1450.0,4.439709462485223,26.497900626002952,True,0.0,1.0,0.4159330052370358,-1.0
V10,1.5,400001,3250.0,4.6000850166033045,21.852047810482578,True,0.0,-1.0,0.6891875173258396,-1.0
V10,1.5,400002,2700.0,3.6688563429648826,22.98946687223109,True,100.0,1.0,0.39774532401138724,1.0
V10,1.5,400003,4800.0,5.520161421160477,20.200361586734594,True,50.0,1.0,0.5883373854718421,1.0
V10,1.5,400004,,,0.4805126932874952,False,,,,
V10,1.5,400005,2250.0,4.391543502308387,24.5124049269783,True,0.0,1.0,0.1407360938957758,1.0
V10,1.5,400006,4100.0,4.207505232808187,21.088943661627916,True,0.0,-1.0,0.6476340200078301,-1.0
V10,1.5,400007,1400.0,3.9367662630543347,25.76008499233768,True,100.0,1.0,0.06708033177432453,1.0
V10,1.5,400008,7200.0,3.8061147718943698,14.758548376696279,True,6550.0,1.0,0.23934453761115554,1.0
V10,1.5,400009,9050.0,4.102089345335727,11.071798264462897,True,8450.0,1.0,0.25231556421965734,1.0
V10,1.5,400010,5400.0,3.782214282472673,18.527438706568066,True,3800.0,1.0,0.7465939740479027,1.0
V10,1.5,400011,5050.0,4.417888723261037,19.247711699586866,True,0.0,-1.0,0.888043751991395,1.0
V10,1.5,400012,2250.0,4.193702794668097,23.683777459173967,True,0.0,-1.0,0.4875063804028618,1.0
V10,1.5,400013,3700.0,4.254438259665805,21.82941019103357,True,0.0,1.0,0.8607835675666713,-1.0
V10,1.5,400014,1500.0,4.158141544816486,25.658466390617402,True,100.0,1.0,0.23187404956551766,1.0
V10,1.5,400015,3600.0,4.030190325363489,22.172598116996316,True,350.0,-1.0,0.43118983250659554,-1.0
V10,1.5,400016,1900.0,4.648017195286041,25.933922190885355,True,0.0,1.0,0.2031757738627884,-1.0
V10,1.5,400017,8700.0,3.7821091978160672,11.55589727862856,True,8200.0,1.0,0.46309370388011867,1.0
V10,1.5,400018,2000.0,3.618914738488377,25.35984381237495,True,700.0,1.0,0.1000421271637976,1.0
V10,1.5,400019,2700.0,5.264951634633603,24.374130197783078,True,100.0,1.0,0.15226042080239724,1.0
V10,1.5,400020,1600.0,4.564793148550367,26.427024373532653,True,0.0,1.0,0.08588076419190588,-1.0
V10,1.5,400021,1500.0,3.9263301385950378,26.830818488519444,True,700.0,-1.0,0.09233026604350643,-1.0
V10,1.5,400022,2100.0,4.423454307036443,26.350110488067337,True,1150.0,-1.0,0.31301491315816876,-1.0
V10,1.5,400023,2150.0,4.473151528983124,25.498181976303588,True,600.0,-1.0,0.0552411150667874,-1.0
V10,1.5,400024,3700.0,4.972995765639259,23.18304453706723,True,250.0,1.0,0.5135553585775686,1.0
V10,1.5,400025,2450.0,3.9209891314486804,22.909239168257447,True,100.0,1.0,0.2393315534104444,1.0
V10,1.5,400026,2200.0,4.28273242145044,24.330879458118407,True,0.0,1.0,0.7469446565524749,1.0
V10,1.5,400027,2900.0,3.568153052514324,23.298203678534257,True,1800.0,1.0,0.05026930817553621,1.0
V10,1.5,400028,1500.0,4.314188628955636,26.395574772483815,True,0.0,-1.0,0.52224003372983,-1.0
V10,1.5,400029,5450.0,4.374384633316956,18.606826999745824,True,4700.0,-1.0,0.8697036975693502,-1.0
V10,1.5,400030,1850.0,4.365913054314845,25.609684134172454,True,0.0,1.0,0.05865956979363362,-1.0
V10,1.5,400031,9400.0,4.322803401236442,10.68670948816001,True,8800.0,1.0,0.3446182453646282,1.0
V10,1.5,400032,3750.0,3.7542519765155733,21.315735584088138,True,2900.0,1.0,0.8551993815498836,1.0
V10,1.5,400033,3650.0,3.971900963271801,20.66443706341475,True,0.0,-1.0,0.9816681052874543,-1.0
V10,1.5,400034,1650.0,3.609907007334515,24.900170759113397,True,0.0,1.0,0.868413915839093,1.0
V10,1.5,400035,1500.0,4.51915720635463,26.887085723707205,True,150.0,1.0,0.07849965783702072,1.0
V10,1.5,400036,2350.0,3.7406088504243096,22.994486716821697,True,250.0,-1.0,0.05512176658278071,-1.0
V10,1.5,400037,7950.0,3.6640073472653802,13.299427237493086,True,7500.0,-1.0,0.40139329992471345,-1.0
V10,1.5,400038,1900.0,4.048126934775365,24.913891513267917,True,100.0,-1.0,0.07171986262107564,-1.0
V10,1.5,400039,1800.0,4.020674957635633,25.442544205137395,True,250.0,1.0,0.17397393800590696,1.0
V10,1.5,400040,1450.0,4.19674893823103,26.736594070757747,True,100.0,1.0,0.06024988251045791,1.0
V10,1.5,400041,,,1.0381103471538489,False,,,,
V10,1.5,400042,4400.0,4.3386813792620265,20.646716211216365,True,0.0,-1.0,0.08619534037574118,1.0
V10,1.5,400043,2200.0,4.535806152012641,23.92307865112864,True,0.0,-1.0,0.23567520699863462,-1.0
V10,1.5,400044,5250.0,4.6488609960015275,19.207059983771064,True,4250.0,1.0,0.7111006756741247,1.0
V10,1.5,400045,1500.0,4.5093119406352296,26.505816176741828,True,0.0,-1.0,0.20962358236914427,-1.0
V10,1.5,400046,3800.0,3.7576157204476863,21.735935365558326,True,3200.0,-1.0,0.41481981326970624,-1.0
V10,1.5,400047,1500.0,3.433513210995839,24.822652502153602,True,0.0,-1.0,0.12847758249783414,-1.0
V10,1.5,400048,3650.0,3.9490173057291726,20.898153632056868,True,0.0,-1.0,0.9594904090323946,1.0
V10,1.5,400049,1350.0,3.567791925543145,25.240587065378683,True,50.0,1.0,0.06789642566089159,1.0
V10,1.5,400050,1900.0,4.1329695166481475,25.506966962011937,True,400.0,1.0,0.07842516574013153,1.0
V10,1.5,400051,,,0.7699828261837544,False,,,,
V10,1.5,400052,4200.0,3.4433296978358157,20.42819166573371,True,3500.0,1.0,0.22034636173503883,1.0
V10,1.5,400053,1750.0,4.483938260138186,25.76213630677626,True,0.0,1.0,0.23466252460667997,1.0
V10,1.5,400054,1500.0,4.434595640290076,27.707566391219892,True,0.0,1.0,0.9745103027266276,1.0
V10,1.5,400055,1050.0,3.05951966176491,26.177169612909406,True,0.0,1.0,0.13372934695701733,1.0
V10,1.5,400056,2400.0,3.911886162510035,23.4741845458951,True,100.0,1.0,0.1764334820853309,1.0
V10,1.5,400057,2250.0,3.9381903850728786,24.376088864654115,True,0.0,-1.0,0.8709938439831736,-1.0
V10,1.5,400058,2450.0,4.2586114163042845,23.021573463419543,True,0.0,-1.0,0.06220804802321325,-1.0
V10,1.5,400059,1300.0,3.3022815973626827,25.315328867191454,True,0.0,-1.0,0.19118405264570099,-1.0
V20,1.3,400000,2550.0,7.1242577173232595,30.165414623489443,True,0.0,1.0,0.41593300763527585,-1.0
V20,1.3,400001,5100.0,7.48816706778519,23.990697667694654,True,0.0,-1.0,0.68918751734311,-1.0
V20,1.3,400002,3800.0,6.093751334243701,25.935556157950163,True,100.0,1.0,0.4019632775223252,1.0
V20,1.3,400003,6250.0,8.673346923060402,22.64437291194682,True,50.0,1.0,0.5887803574195006,1.0
V20,1.3,400004,,,3.326612186524114,True,11650.0,1.0,0.6828213461439038,
V20,1.3,400005,3600.0,6.94750639137504,27.329751891881145,True,0.0,1.0,0.14073609394092526,1.0
V20,1.3,400006,4700.0,6.755330673433299,24.84340705787382,True,0.0,-1.0,0.6476340200142007,-1.0
V20,1.3,400007,2550.0,6.502497072770831,29.46676894204304,True,100.0,1.0,0.06383159549157658,1.0
V20,1.3,400008,7550.0,6.169601409317006,17.417828397243046,True,6050.0,1.0,0.22374968352139618,1.0
V20,1.3,400009,9700.0,6.59796730787172,12.548069658814661,True,8300.0,1.0,0.892568351067161,1.0
V20,1.3,400010,5700.0,6.237994709920183,22.13722170434269,True,3700.0,1.0,0.7136072397646387,1.0
V20,1.3,400011,5750.0,6.970186901185311,22.411606757487064,True,3250.0,1.0,0.7178723820139514,1.0
V20,1.3,400012,3750.0,6.821603387294382,26.644036875654205,True,0.0,-1.0,0.4875063804426558,1.0
V20,1.3,400013,4750.0,6.747241892420419,24.59559647769183,True,100.0,-1.0,0.4735373725073392,-1.0
V20,1.3,400014,2650.0,6.749966272777911,29.407158813466577,True,100.0,1.0,0.21991241335754688,1.0
V20,1.3,400015,4400.0,6.420781532699264,25.41619458000894,True,1150.0,-1.0,0.406301159597264,-1.0
V20,1.3,400016,3150.0,7.492822653961317,29.579572823358355,True,0.0,1.0,0.20317577383588484,-1.0
V20,1.3,400017,3800.0,6.093502098997062,26.268340907583024,True,1950.0,1.0,0.38357100288560764,1.0
V20,1.3,400018,2650.0,5.699582301185984,29.44108396385532,True,800.0,1.0,0.07648708367488896,1.0
V20,1.3,400019,4350.0,8.39006140963738,27.263329805889082,True,0.0,-1.0,0.3261486197900463,1.0
V20,1.3,400020,2750.0,7.355058324047214,30.013160339906722,True,0.0,1.0,0.08588076407270753,-1.0
V20,1.3,400021,2100.0,6.373364601121064,31.719665240611413,True,200.0,-1.0,0.12492806833542347,-1.0
V20,1.3,400022,3550.0,7.0461639416749975,28.388973942334992,True,1900.0,-1.0,0.3334328203076567,-1.0
V20,1.3,400023,3300.0,7.1946108947932315,28.935015771693365,True,300.0,-1.0,0.09083024410789937,-1.0
V20,1.3,400024,4050.0,8.053013850457905,28.41072519689937,True,300.0,1.0,0.4861074053973228,1.0
V20,1.3,400025,4150.0,6.472994425332947,25.25346803409556,True,100.0,1.0,0.2433953371283873,1.0
V20,1.3,400026,3650.0,7.019160744630043,27.41462125010208,True,0.0,1.0,0.7469446565917439,1.0
V20,1.3,400027,3300.0,5.886359049449939,27.651772832869206,True,600.0,1.0,0.05360462499673415,1.0
V20,1.3,400028,2800.0,6.880828101249252,29.36708354051155,True,0.0,-1.0,0.5222400336977536,-1.0
V20,1.3,400029,6300.0,7.020375382395349,21.302206223754123,True,150.0,-1.0,0.7034165908603257,-1.0
V20,1.3,400030,3150.0,6.935187856247328,28.41763461826987,True,0.0,1.0,0.058659553461071295,-1.0
V20,1.3,400031,8600.0,6.708652392128307,15.39608664867261,True,7150.0,1.0,0.5176159138985049,1.0
V20,1.3,400032,4650.0,6.136268939903446,24.200408956319286,True,3050.0,1.0,0.7029881806290587,1.0
V20,1.3,400033,4850.0,6.359000561042681,23.403265321660147,True,0.0,-1.0,0.9816681053077843,-1.0
V20,1.3,400034,2900.0,5.885166113730538,28.067536806061977,True,0.0,1.0,0.8684139158586339,1.0
V20,1.3,400035,2700.0,7.264519209766225,30.32314305093468,True,150.0,1.0,0.05930879361825807,1.0
V20,1.3,400036,3850.0,6.0304175921097105,25.46770296469293,True,250.0,-1.0,0.05252417802325026,-1.0
V20,1.3,400037,7800.0,5.750537737341119,16.59939318403492,True,6700.0,-1.0,0.3984518016236323,-1.0
V20,1.3,400038,3250.0,6.560784046415241,28.043907595043244,True,100.0,-1.0,0.08950113297052707,-1.0
V20,1.3,400039,3150.0,6.460014403096064,28.205920544825386,True,1650.0,1.0,0.43452867561979214,1.0
V20,1.3,400040,2550.0,6.808504216209462,30.240561059050478,True,150.0,1.0,0.12221766027761373,1.0
V20,1.3,400041,,,0.9860766929909549,False,,,,
V20,1.3,400042,5350.0,6.790800720251341,23.276846837389904,True,400.0,1.0,0.2726578872169623,1.0
V20,1.3,400043,3750.0,7.238163442474185,26.956898839226056,True,0.0,-1.0,0.23567520687953258,-1.0
V20,1.3,400044,6400.0,7.432893320060564,21.41015178347776,True,4500.0,1.0,0.6231461146178829,1.0
V20,1.3,400045,2600.0,7.152129202476185,30.110166282443608,True,0.0,-1.0,0.20962357296679796,-1.0
V20,1.3,400046,3550.0,6.137610950700957,27.34259451549877,True,2100.0,-1.0,0.44944328183983806,-1.0
V20,1.3,400047,2850.0,5.535604060253767,27.453986332648963,True,0.0,-1.0,0.12847758246486704,-1.0
