analysis,a,comparison,stat,lo,hi,pass,C_better_interval_above_0
primary (crossers),1.3,P1,-0.06962774809550945,-0.08519249919523392,-0.05652097384446599,True,
primary (crossers),1.3,P2a,-0.013628095674493614,-0.025608602043777188,-0.0016393349671368837,True,
primary (crossers),1.3,P3,-0.044753369468768414,-0.055274547827573656,-0.033366146713059486,True,
primary (crossers),1.3,P4,0.04187084544725583,0.001,0.061,True,
primary (crossers),1.5,P1,-0.06950518629956245,-0.08638686601945116,-0.056168483292016284,True,
primary (crossers),1.5,P2b,0.022622841692239427,0.009139329763366975,0.03625195569943464,True,True
primary (crossers),1.5,P3,-0.031809604419663406,-0.043564429761974666,-0.01959619597198617,True,
primary (crossers),1.5,P4,0.08667418748315588,0.034,0.094,True,
sensitivity (non-crossers at their final R),1.3,P1,-0.06637075778184878,-0.08107118498400187,-0.05400733346427686,True,
sensitivity (non-crossers at their final R),1.3,P2a,-0.016807661284882383,-0.02922301720630532,-0.0038971703708040577,True,
sensitivity (non-crossers at their final R),1.3,P3,-0.04565720819258359,-0.055579773959064285,-0.03478095112225131,True,
sensitivity (non-crossers at their final R),1.3,P4,0.042456757581925686,0.001,0.061,True,
sensitivity (non-crossers at their final R),1.5,P1,-0.06630939010288543,-0.08236963128130599,-0.05362277372667037,True,
sensitivity (non-crossers at their final R),1.5,P2b,0.015833930511994387,0.0024323170226491935,0.029280608144928666,True,True
sensitivity (non-crossers at their final R),1.5,P3,-0.033689005652850004,-0.044870397196058856,-0.02197355696974562,True,
sensitivity (non-crossers at their final R),1.5,P4,0.08739550036326402,0.034,0.094,True,
