window,a,n,n_crossed,non_crossers,frac_crossed,obs_median_R,abslogerr_setting_U_own,abslogerr_setting_C_own,abslogerr_setting_U,abslogerr_setting_C,spearman_R_cross_vs_R_own
V10,1.3,60,57,3,0.95,0.21277964396199614,0.04079222069265816,0.010166027150897532,0.10667562211199225,0.0020621840744714905,0.8404096731210393
V10,1.5,60,57,3,0.95,0.22623098096149405,0.07191993056730794,0.008006604823655016,0.14216716033546045,0.010038772553870663,0.7718286137950031
V20,1.3,60,57,3,0.95,0.22733746745803848,0.039835462477514495,0.009209268935753693,0.10647901265777353,0.002258793528690195,0.7733268518078635
V20,1.5,60,57,3,0.95,0.24455274211411018,0.07645109011983262,0.012537764376179615,0.14638873358282736,0.005817199306503776,0.7928039047836639
V30,1.3,60,57,3,0.95,0.23421795861614475,0.044855672635447076,0.014229479093686444,0.10617282780097217,0.0025649783854916736,0.7660319310291444
V30,1.5,60,57,3,0.95,0.2501899698746167,0.07366001340505378,0.009746687661400981,0.13429098356073577,0.01791494932859548,0.779501154994705
V40,1.3,60,57,3,0.95,0.24225818449200576,0.04373279204663508,0.01310659850487428,0.09353960782532061,0.015198198361143113,0.7565675439655702
V40,1.5,60,57,3,0.95,0.2670701579838439,0.10169584324007401,0.037782517496421454,0.1548816837126435,0.0026757508233123096,0.7397562489426224
V50,1.3,60,58,2,0.9666666666666667,0.23463194017980116,0.042874411776958124,0.012248218235197525,0.1534701580524684,0.04473235186600451,0.8611376027619181
V50,1.5,60,58,2,0.9666666666666667,0.2596836113948327,0.10561729750566902,0.041703971762016,0.2243326710953775,0.07212673820604631,0.8217032988554477
V60,1.3,60,58,2,0.9666666666666667,0.2378736745441334,0.039724596073620215,0.009098402531859322,0.13060238980102132,0.021864583614557613,0.8633133429464762
V60,1.5,60,58,2,0.9666666666666667,0.26946672991255405,0.12256216080623135,0.05864883506257836,0.21424608104023732,0.06204014815090615,0.809927598320597
V70,1.3,60,58,2,0.9666666666666667,0.24693059588829339,0.046880126949180215,0.01625393340741943,0.10981402494882311,0.001076218762359335,0.8389994912664603
V70,1.5,60,58,2,0.9666666666666667,0.2776641632580763,0.11508974075166664,0.051176415008013766,0.17752211255340256,0.025316179664071452,0.7616249360500262
V80,1.3,60,58,2,0.9666666666666667,0.2511036550483312,0.05273970752250824,0.022113513980747474,0.10422523962384535,0.004512566562618308,0.799809260868289
V80,1.5,60,58,2,0.9666666666666667,0.28423374526063333,0.1247939270924027,0.060880601348749654,0.17962932286168298,0.027423389972351817,0.5735754239129363
