window,a,seed,cross_step,cross_w2,final_placed,final_solved
H10,1.3,100000,3550.0,9.58676477202129,True,True
H10,1.3,100001,4550.0,7.62897067131544,True,True
H10,1.3,100002,3050.0,7.404742728933962,True,True
H10,1.3,100003,8800.0,7.307456677182146,True,False
H10,1.3,100004,4500.0,8.682317928900511,True,True
H10,1.3,100005,4050.0,6.428548460142135,True,True
H10,1.3,100006,1850.0,6.659825987919508,True,True
H10,1.3,100007,5750.0,9.217950111043564,True,False
H10,1.3,100008,6400.0,8.539485989764165,True,False
H10,1.3,100009,4000.0,8.746586221013539,True,False
H10,1.3,100010,2550.0,6.955187022589386,True,True
H10,1.3,100011,2750.0,7.453409794206999,True,True
H10,1.3,100012,5950.0,12.598736653720637,True,True
H10,1.3,100013,2900.0,6.9295263941138785,True,True
H10,1.3,100014,3100.0,6.265434300734279,True,True
H10,1.3,100015,3850.0,7.302995694817382,True,True
H10,1.3,100016,5900.0,10.63775461238977,True,False
H10,1.3,100017,2850.0,7.626980742287605,True,True
H10,1.3,100018,7350.0,7.8297034073054945,True,False
H10,1.3,100019,5650.0,7.838017875889173,True,False
H10,1.3,100020,3600.0,8.055484897839678,True,True
H10,1.3,100021,5850.0,8.596994879906088,True,False
H10,1.3,100022,8650.0,7.38520010100312,True,False
H10,1.3,100023,3900.0,7.516805926899068,True,True
H10,1.3,100024,2600.0,6.996819333969567,True,True
H10,1.3,100025,4000.0,9.173229512225246,True,True
H10,1.3,100026,2650.0,6.783572673751681,True,True
H10,1.3,100027,5550.0,8.3872571781379,True,True
H10,1.3,100028,6250.0,8.012023254512497,True,False
H10,1.3,100029,4200.0,9.043869821395019,True,True
H10,1.3,100030,3900.0,7.515103199090024,True,True
H10,1.3,100031,5150.0,9.049377758602283,True,False
H10,1.3,100032,3450.0,9.294355230183767,True,True
H10,1.3,100033,3050.0,7.908136718471952,True,True
H10,1.3,100034,8500.0,6.875269022695504,True,False
H10,1.3,100035,5400.0,7.533029570519824,True,True
H10,1.3,100036,5800.0,10.38303991827688,True,True
H10,1.3,100037,2350.0,6.0617336806246245,True,True
H10,1.3,100038,3300.0,7.877205478064729,True,True
H10,1.3,100039,5000.0,8.34283362940813,True,True
H10,1.3,100040,,,False,False
H10,1.3,100041,3700.0,9.482635333129757,True,True
H10,1.3,100042,4400.0,8.877757321949664,True,True
H10,1.3,100043,4000.0,8.670815745394307,True,True
H10,1.3,100044,7750.0,9.118228524899791,True,False
H10,1.3,100045,3900.0,8.024001661249471,True,False
H10,1.3,100046,4050.0,8.207139555730521,True,True
H10,1.3,100047,2900.0,8.037302020736375,True,True
H10,1.3,100048,6400.0,8.781066248011877,True,False
H10,1.3,100049,4050.0,7.498650875304277,True,True
H10,1.3,100050,6300.0,8.339968278852647,True,True
H10,1.3,100051,3850.0,8.920485497680904,True,True
H10,1.3,100052,5300.0,8.984359670156852,True,False
H10,1.3,100053,4400.0,9.28710063495133,True,True
H10,1.3,100054,3950.0,9.832750629131944,True,True
H10,1.3,100055,3700.0,7.779560084124944,True,True
H10,1.3,100056,4500.0,8.599279536223657,True,True
H10,1.3,100057,3350.0,7.8709663243136,True,True
H10,1.3,100058,2650.0,5.493213957325872,True,True
H10,1.3,100059,3500.0,8.278859114440829,True,True
H10,1.3,100060,5300.0,9.39744593523668,True,True
H10,1.3,100061,3550.0,6.790451540931115,True,True
H10,1.3,100062,2900.0,7.935592499793521,True,True
H10,1.3,100063,3100.0,7.8408861102004375,True,True
H10,1.3,100064,4850.0,10.234674921387962,True,True
H10,1.3,100065,4350.0,7.115938615580967,True,True
H10,1.3,100066,3750.0,7.07654431904911,True,True
H10,1.3,100067,2500.0,6.409241046477504,True,True
H10,1.3,100068,7900.0,7.329622664254339,True,False
H10,1.3,100069,6000.0,7.656667627261796,True,False
H10,1.3,100070,3950.0,7.517002673011148,True,True
H10,1.3,100071,4400.0,8.130779364556963,True,True
H10,1.3,100072,,,False,False
H10,1.3,100073,5800.0,11.5986884220996,True,False
H10,1.3,100074,4400.0,7.400895370737616,True,True
H10,1.3,100075,3700.0,7.646352610214553,True,True
H10,1.3,100076,11050.0,7.2502271599943,True,False
H10,1.3,100077,4200.0,7.7060714408288185,True,True
H10,1.3,100078,8950.0,7.699579657009705,True,False
H10,1.3,100079,7950.0,7.454240070241253,True,False
H10,1.3,100080,3600.0,6.482335375042412,True,True
H10,1.3,100081,3000.0,6.90905916143407,True,True
H10,1.3,100082,4900.0,8.686112089072992,True,True
H10,1.3,100083,3550.0,8.395563318883319,True,True
H10,1.3,100084,8900.0,9.296886336379421,True,False
H10,1.3,100085,3900.0,7.6323540698798285,True,True
H10,1.3,100086,3650.0,6.949206181679383,True,True
H10,1.3,100087,4650.0,8.401058465194746,True,True
H10,1.3,100088,3350.0,7.952632616492424,True,True
H10,1.3,100089,6850.0,8.95492816431731,True,False
H10,1.5,100000,1800.0,5.036287840671605,True,True
H10,1.5,100001,2400.0,4.013372467096526,True,True
H10,1.5,100002,1450.0,3.8493457213873943,True,True
H10,1.5,100003,7900.0,3.8640706022324363,True,True
H10,1.5,100004,2300.0,4.485201818813846,True,True
H10,1.5,100005,2100.0,3.382017960284902,True,True
H10,1.5,100006,850.0,3.4823349030016137,True,True
H10,1.5,100007,3200.0,4.721566165358804,True,True
H10,1.5,100008,4850.0,4.4983128232860174,True,True
H10,1.5,100009,2000.0,4.609224380675278,True,True
H10,1.5,100010,1200.0,3.6147821213168134,True,True
H10,1.5,100011,1300.0,3.92661486096299,True,True
H10,1.5,100012,3250.0,6.517326503088502,True,True
H10,1.5,100013,1400.0,3.687284379991806,True,True
H10,1.5,100014,1500.0,3.2534776845825593,True,True
H10,1.5,100015,2100.0,3.876431634396039,True,True
H10,1.5,100016,3250.0,5.523674344441942,True,True
H10,1.5,100017,1400.0,4.050358853614768,True,True
H10,1.5,100018,6150.0,4.217810027502814,True,True
H10,1.5,100019,4350.0,4.143003242264907,True,True
H10,1.5,100020,2500.0,4.268436123070472,True,True
H10,1.5,100021,3800.0,4.535651498584003,True,True
H10,1.5,100022,7750.0,3.9414616125787276,True,True
H10,1.5,100023,1950.0,3.890821922709697,True,True
H10,1.5,100024,1200.0,3.6648364340437207,True,True
H10,1.5,100025,1950.0,4.79361179180236,True,True
H10,1.5,100026,1250.0,3.5308680269609134,True,True
H10,1.5,100027,3150.0,4.343916451391311,True,True
H10,1.5,100028,4700.0,4.198460793445373,True,True
H10,1.5,100029,2100.0,4.652502616455514,True,True
H10,1.5,100030,1950.0,3.9603648991062297,True,True
H10,1.5,100031,2800.0,4.7189273287231215,True,True
H10,1.5,100032,1700.0,4.830961922557323,True,True
H10,1.5,100033,1400.0,4.079548807611912,True,True
H10,1.5,100034,7850.0,3.589515340097988,True,True
H10,1.5,100035,3200.0,3.916382308268126,True,True
H10,1.5,100036,3250.0,5.411568455917966,True,True
H10,1.5,100037,1050.0,3.08998719668681,True,True
H10,1.5,100038,1600.0,4.05932177794921,True,True
H10,1.5,100039,3600.0,4.381235029631016,True,True
