window,a,budget,model,pred,obs,abs_err
H10,1.3,1000,C,0.0,0.0,0.0
H10,1.3,1000,B3,0.0,0.0,0.0
H10,1.3,2000,C,0.0,0.011111111111111112,0.011111111111111112
H10,1.3,2000,B3,0.1,0.011111111111111112,0.08888888888888889
H10,1.3,4000,C,0.425,0.4777777777777778,0.05277777777777781
H10,1.3,4000,B3,0.75,0.4777777777777778,0.2722222222222222
H10,1.3,8000,C,0.9,0.9111111111111111,0.011111111111111072
H10,1.3,8000,B3,0.9,0.9111111111111111,0.011111111111111072
H10,1.3,12000,C,0.925,0.9777777777777777,0.0527777777777777
H10,1.3,12000,B3,0.925,0.9777777777777777,0.0527777777777777
H10,1.5,1000,C,0.0,0.011111111111111112,0.011111111111111112
H10,1.5,1000,B3,0.175,0.011111111111111112,0.1638888888888889
H10,1.5,2000,C,0.375,0.43333333333333335,0.05833333333333335
H10,1.5,2000,B3,0.65,0.43333333333333335,0.21666666666666667
H10,1.5,4000,C,0.825,0.7888888888888889,0.036111111111111094
H10,1.5,4000,B3,0.85,0.7888888888888889,0.061111111111111116
H10,1.5,8000,C,0.9,0.9555555555555556,0.05555555555555558
H10,1.5,8000,B3,0.925,0.9555555555555556,0.030555555555555558
H10,1.5,12000,C,0.925,0.9777777777777777,0.0527777777777777
H10,1.5,12000,B3,0.925,0.9777777777777777,0.0527777777777777
H35,1.3,1000,C,0.0,0.0,0.0
H35,1.3,1000,B3,0.0,0.0,0.0
H35,1.3,2000,C,0.025,0.12222222222222222,0.09722222222222221
H35,1.3,2000,B3,0.1,0.12222222222222222,0.022222222222222213
H35,1.3,4000,C,0.75,0.7333333333333333,0.01666666666666672
H35,1.3,4000,B3,0.75,0.7333333333333333,0.01666666666666672
H35,1.3,8000,C,0.9,0.9222222222222223,0.022222222222222254
H35,1.3,8000,B3,0.9,0.9222222222222223,0.022222222222222254
H35,1.3,12000,C,0.925,0.9555555555555556,0.030555555555555558
H35,1.3,12000,B3,0.925,0.9555555555555556,0.030555555555555558
H35,1.5,1000,C,0.125,0.16666666666666666,0.04166666666666666
H35,1.5,1000,B3,0.175,0.16666666666666666,0.008333333333333331
H35,1.5,2000,C,0.65,0.6666666666666666,0.016666666666666607
H35,1.5,2000,B3,0.65,0.6666666666666666,0.016666666666666607
H35,1.5,4000,C,0.85,0.8333333333333334,0.016666666666666607
H35,1.5,4000,B3,0.85,0.8333333333333334,0.016666666666666607
H35,1.5,8000,C,0.925,0.9222222222222223,0.002777777777777768
H35,1.5,8000,B3,0.925,0.9222222222222223,0.002777777777777768
H35,1.5,12000,C,0.925,0.9666666666666667,0.04166666666666663
H35,1.5,12000,B3,0.925,0.9666666666666667,0.04166666666666663
H65,1.3,1000,C,0.0,0.0,0.0
H65,1.3,1000,B3,0.0,0.0,0.0
H65,1.3,2000,C,0.275,0.36666666666666664,0.09166666666666662
H65,1.3,2000,B3,0.1,0.36666666666666664,0.2666666666666666
H65,1.3,4000,C,0.825,0.8222222222222222,0.002777777777777768
H65,1.3,4000,B3,0.75,0.8222222222222222,0.07222222222222219
H65,1.3,8000,C,0.925,0.9222222222222223,0.002777777777777768
H65,1.3,8000,B3,0.9,0.9222222222222223,0.022222222222222254
H65,1.3,12000,C,0.925,0.9666666666666667,0.04166666666666663
H65,1.3,12000,B3,0.925,0.9666666666666667,0.04166666666666663
H65,1.5,1000,C,0.35,0.36666666666666664,0.016666666666666663
H65,1.5,1000,B3,0.175,0.36666666666666664,0.19166666666666665
H65,1.5,2000,C,0.65,0.7666666666666667,0.1166666666666667
H65,1.5,2000,B3,0.65,0.7666666666666667,0.1166666666666667
H65,1.5,4000,C,0.875,0.8666666666666667,0.008333333333333304
H65,1.5,4000,B3,0.85,0.8666666666666667,0.01666666666666672
H65,1.5,8000,C,0.925,0.9222222222222223,0.002777777777777768
H65,1.5,8000,B3,0.925,0.9222222222222223,0.002777777777777768
H65,1.5,12000,C,0.925,0.9666666666666667,0.04166666666666663
H65,1.5,12000,B3,0.925,0.9666666666666667,0.04166666666666663
H90,1.3,1000,C,0.025,0.022222222222222223,0.0027777777777777783
H90,1.3,1000,B3,0.0,0.022222222222222223,0.022222222222222223
H90,1.3,2000,C,0.5,0.5111111111111111,0.011111111111111072
H90,1.3,2000,B3,0.1,0.5111111111111111,0.4111111111111111
H90,1.3,4000,C,0.85,0.8333333333333334,0.016666666666666607
H90,1.3,4000,B3,0.75,0.8333333333333334,0.08333333333333337
H90,1.3,8000,C,0.925,0.9555555555555556,0.030555555555555558
H90,1.3,8000,B3,0.9,0.9555555555555556,0.05555555555555558
H90,1.3,12000,C,0.925,0.9777777777777777,0.0527777777777777
H90,1.3,12000,B3,0.925,0.9777777777777777,0.0527777777777777
H90,1.5,1000,C,0.45,0.5333333333333333,0.08333333333333331
H90,1.5,1000,B3,0.175,0.5333333333333333,0.35833333333333334
H90,1.5,2000,C,0.675,0.7777777777777778,0.10277777777777775
H90,1.5,2000,B3,0.65,0.7777777777777778,0.12777777777777777
H90,1.5,4000,C,0.875,0.8666666666666667,0.008333333333333304
H90,1.5,4000,B3,0.85,0.8666666666666667,0.01666666666666672
H90,1.5,8000,C,0.925,0.9555555555555556,0.030555555555555558
H90,1.5,8000,B3,0.925,0.9555555555555556,0.030555555555555558
H90,1.5,12000,C,0.925,0.9777777777777777,0.0527777777777777
H90,1.5,12000,B3,0.925,0.9777777777777777,0.0527777777777777
