a,opt,budget,w2,gstar,R,solved
1.02,adam,2000,0.6671773195266724,0.0016156047879616,0.0005389474359233,False
1.02,adam,2000,1.9804073572158811,0.0016156047879616,0.0015997778042162,False
1.02,adam,2000,3.0763325691223145,0.0016156047879616,0.0024850688140181,False
1.02,adam,2000,1.804921507835388,0.0016156047879616,0.0014580199149768,False
1.02,adam,2000,0.6917063593864441,0.0016156047879616,0.0005587620530441,False
1.02,adam,2000,2.258368492126465,0.0016156047879616,0.0018243154744306,False
1.02,adam,2000,0.7148593664169312,0.0016156047879616,0.0005774651075512,False
1.02,adam,2000,3.411613702774048,0.0016156047879616,0.0027559097164386,False
1.02,adam,2000,0.6729459166526794,0.0016156047879616,0.0005436073224916,False
1.02,adam,2000,2.0537612438201904,0.0016156047879616,0.0016590332494229,False
1.02,adam,2000,2.8271806240081787,0.0016156047879616,0.0022838032762899,False
1.02,adam,2000,0.5155169367790222,0.0016156047879616,0.0004164358156677,False
1.02,adam,2000,2.73435115814209,0.0016156047879616,0.0022088154115313,False
1.02,adam,2000,0.6673275232315063,0.0016156047879616,0.0005390687708356,False
1.02,adam,2000,0.54246586561203,0.0016156047879616,0.0004382052248942,False
1.02,adam,2000,1.802767038345337,0.0016156047879616,0.001456279529365,False
1.02,adam,2000,0.3115062713623047,0.0016156047879616,0.0002516355117465,False
1.02,adam,2000,0.883025586605072,0.0016156047879616,0.0007133101828058,False
1.02,adam,2000,2.090005397796631,0.0016156047879616,0.0016883113637729,False
1.02,adam,2000,2.462270975112915,0.0016156047879616,0.0019890283883256,False
1.02,adam,2000,1.656859040260315,0.0016156047879616,0.001338414699211,False
1.02,adam,2000,1.0176063776016235,0.0016156047879616,0.0008220248679567,False
1.02,adam,2000,1.3722028732299805,0.0016156047879616,0.0011084687660225,False
1.02,adam,2000,1.852627515792847,0.0016156047879616,0.0014965569424121,False
1.02,adam,2000,2.099823236465454,0.0016156047879616,0.0016962422373533,False
1.02,adam,2000,1.170909762382507,0.0016156047879616,0.000945863709188,False
1.02,adam,2000,1.0693529844284058,0.0016156047879616,0.0008638259008317,False
1.02,adam,2000,1.843021035194397,0.0016156047879616,0.001488796804387,False
1.02,adam,2000,1.821411728858948,0.0016156047879616,0.0014713407549969,False
1.02,adam,2000,0.3618080615997314,0.0016156047879616,0.0002922694183218,False
1.02,adam,2000,1.966902017593384,0.0016156047879616,0.0015888681585376,False
1.02,adam,2000,3.0672450065612793,0.0016156047879616,0.0024777278592259,False
1.02,adam,2000,1.8068733215332031,0.0016156047879616,0.0014595965947545,False
1.02,adam,2000,2.3338754177093506,0.0016156047879616,0.0018853101496785,False
1.02,adam,2000,1.9339535236358645,0.0016156047879616,0.0015622522862406,False
1.02,adam,2000,1.414026141166687,0.0016156047879616,0.0011422537019859,False
1.02,adam,2000,2.997284173965454,0.0016156047879616,0.0024212133311701,False
1.02,adam,2000,0.3508254587650299,0.0016156047879616,0.0002833976454598,False
1.02,adam,2000,3.8680830001831055,0.0016156047879616,0.0031246467076644,False
1.02,adam,2000,2.569627523422241,0.0016156047879616,0.0020757512650594,False
1.02,adam,2000,2.512989044189453,0.0016156047879616,0.0020299985659438,False
1.02,adam,2000,1.5404930114746094,0.0016156047879616,0.0012444139425799,False
1.02,adam,2000,2.2037925720214844,0.0016156047879616,0.001780228915516,False
1.02,adam,2000,1.5755964517593384,0.0016156047879616,0.0012727705856788,False
1.02,adam,2000,2.5101873874664307,0.0016156047879616,0.0020277353809358,False
1.02,adam,2000,1.5551689863204956,0.0016156047879616,0.0012562692301944,False
1.02,adam,2000,0.5868241190910339,0.0016156047879616,0.0004740379282474,False
1.02,adam,2000,1.8187963962554932,0.0016156047879616,0.0014692280830588,False
1.02,adam,2000,0.8889215588569641,0.0016156047879616,0.0007180729633058,False
1.02,adam,2000,1.481652855873108,0.0016156047879616,0.0011968827240228,False
1.02,adam,2000,1.056867599487305,0.0016156047879616,0.0008537401769866,False
1.02,adam,2000,2.2431082725524902,0.0016156047879616,0.001811988232526,False
