a,winding,gamma,n_crossed,median_abs_pred
1.3,-1,0.0005,8,0.0004466178927284
1.3,-1,0.0007924465962305,8,0.0008780148426019
1.3,-1,0.0012559432157547,8,0.002057454747534
1.3,-1,0.0019905358527674,8,0.0075195854503382
1.3,-1,0.0031547867224009,3,0.0428636984606482
1.3,-1,0.0049999999999999,0,
1.3,-1,0.0079244659623055,0,
1.3,-1,0.0125594321575479,0,
1.3,-1,0.0199053585276748,0,
1.3,-1,0.0315478672240096,0,
1.3,-1,0.05,0,
1.5,0,0.0005,8,0.000191421261229
1.5,0,0.0007924465962305,8,0.0003224778791223
1.5,0,0.0012559432157547,8,0.0005621872175759
1.5,0,0.0019905358527674,8,0.0010183568494877
1.5,0,0.0031547867224009,8,0.0021743302477614
1.5,0,0.0049999999999999,8,0.0059689864658328
1.5,0,0.0079244659623055,8,0.0333570846142778
1.5,0,0.0125594321575479,0,
1.5,0,0.0199053585276748,0,
1.5,0,0.0315478672240096,0,
1.5,0,0.05,0,
1.3,0,0.0005,8,0.0004063328693329
1.3,0,0.0007924465962305,8,0.0008105838678174
1.3,0,0.0012559432157547,8,0.0019443799940127
1.3,0,0.0019905358527674,8,0.0068903422774012
1.3,0,0.0031547867224009,8,0.0360538049203183
1.3,0,0.0049999999999999,8,0.1791031255552012
1.3,0,0.0079244659623055,8,0.5631685127341453
1.3,0,0.0125594321575479,8,0.9949823943925632
1.3,0,0.0199053585276748,8,1.0498119378730788
1.3,0,0.0315478672240096,8,1.0999541475201788
1.3,0,0.05,8,3.0635513125923435
