a,eta,seed,crossed,step,w2_cross
1.3,0.01,860100,True,2252.0,4.659414705005266
1.3,0.01,860101,True,3395.0,5.699405453919154
1.3,0.01,860102,True,3731.0,5.79027337958404
1.3,0.01,860103,True,2473.0,5.409714215433093
1.3,0.01,860104,False,,
1.3,0.01,860105,True,1974.0,5.9162396007545155
1.3,0.01,860106,True,2948.0,5.228198379578824
1.3,0.01,860107,True,5696.0,5.950121312939901
1.3,0.01,860108,True,12117.0,4.801161432539181
1.3,0.01,860109,True,2308.0,5.131666437401527
1.3,0.01,860110,True,3217.0,4.917724428431411
1.3,0.01,860111,True,2480.0,4.6772659354771635
1.3,0.01,860112,True,2258.0,5.908870668590166
1.3,0.01,860113,True,2163.0,5.38334866299566
1.3,0.01,860114,True,3850.0,5.527656153912314
1.3,0.01,860115,True,1793.0,4.915952667749082
1.3,0.01,860116,True,3811.0,5.265882150519031
1.3,0.01,860117,True,2528.0,5.406274277892383
1.3,0.01,860118,True,2059.0,5.195270926728643
1.3,0.01,860119,True,2231.0,5.01045360966519
1.3,0.01,860120,True,2638.0,5.596179520281059
1.3,0.01,860121,True,3269.0,4.934770365444843
1.3,0.01,860122,True,6898.0,4.967225135569194
1.3,0.01,860123,True,5101.0,5.635907012819353
1.3,0.01,860124,True,6425.0,4.9917639678735535
1.3,0.01,860125,True,2834.0,5.623081182546124
1.3,0.01,860126,True,4157.0,5.237988038166738
1.3,0.01,860127,True,1856.0,5.3794371992844745
1.3,0.01,860128,True,3376.0,5.501662208524973
1.3,0.01,860129,True,4703.0,5.272069115024587
1.3,0.01,860130,True,2562.0,5.938373460021577
1.3,0.01,860131,True,4153.0,5.688762020841148
1.3,0.01,860132,True,3774.0,4.915806380942241
1.3,0.01,860133,True,3334.0,5.711053226148197
1.3,0.01,860134,True,2289.0,5.268131773207823
1.3,0.01,860135,True,3155.0,5.363452729004824
1.3,0.01,860136,True,4368.0,4.920526382880725
1.3,0.01,860137,True,4825.0,5.7565717288945
1.3,0.01,860138,True,4784.0,5.762831743346464
1.3,0.01,860139,True,3079.0,6.026540783776045
1.3,0.005,860100,True,4072.0,4.659938153085341
1.3,0.005,860101,True,6090.0,5.703048955071188
1.3,0.005,860102,True,6235.0,5.791736152256097
1.3,0.005,860103,True,4468.0,5.416910573149046
1.3,0.005,860104,False,,
1.3,0.005,860105,True,3723.0,5.920779909486614
1.3,0.005,860106,True,5716.0,5.239008656695702
1.3,0.005,860107,True,9306.0,5.955164235427425
1.3,0.005,860108,True,17022.0,4.799153858893583
1.3,0.005,860109,True,4194.0,5.134512674996217
1.3,0.005,860110,True,5405.0,4.92263305723946
1.3,0.005,860111,True,4361.0,4.682466740464752
