opt,a,gamma,crossed,warm,pred_median,k,sec
adam,1.3,0.0016859049101472,8,0,-0.0041361469571959825,[0],3
adam,1.3,0.0033718098202944,8,0,-0.04634108499972764,[0],1
adam,1.3,0.0050577147304416,8,0,-0.18686101655054535,[0],1
adam,1.5,0.0016866046563067,8,0,0.0008059484938324824,[0],1
adam,1.5,0.0033732093126134,8,0,0.002471379674709042,[0],1
adam,1.5,0.0050598139689201,8,0,0.006139728822622415,[0],2
sgd,1.3,0.0005932277269475,8,0,-0.09762403496433748,[0],2
sgd,1.3,9.40202586018404e-05,8,0,-0.015472366843558577,[0],4
sgd,1.3,5.932277269475824e-06,8,0,-0.0009762403496435104,[0],50
sgd,1.5,0.0010994393563392,8,0,0.09999999999999878,[0],1
sgd,1.5,0.0001742493951385,8,0,0.01584893192460343,[0],3
sgd,1.5,1.0994393563392134e-05,8,0,0.001,[0],22
