a,winding,seed,grad_s0,note,s_branch,w1,b1
1.3,-1,860000,1.930920701109784e-14,,4.561271205028657,-0.8500774156615564,-2.4643838651151735
1.3,-1,860001,1.214306433183765e-16,,5.284926053959541,-0.8471718289539547,-2.455862216306263
1.3,-1,860002,2.3115190317390955e-16,,4.436461122882362,-0.8258975423368914,-2.4491305432108783
1.3,-1,860003,1.576993743923616e-14,,6.145854564329206,-0.8221442740895801,-2.44802897752695
1.3,-1,860004,1.8255145659007432e-14,,4.262572782994976,-0.840351081988337,-2.453536023284829
1.3,-1,860005,2.0296264668928643e-16,,5.644042373794404,-0.8176145450534663,-2.446722138571302
1.3,-1,860006,1.93421667571414e-15,,5.8335610818840955,-0.8182796881732878,-2.4469124546186154
1.3,-1,860007,9.974659986866641e-17,,5.070746928386485,-0.830792712788841,-2.450593317643635
1.3,-1,860008,4.234460004859386e-15,,5.265314680056628,-0.8401923106577178,-2.4534861881149133
1.3,-1,860009,6.5672293991791975e-15,,5.504604859446335,-0.833919420369191,-2.4515432236702708
1.3,-1,860010,8.608565249534905e-17,,5.19789872756701,-0.827928954291516,-2.4497340137214234
1.3,-1,860011,3.563555700525356e-15,,4.624568261784122,-0.8471386184862844,-2.45576877250731
1.3,-1,860012,1.3111907393170696e-14,,5.415034799527506,-0.8377474076197077,-2.4527229808262168
1.3,-1,860013,1.040183564282593e-15,,6.044290816943877,-0.8084179556057842,-2.4441437473745693
1.3,-1,860014,8.40473524110763e-16,,5.13303408802393,-0.8324328926535655,-2.451090109491705
1.3,-1,860015,2.2516710718178956e-15,,4.583356896719108,-0.835476443463099,-2.4520208833181667
1.3,-1,860016,4.145989107584569e-16,,4.307454773315346,-0.8502556442101308,-2.464928829922499
1.3,-1,860017,1.457167719820518e-16,,4.905832102594112,-0.8342570567298696,-2.451646518963509
1.3,-1,860018,3.191891195797325e-16,,5.330965438936095,-0.8310069966777812,-2.4506580203196027
1.3,-1,860019,3.505442464080133e-14,,5.330962216920211,-0.8252318004168675,-2.4489339646918675
1.3,-1,860020,1.97758476261356e-16,,5.32234010241274,-0.8495875457071012,-2.4628992398166747
1.3,-1,860021,2.1423834928313568e-16,,4.052098341352384,-0.8400669027348008,-2.4534468908780656
1.3,-1,860022,4.8138576458356397e-17,,5.524782266513483,-0.8299057711983278,-2.450326121640016
1.3,-1,860023,1.5439038936193583e-16,,4.657926937194966,-0.8248646124422003,-2.4488256313775723
1.3,-1,860024,2.1458529397833104e-15,,5.158302323567154,-0.8471629012253767,-2.455837048797604
1.3,-1,860025,1.8930169931596907e-14,,5.7034259779714045,-0.8110031723146448,-2.444858486717921
1.3,-1,860026,2.7668839441830073e-16,,5.1576487268804545,-0.8333888926657735,-2.4513812227091045
1.3,-1,860027,2.877906246645523e-15,,5.725640202317312,-0.8229791295203294,-2.448272510599495
1.3,-1,860028,8.391724815037804e-16,,5.087450897678229,-0.8321150025524032,-2.4509934943163914
1.3,-1,860029,1.6566609195578508e-16,,5.483220611605762,-0.8441324419425171,-2.4547323969685357
1.3,-1,860030,1.0061396160665481e-16,,4.972906791787421,-0.820799841098208,-2.4476385087977888
1.3,-1,860031,1.1706087488239092e-13,,5.8322620067214395,-0.8259687084690895,-2.4491516108828337
1.3,-1,860032,1.0321604682062002e-16,,5.401335507139681,-0.8196623590422119,-2.4473098606304498
1.3,-1,860033,1.3704315460216776e-16,,4.761023807791217,-0.8382503894173055,-2.4528793889002154
1.3,-1,860034,6.158268339717665e-16,,4.391500972662051,-0.8435739892185041,-2.454554622624774
1.3,-1,860035,2.411265631607762e-16,,5.398022434508462,-0.8290546132587809,-2.4500705447460294
1.3,-1,860036,4.388850394221322e-16,,5.226069651668261,-0.8314016096760557,-2.450777339342266
1.3,-1,860037,3.5128150388530344e-16,,5.539018436404993,-0.822814524926125,-2.448224418849152
1.3,-1,860038,1.0009354456386177e-15,,5.2939509204526,-0.834817888887115,-2.4518184609112113
1.3,-1,860039,1.1427490897997217e-15,,5.376380316683799,-0.8490303020967778,-2.4612351980866123
1.5,0,860000,3.382710778154774e-17,,3.0935756488380366,1.013638758721118,-2.2890087868686764
1.5,0,860001,9.514871529558988e-14,,2.644126030466824,1.0384366065160064,-2.2984397598050323
1.5,0,860002,1.2967057982926633e-16,,2.7683381326650345,1.03983280337067,-2.3026495651936427
1.5,0,860003,9.41521166586412e-15,,2.077141871008669,1.0385528006531402,-2.298785456862949
1.5,0,860004,7.025630077706069e-17,,2.901470953047265,1.0157544469463644,-2.2896000167999837
1.5,0,860005,2.680147770384167e-16,,2.2785586629866432,1.0329391309654816,-2.294575171312551
1.5,0,860006,4.462576141950336e-16,,2.1501035926657375,1.0220639475216007,-2.2913905368487844
1.5,0,860007,4.4738518445441855e-15,,2.626745257805398,1.0090714832057899,-2.28774801703458
1.5,0,860008,1.2836953722228372e-16,,2.4505445462456943,1.028240961492212,-2.2931839613780434
1.5,0,860009,4.715412088573956e-15,,2.376230390966125,1.0327440744169234,-2.294516862771734
1.5,0,860010,3.0791341698588326e-16,,2.3851601335807424,1.036683104291569,-2.2957007601435437
1.5,0,860011,3.9898639947466563e-17,,2.675940562339597,1.017069809186998,-2.2899699148214445
