a,winding,opt,cell,gamma,seed,s_cross,w2_own,winding_k,b1_offset,mirror,chi,kappa_k,pred_r,init_winding,obs_r,winding_b,s_branch,branch_over_own,obs_r_branch
1.3,-1,sgd,0,5.932277269475824e-06,860000,4.565629702717188,6.059375,-1,-0.0129734794832607,False,0.0001312396513991,7.619648401522177,0.001,-1,-0.2465180480301702,-1,4.561271205028657,0.75276265374377,0.0009555445165649878
1.3,-1,sgd,0,5.932277269475824e-06,860001,5.290852935974969,5.284375,-1,-0.0044680831178123,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0012258660626789,-1,5.284926053959541,1.0001042798740705,0.001121469241937012
1.3,-1,sgd,0,5.932277269475824e-06,860002,4.44072262896,5.371875,-1,0.0022712458538034,False,0.0001312396513991,7.619648401522177,0.001,-1,-0.173338428582199,-1,4.436461122882362,0.8258682718571004,0.0009605642785097679
1.3,-1,sgd,0,5.932277269475824e-06,860003,6.153245425089588,6.146875,-1,0.0033595636549872,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0010363680877825,-1,6.145854564329206,0.9998339911465919,0.0012025765795498078
1.3,-1,sgd,0,5.932277269475824e-06,860004,4.266289946268689,5.659375,-1,-0.0021347599310388,False,0.0001312396513991,7.619648401522177,0.001,-1,-0.246155282823865,-1,4.262572782994976,0.7531879020200952,0.000872046874728305
1.3,-1,sgd,0,5.932277269475824e-06,860005,5.650000931680523,5.646875,-1,0.00467065152531,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0005535684215647,-1,5.644042373794404,0.9994983727804148,0.001055725221657644
1.3,-1,sgd,0,5.932277269475824e-06,860006,5.840192446695577,5.834375,-1,0.0044772854471979,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0009970985230769,-1,5.8335610818840955,0.9998604960915429,0.0011367610141383988
1.3,-1,sgd,0,5.932277269475824e-06,860007,5.075855354383234,5.071875,-1,0.0008069994013109,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0007847895271932,-1,5.070746928386485,0.9997775829227818,0.001007430674197396
1.3,-1,sgd,0,5.932277269475824e-06,860008,5.2712412326421205,5.265625,-1,-0.0020879539920706,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0010665842406401,-1,5.265314680056628,0.9999410668356801,0.0011255837391714874
1.3,-1,sgd,0,5.932277269475824e-06,860009,5.510705678611741,5.503125,-1,-0.0001459597567405,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0013775225188854,-1,5.504604859446335,1.0002689125626503,0.001108311917237037
1.3,-1,sgd,0,5.932277269475824e-06,860010,5.202924051389011,4.684375,-1,0.0016599409234094,False,0.0001312396513991,7.619648401522177,0.001,-1,0.1106975960270069,-1,5.19789872756701,1.1096248117554657,0.0009667991019812749
1.3,-1,sgd,0,5.932277269475824e-06,860011,4.629394630693594,4.621875,-1,-0.0043611448014839,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0016269653968559,-1,4.624568261784122,1.0005827206023794,0.00104363664590168
1.3,-1,sgd,0,5.932277269475824e-06,860012,5.420634207461943,4.965625,-1,-0.0013298842255347,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0916318101874271,-1,5.415034799527506,1.0905041761163008,0.0010340483748925156
1.3,-1,sgd,0,5.932277269475824e-06,860013,6.050553669110498,6.046875,-1,0.0072445659295281,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0006083587159479,-1,6.044290816943877,0.9995726415617782,0.0010361599658745835
1.3,-1,sgd,0,5.932277269475824e-06,860014,5.138570188928877,5.134375,-1,0.0003085727153306,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0008170787932078,-1,5.13303408802393,0.99973883637715,0.0010785240873156798
1.3,-1,sgd,0,5.932277269475824e-06,860015,4.588083685966557,4.584375,-1,-0.0006165244844291,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0008089839872515,-1,4.583356896719108,0.9997779188480673,0.0010312941701817735
1.3,-1,sgd,0,5.932277269475824e-06,860016,4.311143531000382,6.140625,-1,-0.0135367261475956,False,0.0001312396513991,7.619648401522177,0.001,-1,-0.2979308244681312,-1,4.307454773315346,0.7014684618121683,0.0008563659699662995
1.3,-1,sgd,0,5.932277269475824e-06,860017,4.9107008719972685,5.278125,-1,-0.000246843598143,False,0.0001312396513991,7.619648401522177,0.001,-1,-0.0696126234226608,-1,4.905832102594112,0.9294649335879904,0.0009924451757290509
1.3,-1,sgd,0,5.932277269475824e-06,860018,5.336370161398896,4.878125,-1,0.0007356784237009,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0939387902931754,-1,5.330965438936095,1.0928308395000323,0.0010138355847002511
1.3,-1,sgd,0,5.932277269475824e-06,860019,5.336813375387258,5.328125,-1,0.0024612158113708,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0016306628292801,-1,5.330962216920211,1.0005324981903037,0.0010975801795172213
1.3,-1,sgd,0,5.932277269475824e-06,860020,5.328335382153332,5.321875,-1,-0.0115262234127211,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0012139297058522,-1,5.32234010241274,1.0000873944639324,0.001126436797579844
1.3,-1,sgd,0,5.932277269475824e-06,860021,4.055632540835436,6.215625,-1,-0.0020435655641062,False,0.0001312396513991,7.619648401522177,0.001,-1,-0.3475100990108901,-1,4.052098341352384,0.6519213017761502,0.0008721899582211368
1.3,-1,sgd,0,5.932277269475824e-06,860022,5.530584906270315,5.521875,-1,0.0010656843822589,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0015773457874934,-1,5.524782266513483,1.000526499877937,0.0010502929304567754
1.3,-1,sgd,0,5.932277269475824e-06,860023,4.662052765701463,5.246875,-1,0.0025729240113694,False,0.0001312396513991,7.619648401522177,0.001,-1,-0.1114610571623179,-1,4.657926937194966,0.8877526026815896,0.0008857649684350655
1.3,-1,sgd,0,5.932277269475824e-06,860024,5.164362713716912,5.159375,-1,-0.0044457425202235,False,0.0001312396513991,7.619648401522177,0.001,-1,0.000966728279474,-1,5.158302323567154,0.999792091787698,0.0011748807591345223
1.3,-1,sgd,0,5.932277269475824e-06,860025,5.710689339970587,5.703125,-1,0.006538153293639,False,0.0001312396513991,7.619648401522177,0.001,-1,0.00132635002224,-1,5.7034259779714045,1.0000527742196434,0.0012735085941741886
1.3,-1,sgd,0,5.932277269475824e-06,860026,5.162861746733855,5.103125,-1,1.7283780712418206e-05,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0117059148529292,-1,5.1576487268804545,1.010684380037811,0.0010107357304562914
1.3,-1,sgd,0,5.932277269475824e-06,860027,5.731561988615015,5.728125,-1,0.00311455300029,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0006000198345905,-1,5.725640202317312,0.9995662109882922,0.0010342574958353001
1.3,-1,sgd,0,5.932277269475824e-06,860028,5.092866615767274,5.084375,-1,0.0004072432213799,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0016701395485727,-1,5.087450897678229,1.0006049706558289,0.0010645248864253887
1.3,-1,sgd,0,5.932277269475824e-06,860029,5.489692816877357,5.484375,-1,-0.0033364132488156,False,0.0001312396513991,7.619648401522177,0.001,-1,0.0009696304277801,-1,5.483220611605762,0.9997895132272614,0.0011803656518754035
