a,gamma,n_crossed,median_eta_lambda,median_pred_r
1.3,0.0001,8,11.257957697529204,6.667572109690676e-05
1.3,0.00017689360204744251,6,9.85528986709739,0.00013478586642208876
1.3,0.0003129134644531899,3,11.281007368573764,0.00016086165192983386
1.3,0.0005535238985626913,3,2.09563351412548,0.0019750071457114017
1.3,0.0009791483623609774,3,0.42291946338870245,0.017603697763116034
1.3,0.0017320508075688776,0,,
1.3,0.0030638870628004046,0,,
1.3,0.005419820188053223,0,,
1.3,0.009587315155141827,0,,
1.3,0.01695934711757073,0,,
1.3,0.03,0,,
1.5,0.0001,8,11.53420184960022,3.55722435969005e-05
1.5,0.00017689360204744251,6,4.3702553897472125,0.00018060049900058575
1.5,0.0003129134644531899,3,2.1698218197650134,0.0003349889810389793
1.5,0.0005535238985626913,3,0.781979579241863,0.0017795895468431231
1.5,0.0009791483623609774,3,0.3559134601125256,0.007296909372362776
1.5,0.0017320508075688776,2,0.10153386325107001,0.20529741793905015
1.5,0.0030638870628004046,0,,
1.5,0.005419820188053223,0,,
1.5,0.009587315155141827,0,,
1.5,0.01695934711757073,0,,
1.5,0.03,0,,
