a,winding,chi_target,gamma,lambda_min_pop,kappa,end_factor,s_star_pop
1.3,-1,0.03,0.0013560560104124342,0.15067289004582604,7.619648401522177,3.0,4.956250000000001
1.3,-1,0.06,0.0027121120208248683,0.15067289004582604,7.619648401522177,3.0,4.956250000000001
1.3,-1,0.1,0.004520186701374781,0.15067289004582604,7.619648401522177,4.0478593606088715,4.956250000000001
1.3,-1,0.2,0.009040373402749562,0.15067289004582604,7.619648401522177,7.095718721217742,4.956250000000001
1.3,-1,0.4,0.018080746805499124,0.15067289004582604,7.619648401522177,13.191437442435484,4.956250000000001
1.5,0,0.03,0.0013438636915228345,0.14931818794698162,4.074390836184839,3.0,2.53125
1.5,0,0.06,0.002687727383045669,0.14931818794698162,4.074390836184839,3.0,2.53125
1.5,0,0.1,0.004479545638409448,0.14931818794698162,4.074390836184839,3.0,2.53125
1.5,0,0.2,0.008959091276818897,0.14931818794698162,4.074390836184839,4.259512668947871,2.53125
1.5,0,0.4,0.017918182553637793,0.14931818794698162,4.074390836184839,7.519025337895743,2.53125
