a,arm,n_crossed,median_residual,control_minus_arm_ci_lo,control_minus_arm_ci_hi,excluded,verdict,4b-ID,4b-OM
1.3,control,48.0,0.031053051786016583,,,0.0,,,
1.3,teleport,48.0,0.030663501347584554,-0.0001064024079034942,0.0006809016900282128,0.0,,,
1.3,reset,48.0,0.03148379449908689,-0.0016131706347134595,0.0001536405315503142,0.0,,,
1.3,teleport_reset,48.0,0.031296535551409765,-0.001432907039508216,0.000370183178363126,0.0,,,
1.3,VERDICT,,,,,,competing: neither removes half; mechanism unresolved,FAIL,FAIL
1.5,control,48.0,0.06559416360338088,,,0.0,,,
1.5,teleport,48.0,0.06504297854383267,-0.00016332040111688428,0.001933025904499508,0.0,,,
1.5,reset,48.0,0.06721890090942606,-0.005031983114062166,0.00020159503682548596,0.0,,,
1.5,teleport_reset,48.0,0.06542192689152293,-0.003055789035998796,0.0021774915590558885,0.0,,,
1.5,VERDICT,,,,,,competing: neither removes half; mechanism unresolved,FAIL,FAIL
