a,point,feature,n,spearman_rho,perm_p_two_sided,median_feature
1.3,primary,dist,48,0.6753148067737734,9.999000099990002e-05,0.008617932391245451
1.3,primary,soft_component,48,0.6798740772904907,9.999000099990002e-05,0.0072016910196441
1.3,primary,stiff_component,48,0.6260312635692574,9.999000099990002e-05,0.0048232303411983
1.3,primary,sqrt_vhat_w1,48,0.1025835866261398,0.4767523247675233,0.008686666308239749
1.3,primary,sqrt_vhat_b1,48,0.054277029960920535,0.7138286171382862,0.007824036344889651
1.3,primary,sqrt_vhat_w2,48,-0.46623968736430743,0.0015998400159984002,0.006149175789938699
1.3,primary,sqrt_vhat_b2,48,-0.19040382110290927,0.19008099190080993,0.0137983979546181
1.3,primary,log_vhat_ratio_w2_w1,48,-0.4161962657403387,0.0034996500349965005,0.12734090176488916
1.3,tstar,dist,48,0.3166521927920104,0.025697430256974303,1.941166713550542
1.3,tstar,soft_component,48,-0.049500651324359525,0.7473252674732527,1.0682043097212657
1.3,tstar,stiff_component,48,0.3145896656534954,0.027897210278972105,1.6355256777574616
1.3,tstar,sqrt_vhat_w1,48,-0.3945940078158923,0.006199380061993801,0.0082068545993708
1.3,tstar,sqrt_vhat_b1,48,-0.27290490664350847,0.06259374062593741,0.009037271422875151
1.3,tstar,sqrt_vhat_w2,48,-0.4592922275293096,0.0017998200179982,0.04953608380040415
1.3,tstar,sqrt_vhat_b2,48,-0.3349978289188016,0.0212978702129787,0.024128722797841097
1.3,tstar,log_vhat_ratio_w2_w1,48,-0.2072297003907946,0.1566843315668433,2.5394968876323043
1.5,primary,dist,48,0.6680416847590099,9.999000099990002e-05,0.0239110218228884
1.5,primary,soft_component,48,0.6602257924446375,9.999000099990002e-05,0.021349078331285
1.5,primary,stiff_component,48,0.5092270950933565,0.00039996000399960006,0.0110361080343578
1.5,primary,sqrt_vhat_w1,48,-0.0224706904038211,0.8748125187481252,0.0161162985219836
1.5,primary,sqrt_vhat_b1,48,-0.08098132870169343,0.5921407859214078,0.01242424649586335
1.5,primary,sqrt_vhat_w2,48,-0.4802431610942249,0.0008999100089991,0.0143431107117491
1.5,primary,sqrt_vhat_b2,48,-0.36419887103777676,0.011698830116988301,0.023741983104054502
1.5,primary,log_vhat_ratio_w2_w1,48,-0.4328050369083804,0.0020997900209979003,-0.005626354968408097
1.5,tstar,dist,48,0.35692574902301344,0.011398860113988602,1.9207078866120533
1.5,tstar,soft_component,48,-0.04884932696482848,0.7454254574542546,1.0324559194180478
1.5,tstar,stiff_component,48,0.33738601823708203,0.017298270172982702,1.653881733552569
1.5,tstar,sqrt_vhat_w1,48,-0.42607468519322617,0.0030996900309969004,0.009852935204707751
1.5,tstar,sqrt_vhat_b1,48,-0.3125271385149805,0.031296870312968704,0.011177650695938651
1.5,tstar,sqrt_vhat_w2,48,-0.47861485019539735,0.0007999200079992001,0.06195508054785125
1.5,tstar,sqrt_vhat_b2,48,-0.38536691272253576,0.007799220077992201,0.03030068431217415
1.5,tstar,log_vhat_ratio_w2_w1,48,-0.20755536257056012,0.15758424157584242,2.3615865095406225
