quantity,value
R_glob_inf certified lo,0.19737683416875
R_glob_inf certified hi,0.1991876308125
finite-a certified R width max,0.0014022512632846929
"dev min (%), midpoints",7.609746608768875
"dev max (%), midpoints",13.505544561510519
dev all positive (worst corner),1.0
"dev monotone in a, midpoints",1.0
"corr(eps, dev), midpoints",0.9986721472154834
"log-log slope, midpoints",0.8291835056358163
"log-log slope, min over certified box",0.71448692713364
"log-log slope, max over certified box",0.9542085134319627
"slope range inside registered band [0.5, 2]",1.0
"c1, midpoints",0.23626007065579377
c1 min over box,0.21984927315940206
c1 max over box,0.2528214259273818
"c1 fit max residual, midpoints",0.0013286092882348888
one-term law R_inf(1 + c1 eps) feasible within all certified intervals,0.0
two-term law (eps and eps^2) feasible within all certified intervals,1.0
two-term law: m (= R_inf c1) min over feasible,0.048487499999999996
two-term law: m max over feasible,0.0634125
two-term law: c1 = m/R_inf min over feasible,0.24342625996512013
two-term law: c1 max over feasible,0.3212763051300368
two-term law: q (eps^2 coefficient) min over feasible,-0.030703006223930074
two-term law: q max over feasible,-0.007007557338387969
"limit-free linear fit: intercept alpha, midpoints",0.20184647451926635
limit-free intercept min over box,0.20015458035460323
limit-free intercept max over box,0.2035383686839294
"limit-free slope beta, midpoints",0.03902589638927467
"limit-free linear fit max residual, midpoints",0.0002846747797848048
limit-free intercept range overlaps certified limit,0.0
limit-free intercept midpoint inside certified limit,0.0
