a,n,seed,w2_lo,w2_hi,cert_lo,cert_hi,agrees
1.3,400,300000,4.88125,4.8875,minus,plus,True
1.3,400,300001,4.8875,4.89375,minus,plus,True
1.5,400,300000,2.5,2.50625,minus,plus,True
1.5,400,300001,2.49375,2.5,minus,plus,True
1.3,1600,300000,5.63125,5.6375,minus,plus,True
1.3,1600,300001,4.85,4.85625,minus,plus,True
1.5,1600,300000,2.875,2.88125,minus,plus,True
1.5,1600,300001,2.46875,2.475,unresolved,plus,False
1.3,6400,300000,5.1125,5.11875,unresolved,plus,False
1.3,6400,300001,4.79375,4.8,minus,plus,True
1.5,6400,300000,2.60625,2.6125,minus,plus,True
1.5,6400,300001,2.44375,2.45,minus,plus,True
