a,quantity,n,value,ci_lo,ci_hi,consistent_with_zero
1.3,own_excess,400,0.04224464060529609,0.0182849936948295,0.07377049180327844,False
1.3,own_excess,1600,0.0390920554854981,0.014501891551071733,0.051071878940731175,False
1.3,own_excess,6400,0.011979823455233074,0.0050441361916770955,0.022068095838587487,False
1.3,free_offset,400,0.0706079644141755,0.03688860228137836,0.09806542844232524,False
1.3,free_offset,1600,0.05587248371935205,0.03162159874275283,0.07332299254082453,False
1.3,free_offset,6400,0.04214727870231538,0.03135998588419797,0.0522635084967511,False
1.5,own_excess,400,0.04444444444444429,0.013580246913580174,0.07283950617283952,False
1.5,own_excess,1600,0.03580246913580254,0.012345679012345734,0.05061728395061715,False
1.5,own_excess,6400,0.011111111111111072,0.0024691358024691024,0.02098765432098748,False
1.5,free_offset,400,0.10620004391810789,0.08330451066661548,0.1374701445461537,False
1.5,free_offset,1600,0.0853060131370893,0.06934097668801442,0.110380810007765,False
1.5,free_offset,6400,0.07479115738141973,0.06416618309215649,0.08339486313529942,False
