a,quantity,n_small,n_large,difference,ci_lo,ci_hi,strictly_decreasing,note
1.3,own_excess,400,1600,0.0031525851197979904,-0.0252206809583857,0.045397225725094525,True,
1.3,own_excess,400,6400,0.030264817150063017,0.0031525851197982124,0.061160151324085595,True,
1.3,own_excess,1600,6400,0.027112232030265027,-0.0006305170239595537,0.04161412358133676,True,
1.3,free_offset,400,1600,0.014735480694823444,-0.022203200037195003,0.0484334006397249,True,
1.3,free_offset,400,6400,0.028460685711860112,-0.005030689834773172,0.05610343956561954,True,
1.3,free_offset,1600,6400,0.013725205017036668,-0.009558603907952422,0.03634823999414492,True,
1.5,own_excess,400,1600,0.008641975308641747,-0.02839506172839501,0.04814814814814827,True,
1.5,own_excess,400,6400,0.033333333333333215,0.0012345679012344402,0.06419753086419733,True,
1.5,own_excess,1600,6400,0.024691358024691468,0.0,0.041975308641975406,True,
1.5,free_offset,400,1600,0.02089403078101859,-0.017024300631234945,0.05302365470272466,True,
1.5,free_offset,400,6400,0.03140888653668816,0.0072460917017727715,0.06267062654178951,True,
1.5,free_offset,1600,6400,0.010514855755669572,-0.00723590404235952,0.03887439101053913,True,
