a,n,seed,w2_lo,w2_hi,w2_own
1.3,400,300000,4.88125,4.8875,4.884375
1.3,400,300001,4.8875,4.89375,4.890625
1.3,400,300002,4.41875,4.425,4.421875
1.3,400,300003,5.79375,5.8,5.796875
1.3,400,300004,4.675,4.68125,4.678125
1.3,400,300005,5.53125,5.5375,5.534375
1.3,400,300006,5.08125,5.0875,5.084375
1.3,400,300007,4.9375,4.94375,4.940625
1.3,400,300008,5.175,5.18125,5.178125
1.3,400,300009,5.6,5.60625,5.603125
1.3,400,300010,5.175,5.18125,5.178125
1.3,400,300011,5.7125,5.71875,5.715625
1.3,400,300012,5.74375,5.75,5.746875
1.3,400,300013,5.675,5.68125,5.678125
1.3,400,300014,4.93125,4.9375,4.934375
1.3,400,300015,5.1375,5.14375,5.140625
1.3,400,300016,4.9625,4.96875,4.965625
1.3,400,300017,5.03125,5.0375,5.034375
1.3,400,300018,5.7,5.70625,5.703125
1.3,400,300019,4.98125,4.9875,4.984375
1.3,400,300020,5.35625,5.3625,5.359375
1.3,400,300021,5.04375,5.05,5.046875
1.3,400,300022,5.325,5.33125,5.328125
1.3,400,300023,5.73125,5.7375,5.734375
1.3,400,300024,5.35,5.35625,5.353125
1.3,400,300025,5.15,5.15625,5.153125
1.3,400,300026,5.2875,5.29375,5.290625
1.3,400,300027,4.75,4.75625,4.753125
1.3,400,300028,4.70625,4.7125,4.709375
1.3,400,300029,4.44375,4.45,4.446875
1.3,400,300030,5.05625,5.0625,5.059375
1.3,400,300031,5.8375,5.84375,5.840625
1.3,400,300032,4.78125,4.7875,4.784375
1.3,400,300033,5.225,5.23125,5.228125
1.3,400,300034,5.3125,5.31875,5.315625
1.3,400,300035,5.0875,5.09375,5.090625
1.3,400,300036,4.825,4.83125,4.828125
1.3,400,300037,5.45,5.45625,5.453125
1.3,400,300038,5.5125,5.51875,5.515625
1.3,400,300039,5.09375,5.1,5.096875
1.3,400,300040,5.26875,5.275,5.271875
1.3,400,300041,4.675,4.68125,4.678125
1.3,400,300042,5.7,5.70625,5.703125
1.3,400,300043,5.46875,5.475,5.471875
1.3,400,300044,4.825,4.83125,4.828125
1.3,400,300045,4.60625,4.6125,4.609375
1.3,400,300046,6.18125,6.1875,6.184375
1.3,400,300047,4.775,4.78125,4.778125
1.3,400,300048,6.09375,6.1,6.096875
1.3,400,300049,5.26875,5.275,5.271875
1.5,400,300000,2.5,2.50625,2.503125
1.5,400,300001,2.49375,2.5,2.496875
1.5,400,300002,2.25,2.25625,2.253125
1.5,400,300003,2.94375,2.95,2.9468750000000004
1.5,400,300004,2.38125,2.3875,2.3843750000000004
1.5,400,300005,2.81875,2.825,2.8218750000000004
1.5,400,300006,2.58125,2.5875,2.5843749999999996
1.5,400,300007,2.5375,2.54375,2.5406250000000004
1.5,400,300008,2.6375,2.64375,2.640625
1.5,400,300009,2.85625,2.8625,2.859375
1.5,400,300010,2.64375,2.65,2.6468749999999996
1.5,400,300011,2.9125,2.91875,2.9156250000000004
1.5,400,300012,2.93125,2.9375,2.934375
1.5,400,300013,2.89375,2.9,2.8968749999999996
1.5,400,300014,2.5125,2.51875,2.515625
1.5,400,300015,2.6125,2.61875,2.6156249999999996
1.5,400,300016,2.5375,2.54375,2.5406250000000004
1.5,400,300017,2.575,2.58125,2.578125
1.5,400,300018,2.9,2.90625,2.903125
1.5,400,300019,2.55,2.55625,2.5531249999999996
1.5,400,300020,2.725,2.73125,2.7281250000000004
1.5,400,300021,2.575,2.58125,2.578125
1.5,400,300022,2.7125,2.71875,2.715625
1.5,400,300023,2.93125,2.9375,2.934375
1.5,400,300024,2.7375,2.74375,2.7406249999999996
1.5,400,300025,2.65,2.65625,2.653125
1.5,400,300026,2.7,2.70625,2.703125
1.5,400,300027,2.43125,2.4375,2.434375
1.5,400,300028,2.4,2.40625,2.403125
1.5,400,300029,2.28125,2.2875,2.284375
1.5,400,300030,2.5875,2.59375,2.590625
1.5,400,300031,2.96875,2.975,2.971875
1.5,400,300032,2.43125,2.4375,2.434375
1.5,400,300033,2.66875,2.675,2.671875
1.5,400,300034,2.71875,2.725,2.721875
1.5,400,300035,2.58125,2.5875,2.5843749999999996
1.5,400,300036,2.46875,2.475,2.471875
1.5,400,300037,2.775,2.78125,2.778125
1.5,400,300038,2.80625,2.8125,2.809375
1.5,400,300039,2.5,2.50625,2.503125
1.5,400,300040,2.69375,2.7,2.6968750000000004
1.5,400,300041,2.375,2.38125,2.378125
1.5,400,300042,2.9125,2.91875,2.9156250000000004
1.5,400,300043,2.79375,2.8,2.796875
1.5,400,300044,2.4625,2.46875,2.465625
1.5,400,300045,2.34375,2.35,2.346875
1.5,400,300046,3.15625,3.1625,3.159375
1.5,400,300047,2.45,2.45625,2.453125
1.5,400,300048,3.11875,3.125,3.121875
1.5,400,300049,2.69375,2.7,2.6968750000000004
1.3,1600,300000,5.63125,5.6375,5.634375
1.3,1600,300001,4.85,4.85625,4.853125
1.3,1600,300002,5.8125,5.81875,5.815625
1.3,1600,300003,5.5375,5.54375,5.540625
1.3,1600,300004,4.6375,4.64375,4.640625
1.3,1600,300005,5.45,5.45625,5.453125
1.3,1600,300006,4.7875,4.79375,4.790625
1.3,1600,300007,5.20625,5.2125,5.209375
1.3,1600,300008,5.03125,5.0375,5.034375
1.3,1600,300009,5.01875,5.025,5.021875
1.3,1600,300010,4.94375,4.95,4.946875
1.3,1600,300011,5.1,5.10625,5.103125
1.3,1600,300012,4.9375,4.94375,4.940625
1.3,1600,300013,4.79375,4.8,4.796875
1.3,1600,300014,4.89375,4.9,4.896875
1.3,1600,300015,5.20625,5.2125,5.209375
1.3,1600,300016,5.20625,5.2125,5.209375
1.3,1600,300017,4.8625,4.86875,4.865625
1.3,1600,300018,4.55,4.55625,4.553125
1.3,1600,300019,5.275,5.28125,5.278125
1.3,1600,300020,5.15,5.15625,5.153125
1.3,1600,300021,5.15625,5.1625,5.159375
1.3,1600,300022,4.8875,4.89375,4.890625
1.3,1600,300023,5.35625,5.3625,5.359375
1.3,1600,300024,4.675,4.68125,4.678125
1.3,1600,300025,4.8625,4.86875,4.865625
1.3,1600,300026,4.775,4.78125,4.778125
1.3,1600,300027,5.45625,5.4625,5.459375
1.3,1600,300028,4.89375,4.9,4.896875
1.3,1600,300029,5.06875,5.075,5.071875
1.3,1600,300030,5.4125,5.41875,5.415625
1.3,1600,300031,5.43125,5.4375,5.434375
1.3,1600,300032,5.3375,5.34375,5.340625
1.3,1600,300033,5.05625,5.0625,5.059375
1.3,1600,300034,5.15625,5.1625,5.159375
1.3,1600,300035,5.51875,5.525,5.521875
1.3,1600,300036,5.23125,5.2375,5.234375
1.3,1600,300037,5.18125,5.1875,5.184375
1.3,1600,300038,4.81875,4.825,4.821875
1.3,1600,300039,5.45625,5.4625,5.459375
1.3,1600,300040,5.26875,5.275,5.271875
1.3,1600,300041,5.33125,5.3375,5.334375
1.3,1600,300042,4.78125,4.7875,4.784375
1.3,1600,300043,5.6125,5.61875,5.615625
1.3,1600,300044,5.14375,5.15,5.146875
1.3,1600,300045,5.08125,5.0875,5.084375
1.3,1600,300046,5.025,5.03125,5.028125
1.3,1600,300047,4.81875,4.825,4.821875
1.3,1600,300048,5.19375,5.2,5.196875
1.3,1600,300049,5.3,5.30625,5.303125
1.5,1600,300000,2.875,2.88125,2.878125
1.5,1600,300001,2.46875,2.475,2.471875
1.5,1600,300002,2.96875,2.975,2.971875
1.5,1600,300003,2.81875,2.825,2.8218750000000004
1.5,1600,300004,2.375,2.38125,2.378125
1.5,1600,300005,2.78125,2.7875,2.784375
1.5,1600,300006,2.44375,2.45,2.4468750000000004
1.5,1600,300007,2.65625,2.6625,2.659375
1.5,1600,300008,2.5625,2.56875,2.565625
1.5,1600,300009,2.55625,2.5625,2.559375
1.5,1600,300010,2.525,2.53125,2.528125
1.5,1600,300011,2.59375,2.6,2.596875
1.5,1600,300012,2.5125,2.51875,2.515625
1.5,1600,300013,2.44375,2.45,2.4468750000000004
1.5,1600,300014,2.5,2.50625,2.503125
1.5,1600,300015,2.65625,2.6625,2.659375
1.5,1600,300016,2.65625,2.6625,2.659375
1.5,1600,300017,2.475,2.48125,2.4781250000000004
1.5,1600,300018,2.325,2.33125,2.328125
1.5,1600,300019,2.6875,2.69375,2.690625
1.5,1600,300020,2.61875,2.625,2.621875
1.5,1600,300021,2.625,2.63125,2.628125
1.5,1600,300022,2.49375,2.5,2.496875
1.5,1600,300023,2.725,2.73125,2.7281250000000004
1.5,1600,300024,2.375,2.38125,2.378125
1.5,1600,300025,2.48125,2.4875,2.484375
1.5,1600,300026,2.4375,2.44375,2.440625
1.5,1600,300027,2.78125,2.7875,2.784375
1.5,1600,300028,2.49375,2.5,2.496875
1.5,1600,300029,2.58125,2.5875,2.5843749999999996
1.5,1600,300030,2.7625,2.76875,2.765625
1.5,1600,300031,2.775,2.78125,2.778125
1.5,1600,300032,2.71875,2.725,2.721875
1.5,1600,300033,2.575,2.58125,2.578125
1.5,1600,300034,2.63125,2.6375,2.6343750000000004
1.5,1600,300035,2.8125,2.81875,2.815625
1.5,1600,300036,2.6625,2.66875,2.6656250000000004
1.5,1600,300037,2.64375,2.65,2.6468749999999996
1.5,1600,300038,2.45625,2.4625,2.4593749999999996
1.5,1600,300039,2.7875,2.79375,2.7906250000000004
1.5,1600,300040,2.6875,2.69375,2.690625
1.5,1600,300041,2.71875,2.725,2.721875
1.5,1600,300042,2.44375,2.45,2.4468750000000004
1.5,1600,300043,2.86875,2.875,2.871875
1.5,1600,300044,2.61875,2.625,2.621875
1.5,1600,300045,2.59375,2.6,2.596875
1.5,1600,300046,2.5625,2.56875,2.565625
1.5,1600,300047,2.45625,2.4625,2.4593749999999996
1.5,1600,300048,2.64375,2.65,2.6468749999999996
1.5,1600,300049,2.7,2.70625,2.703125
1.3,6400,300000,5.1125,5.11875,5.115625
1.3,6400,300001,4.79375,4.8,4.796875
1.3,6400,300002,5.075,5.08125,5.078125
1.3,6400,300003,4.8375,4.84375,4.840625
1.3,6400,300004,5.35625,5.3625,5.359375
1.3,6400,300005,5.16875,5.175,5.171875
1.3,6400,300006,4.95625,4.9625,4.959375
1.3,6400,300007,4.80625,4.8125,4.809375
1.3,6400,300008,5.025,5.03125,5.028125
1.3,6400,300009,5.20625,5.2125,5.209375
1.3,6400,300010,4.96875,4.975,4.971875
1.3,6400,300011,4.875,4.88125,4.878125
1.3,6400,300012,5.03125,5.0375,5.034375
1.3,6400,300013,5.0125,5.01875,5.015625
1.3,6400,300014,5.23125,5.2375,5.234375
1.3,6400,300015,4.98125,4.9875,4.984375
1.3,6400,300016,5.05,5.05625,5.053125
1.3,6400,300017,5.0,5.00625,5.003125
1.3,6400,300018,4.93125,4.9375,4.934375
1.3,6400,300019,4.91875,4.925,4.921875
1.3,6400,300020,5.0625,5.06875,5.065625
1.3,6400,300021,4.91875,4.925,4.921875
1.3,6400,300022,5.04375,5.05,5.046875
1.3,6400,300023,4.99375,5.0,4.996875
1.3,6400,300024,4.8875,4.89375,4.890625
1.3,6400,300025,5.11875,5.125,5.121875
1.3,6400,300026,5.0875,5.09375,5.090625
1.3,6400,300027,4.8875,4.89375,4.890625
1.3,6400,300028,5.0125,5.01875,5.015625
1.3,6400,300029,4.94375,4.95,4.946875
1.3,6400,300030,5.2375,5.24375,5.240625
1.3,6400,300031,4.98125,4.9875,4.984375
1.3,6400,300032,4.975,4.98125,4.978125
1.3,6400,300033,5.08125,5.0875,5.084375
1.3,6400,300034,4.80625,4.8125,4.809375
1.3,6400,300035,5.18125,5.1875,5.184375
1.3,6400,300036,5.08125,5.0875,5.084375
1.3,6400,300037,4.81875,4.825,4.821875
1.3,6400,300038,4.96875,4.975,4.971875
1.3,6400,300039,5.06875,5.075,5.071875
1.3,6400,300040,4.85625,4.8625,4.859375
1.3,6400,300041,4.91875,4.925,4.921875
1.3,6400,300042,5.0875,5.09375,5.090625
1.3,6400,300043,5.01875,5.025,5.021875
1.3,6400,300044,5.1375,5.14375,5.140625
1.3,6400,300045,5.00625,5.0125,5.009375
1.3,6400,300046,5.09375,5.1,5.096875
1.3,6400,300047,5.25625,5.2625,5.259375
1.3,6400,300048,5.00625,5.0125,5.009375
1.3,6400,300049,5.1375,5.14375,5.140625
1.5,6400,300000,2.60625,2.6125,2.609375
1.5,6400,300001,2.44375,2.45,2.4468750000000004
1.5,6400,300002,2.5875,2.59375,2.590625
1.5,6400,300003,2.4625,2.46875,2.465625
1.5,6400,300004,2.73125,2.7375,2.734375
1.5,6400,300005,2.63125,2.6375,2.6343750000000004
1.5,6400,300006,2.525,2.53125,2.528125
1.5,6400,300007,2.44375,2.45,2.4468750000000004
1.5,6400,300008,2.55625,2.5625,2.559375
1.5,6400,300009,2.65625,2.6625,2.659375
1.5,6400,300010,2.53125,2.5375,2.534375
1.5,6400,300011,2.4875,2.49375,2.4906249999999996
1.5,6400,300012,2.5625,2.56875,2.565625
