a,n,seed,w2_lo,w2_hi,w2_own,w2_glob_lo,w2_glob_hi,overlap,mid_diff
1.3,400,0,4.7375,4.74375,4.740625,4.738281,4.742188,True,0.0003904999999999603
1.3,400,1,5.1,5.10625,5.103125,5.101562,5.105469,True,-0.0003904999999999603
1.3,400,2,4.88125,4.8875,4.884375,4.886719,4.890625,True,-0.004296999999999329
1.3,400,3,5.7875,5.79375,5.790625,5.789062,5.792969,True,-0.0003904999999999603
1.3,400,4,4.34375,4.35,4.346875,4.34375,4.347656,True,0.0011719999999995068
1.3,400,5,4.83125,4.8375,4.834375,4.835938,4.839844,True,-0.0035160000000002967
1.3,400,6,4.68125,4.6875,4.684375,4.683594,4.6875,True,-0.0011719999999995068
1.3,400,7,5.025,5.03125,5.028125,5.027344,5.03125,True,-0.0011719999999995068
1.3,400,8,4.86875,4.875,4.871875,4.867188,4.871094,True,0.0027340000000002362
1.3,400,9,5.78125,5.7875,5.784375,5.78125,5.785156,True,0.0011719999999995068
1.3,400,10,5.23125,5.2375,5.234375,5.234375,5.238281,True,-0.0019530000000003156
1.3,400,11,5.40625,5.4125,5.409375,5.410156,5.414062,True,-0.0027340000000002362
1.3,400,12,4.7375,4.74375,4.740625,4.738281,4.742188,True,0.0003904999999999603
1.3,400,13,5.65625,5.6625,5.659375,5.65625,5.660156,True,0.0011719999999995068
1.3,400,14,4.725,4.73125,4.728125,4.726562,4.730469,True,-0.0003904999999999603
1.3,400,15,4.975,4.98125,4.978125,4.976562,4.980469,True,-0.0003904999999999603
1.3,400,16,4.7625,4.76875,4.765625,4.761719,4.765625,True,0.0019530000000003156
1.3,400,17,5.24375,5.25,5.246875,5.242188,5.246094,True,0.0027340000000002362
1.3,400,18,5.2625,5.26875,5.265625,5.265625,5.269531,True,-0.0019530000000003156
1.3,400,19,4.91875,4.925,4.921875,4.921875,4.925781,True,-0.0019530000000003156
1.3,400,20,5.59375,5.6,5.596875,5.59375,5.597656,True,0.0011719999999995068
1.3,400,21,5.41875,5.425,5.421875,5.417969,5.421875,True,0.0019530000000003156
1.3,400,22,4.95,4.95625,4.953125,4.953125,4.957031,True,-0.0019530000000003156
1.3,400,23,5.45625,5.4625,5.459375,5.457031,5.460938,True,0.0003904999999999603
1.3,400,24,5.5625,5.56875,5.565625,5.566406,5.570312,True,-0.0027340000000002362
1.3,400,25,5.7875,5.79375,5.790625,5.792969,5.796875,True,-0.004296999999999329
1.3,400,26,5.50625,5.5125,5.509375,5.511719,5.515625,True,-0.004296999999999329
1.3,400,27,5.14375,5.15,5.146875,5.144531,5.148438,True,0.0003904999999999603
1.3,400,28,5.7375,5.74375,5.740625,5.738281,5.742188,True,0.0003904999999999603
1.3,400,29,5.15,5.15625,5.153125,5.152344,5.15625,True,-0.0011719999999995068
1.3,400,30,5.48125,5.4875,5.484375,5.484375,5.488281,True,-0.0019530000000003156
1.3,400,31,5.375,5.38125,5.378125,5.375,5.378906,True,0.0011719999999995068
1.3,400,32,4.55,4.55625,4.553125,4.554688,4.558594,True,-0.0035160000000002967
1.3,400,33,5.38125,5.3875,5.384375,5.386719,5.390625,True,-0.004296999999999329
1.3,400,34,4.65,4.65625,4.653125,4.652344,4.65625,True,-0.0011719999999995068
1.3,400,35,5.2625,5.26875,5.265625,5.265625,5.269531,True,-0.0019530000000003156
1.3,400,36,6.05625,6.0625,6.059375,6.054688,6.058594,True,0.0027340000000002362
1.3,400,37,4.85625,4.8625,4.859375,4.855469,4.859375,True,0.0019530000000003156
1.3,400,38,5.7625,5.76875,5.765625,5.761719,5.765625,True,0.0019530000000003156
1.3,400,39,5.31875,5.325,5.321875,5.320312,5.324219,True,-0.0003904999999999603
1.3,400,40,5.41875,5.425,5.421875,5.421875,5.425781,True,-0.0019530000000003156
1.3,400,41,6.025,6.03125,6.028125,6.027344,6.03125,True,-0.0011719999999995068
1.3,400,42,4.93125,4.9375,4.934375,4.933594,4.9375,True,-0.0011719999999995068
1.3,400,43,5.66875,5.675,5.671875,5.671875,5.675781,True,-0.0019530000000003156
1.3,400,44,5.425,5.43125,5.428125,5.429688,5.433594,True,-0.0035160000000002967
1.3,400,45,5.48125,5.4875,5.484375,5.484375,5.488281,True,-0.0019530000000003156
1.3,400,46,5.9875,5.99375,5.990625,5.988281,5.992188,True,0.0003904999999999603
1.3,400,47,5.575,5.58125,5.578125,5.578125,5.582031,True,-0.0019530000000003156
1.3,400,48,5.09375,5.1,5.096875,5.09375,5.097656,True,0.0011719999999995068
1.3,400,49,4.81875,4.825,4.821875,4.816406,4.820312,True,0.0035160000000002967
