A,source,type,dmu,var,max_abs_alpha_over_A,t,G_lo,G_hi,G_n
5.0,search,single_unit,0.9677930348298257,0.7197872029944606,1.0,1.0,-0.2380676479811732,-0.2380676479811732,-0.2380676479811732
5.0,search,pair,0.9677930348298258,0.719787202987078,1.0,5.4312675756406496e-17,-0.23806764787862866,-0.23806764787862866,-0.23806764787862866
5.0,search,single_unit,0.9677930348298257,0.7197872029945018,1.0,-1.0,-0.23806764798174507,-0.23806764798174507,-0.23806764798174507
5.0,search,single_unit,0.9677930348298257,0.7197872029944619,1.0,-1.0,-0.23806764798118818,-0.23806764798118818,-0.23806764798118818
5.0,search,single_unit,0.9677930348298258,0.7197872029741238,1.0,1.0,-0.23806764769870048,-0.23806764769870048,-0.23806764769870048
5.0,search,single_unit,0.9677930348298257,0.7197872029944595,1.0,-1.0,-0.23806764798115643,-0.23806764798115643,-0.23806764798115643
5.0,search,pair,0.9677930348298259,0.7197872029944412,1.0,-1.0216708294406313e-17,-0.23806764798090196,-0.23806764798090196,-0.23806764798090196
5.0,search,single_unit,0.9677930348298257,0.7197872029944622,1.0,1.0,-0.23806764798119517,-0.23806764798119517,-0.23806764798119517
5.0,search,pair,0.9677930348298259,0.7197872030229573,1.0,-1.2778810181659319e-17,-0.2380676483769818,-0.2380676483769818,-0.2380676483769818
5.0,search,single_unit,0.9677930348298256,0.7197872029944614,1.0,1.0,-0.23806764798118363,-0.23806764798118363,-0.23806764798118363
5.0,search,single_unit,0.9677930348298257,0.7197872029944605,1.0,-1.0,-0.23806764798117253,-0.23806764798117253,-0.23806764798117253
5.0,search,pair,0.9677930348298258,0.719787202986767,1.0,7.521023970449593e-17,-0.23806764787431267,-0.23806764787431267,-0.23806764787431267
5.0,search,single_unit,0.9677930348298257,0.7197872029944609,1.0,1.0,-0.23806764798117286,-0.23806764798117286,-0.23806764798117286
5.0,search,single_unit,0.9677930348298257,0.7197872029942854,1.0,-1.0,-0.2380676479787378,-0.2380676479787378,-0.2380676479787378
5.0,search,single_unit,0.9677930348298256,0.7197872029944488,1.0,1.0,-0.23806764798100666,-0.23806764798100666,-0.23806764798100666
5.0,search,single_unit,0.9677930348298257,0.7197872029944605,1.0,1.0,-0.23806764798117253,-0.23806764798117253,-0.23806764798117253
5.0,search,single_unit,0.9677930348298258,0.7197872029942352,1.0,1.0,-0.23806764797804036,-0.23806764797804036,-0.23806764797804036
5.0,search,single_unit,0.9677930348298258,0.7197872029764768,1.0,1.0,-0.23806764773138178,-0.23806764773138178,-0.23806764773138178
5.0,search,single_unit,0.9677930348298257,0.7197872029944993,1.0,-1.0,-0.23806764798170932,-0.23806764798170932,-0.23806764798170932
5.0,search,single_unit,0.9677930348298258,0.7197872029941991,1.0,-1.0,-0.238067647977539,-0.238067647977539,-0.238067647977539
5.0,search,single_unit,0.9677930348298257,0.7197872029944579,1.0,1.0,-0.238067647981133,-0.238067647981133,-0.238067647981133
5.0,search,pair,0.9677930348298259,0.7197872029886616,1.0,-1.4013127009022522e-17,-0.2380676479006255,-0.2380676479006255,-0.2380676479006255
5.0,search,single_unit,0.9677930348298258,0.7197872029944634,1.0,1.0,-0.23806764798121083,-0.23806764798121083,-0.23806764798121083
