seed,eval_errors,dense_errors,separated
0,102,,False
1,132,,False
2,34,,False
3,170,,False
4,587,,False
5,33,,False
6,95,,False
7,378,,False
8,132,,False
9,118,,False
10,137,,False
11,83,,False
12,632,,False
13,129,,False
14,245,,False
15,391,,False
16,113,,False
17,105,,False
18,581,,False
19,106,,False
20,343,,False
21,84,,False
22,77,,False
23,106,,False
24,93,,False
25,87,,False
26,91,,False
27,362,,False
28,171,,False
29,75,,False
30,72,,False
31,99,,False
32,198,,False
33,118,,False
34,91,,False
35,155,,False
36,146,,False
37,105,,False
38,78,,False
39,82,,False
