seed,eval_errors,dense_errors,separated
0,0,0.0,True
1,77,,False
2,0,0.0,True
3,58,,False
4,0,0.0,True
5,0,10.0,False
6,49,,False
7,71,,False
8,0,0.0,True
9,70,,False
10,87,,False
11,0,3.0,False
12,0,0.0,True
13,76,,False
14,73,,False
15,70,,False
16,0,0.0,True
17,73,,False
18,0,0.0,True
19,0,0.0,True
20,68,,False
21,0,0.0,True
22,78,,False
23,0,0.0,True
24,1,,False
25,62,,False
26,65,,False
27,0,0.0,True
28,0,0.0,True
29,0,0.0,True
30,5,,False
31,0,0.0,True
32,94,,False
33,69,,False
34,0,0.0,True
35,40,,False
36,0,0.0,True
37,2,,False
38,0,0.0,True
39,34,,False
