depth,seed,parameter,monotonic,errors_before_adapt,errors_after_adapt,train_errors_after_adapt
3,4,3.0,False,0,0,0
3,4,2.95,False,0,0,0
3,4,2.9,False,0,0,0
3,4,2.85,False,0,0,0
3,4,2.8,False,0,0,0
3,4,2.75,False,0,0,0
3,4,2.7,False,0,0,0
3,4,2.65,False,0,0,0
3,4,2.6,False,0,0,0
3,4,2.55,False,0,0,0
3,4,2.5,False,0,0,0
3,4,2.45,False,0,0,0
3,4,2.4,False,0,0,0
3,4,2.35,False,0,0,0
3,4,2.3,False,0,0,0
3,4,2.25,False,0,0,0
3,4,2.2,False,0,0,0
3,4,2.15,False,0,0,0
3,4,2.1,False,0,0,0
3,4,2.05,False,0,0,0
3,4,2.0,False,0,0,0
3,4,1.95,False,0,0,0
3,4,1.9,False,0,0,0
3,4,1.85,False,0,0,0
3,4,1.8,False,0,0,0
3,4,1.75,False,0,0,0
3,4,1.7,False,0,0,0
3,4,1.65,False,0,0,0
3,4,1.6,False,0,0,0
3,4,1.55,False,0,0,0
3,4,1.5,False,0,0,0
3,4,1.45,False,0,0,0
3,4,1.4,False,0,0,0
3,4,1.35,False,0,0,0
3,4,1.3,False,0,0,0
3,4,1.25,False,2,3,2
3,4,1.2,False,7,6,8
3,4,1.15,False,26,29,29
3,4,1.1,False,58,67,55
3,4,1.05,False,91,70,66
3,4,1.0,True,86,38,29
3,4,0.95,True,49,41,29
3,4,0.9,True,51,43,30
3,4,0.85,True,52,40,27
3,4,0.8,True,45,33,26
3,9,3.0,False,0,0,0
3,9,2.95,False,0,0,0
3,9,2.9,False,0,0,0
3,9,2.85,False,0,0,0
3,9,2.8,False,0,0,0
3,9,2.75,False,0,0,0
3,9,2.7,False,0,0,0
3,9,2.65,False,0,0,0
3,9,2.6,False,0,0,0
3,9,2.55,False,0,0,0
3,9,2.5,False,0,0,0
3,9,2.45,False,0,0,0
3,9,2.4,False,0,0,0
3,9,2.35,False,0,0,0
3,9,2.3,False,0,0,0
3,9,2.25,False,0,0,0
3,9,2.2,False,0,0,0
3,9,2.15,False,0,0,0
3,9,2.1,False,0,0,0
3,9,2.05,False,0,0,0
3,9,2.0,False,0,0,0
3,9,1.95,False,0,0,0
3,9,1.9,False,0,0,0
3,9,1.85,False,0,0,0
3,9,1.8,False,0,0,0
3,9,1.75,False,0,0,0
3,9,1.7,False,0,0,0
3,9,1.65,False,0,0,0
3,9,1.6,False,0,0,0
3,9,1.55,False,0,0,0
3,9,1.5,False,0,0,0
3,9,1.45,False,0,0,0
3,9,1.4,False,0,0,0
3,9,1.35,False,2,0,0
3,9,1.3,False,8,0,0
3,9,1.25,False,19,2,0
3,9,1.2,False,29,11,4
3,9,1.15,False,41,25,16
3,9,1.1,False,103,89,67
3,9,1.05,False,106,69,63
3,9,1.0,True,78,68,53
3,9,0.95,True,76,65,53
3,9,0.9,True,74,66,51
3,9,0.85,True,79,64,53
3,9,0.8,True,84,64,53
3,11,3.0,False,0,0,0
3,11,2.95,False,0,0,0
3,11,2.9,False,0,0,0
3,11,2.85,False,0,0,0
3,11,2.8,False,0,0,0
3,11,2.75,False,0,0,0
3,11,2.7,False,0,0,0
3,11,2.65,False,0,0,0
3,11,2.6,False,0,0,0
3,11,2.55,False,0,0,0
3,11,2.5,False,0,0,0
3,11,2.45,False,0,0,0
3,11,2.4,False,0,0,0
3,11,2.35,False,0,0,0
3,11,2.3,False,0,0,0
3,11,2.25,False,0,0,0
3,11,2.2,False,0,0,0
3,11,2.15,False,0,0,0
3,11,2.1,False,0,0,0
3,11,2.05,False,0,0,0
3,11,2.0,False,0,0,0
3,11,1.95,False,0,0,0
3,11,1.9,False,0,0,0
3,11,1.85,False,0,0,0
3,11,1.8,False,0,0,0
3,11,1.75,False,0,0,0
3,11,1.7,False,0,0,0
3,11,1.65,False,0,0,0
3,11,1.6,False,0,0,0
3,11,1.55,False,0,0,0
3,11,1.5,False,0,0,0
3,11,1.45,False,0,0,0
3,11,1.4,False,0,0,0
3,11,1.35,False,0,0,0
3,11,1.3,False,8,0,0
3,11,1.25,False,24,0,0
3,11,1.2,False,63,0,0
3,11,1.15,False,81,10,4
3,11,1.1,False,84,52,27
3,11,1.05,False,90,60,50
3,11,1.0,True,104,68,55
3,11,0.95,True,83,69,47
3,11,0.9,True,82,68,45
3,11,0.85,True,83,64,43
3,11,0.8,True,82,62,41
3,13,3.0,False,0,0,0
3,13,2.95,False,0,0,0
3,13,2.9,False,0,0,0
3,13,2.85,False,0,0,0
3,13,2.8,False,0,0,0
3,13,2.75,False,0,0,0
3,13,2.7,False,0,0,0
3,13,2.65,False,0,0,0
3,13,2.6,False,0,0,0
3,13,2.55,False,0,0,0
3,13,2.5,False,0,0,0
3,13,2.45,False,0,0,0
3,13,2.4,False,0,0,0
3,13,2.35,False,0,0,0
3,13,2.3,False,0,0,0
3,13,2.25,False,0,0,0
3,13,2.2,False,0,0,0
3,13,2.15,False,0,0,0
3,13,2.1,False,0,0,0
3,13,2.05,False,0,0,0
3,13,2.0,False,0,0,0
3,13,1.95,False,0,0,0
3,13,1.9,False,0,0,0
3,13,1.85,False,0,0,0
3,13,1.8,False,0,0,0
3,13,1.75,False,0,0,0
3,13,1.7,False,0,0,0
3,13,1.65,False,0,0,0
3,13,1.6,False,0,0,0
3,13,1.55,False,0,0,0
3,13,1.5,False,0,0,0
3,13,1.45,False,0,0,0
3,13,1.4,False,0,0,0
3,13,1.35,False,0,0,0
3,13,1.3,False,0,0,0
3,13,1.25,False,1,0,0
3,13,1.2,False,7,0,0
3,13,1.15,False,32,4,0
3,13,1.1,False,102,16,12
3,13,1.05,False,216,99,75
3,13,1.0,True,201,92,82
3,13,0.95,True,101,95,81
3,13,0.9,True,104,93,81
3,13,0.85,True,102,96,81
3,13,0.8,True,101,94,80
5,0,3.0,False,0,0,0
5,0,2.95,False,0,0,0
5,0,2.9,False,0,0,0
5,0,2.85,False,0,0,0
5,0,2.8,False,0,0,0
5,0,2.75,False,0,0,0
5,0,2.7,False,0,0,0
5,0,2.65,False,0,0,0
5,0,2.6,False,0,0,0
5,0,2.55,False,0,0,0
5,0,2.5,False,0,0,0
5,0,2.45,False,0,0,0
5,0,2.4,False,0,0,0
5,0,2.35,False,0,0,0
5,0,2.3,False,0,0,0
5,0,2.25,False,0,0,0
5,0,2.2,False,0,0,0
5,0,2.15,False,0,0,0
5,0,2.1,False,0,0,0
5,0,2.05,False,0,0,0
5,0,2.0,False,0,0,0
5,0,1.95,False,0,0,0
5,0,1.9,False,0,0,0
5,0,1.85,False,0,0,0
5,0,1.8,False,0,0,0
5,0,1.75,False,0,0,0
5,0,1.7,False,0,0,0
5,0,1.65,False,0,0,0
5,0,1.6,False,0,0,0
5,0,1.55,False,0,0,0
5,0,1.5,False,0,0,0
5,0,1.45,False,0,0,0
5,0,1.4,False,0,0,0
5,0,1.35,False,0,0,0
5,0,1.3,False,0,0,0
5,0,1.25,False,8,0,0
5,0,1.2,False,20,13,6
5,0,1.15,False,70,33,27
5,0,1.1,False,127,26,12
5,0,1.05,False,122,51,43
5,0,1.0,True,421,92,70
5,0,0.95,True,157,90,71
5,0,0.9,True,117,92,73
5,0,0.85,True,118,93,73
5,0,0.8,True,114,92,72
5,4,3.0,False,0,0,0
5,4,2.95,False,0,0,0
5,4,2.9,False,0,0,0
5,4,2.85,False,0,0,0
5,4,2.8,False,0,0,0
5,4,2.75,False,0,0,0
5,4,2.7,False,0,0,0
5,4,2.65,False,0,0,0
5,4,2.6,False,0,0,0
5,4,2.55,False,0,0,0
5,4,2.5,False,0,0,0
5,4,2.45,False,0,0,0
5,4,2.4,False,0,0,0
5,4,2.35,False,0,0,0
5,4,2.3,False,0,0,0
5,4,2.25,False,0,0,0
5,4,2.2,False,0,0,0
5,4,2.15,False,0,0,0
5,4,2.1,False,0,0,0
5,4,2.05,False,0,0,0
5,4,2.0,False,0,0,0
5,4,1.95,False,0,0,0
5,4,1.9,False,0,0,0
5,4,1.85,False,0,0,0
5,4,1.8,False,0,0,0
5,4,1.75,False,0,0,0
5,4,1.7,False,0,0,0
5,4,1.65,False,0,0,0
5,4,1.6,False,0,0,0
5,4,1.55,False,1,0,0
5,4,1.5,False,1,0,0
5,4,1.45,False,1,0,0
5,4,1.4,False,2,0,0
5,4,1.35,False,7,0,0
5,4,1.3,False,14,0,0
5,4,1.25,False,19,3,5
5,4,1.2,False,16,6,7
5,4,1.15,False,47,20,19
5,4,1.1,False,90,10,11
5,4,1.05,False,245,42,40
5,4,1.0,True,99,68,66
5,4,0.95,True,107,76,79
5,4,0.9,True,101,85,92
5,4,0.85,True,100,88,90
5,4,0.8,True,99,73,79
5,7,3.0,False,0,0,0
5,7,2.95,False,0,0,0
5,7,2.9,False,0,0,0
5,7,2.85,False,0,0,0
5,7,2.8,False,0,0,0
5,7,2.75,False,0,0,0
5,7,2.7,False,0,0,0
5,7,2.65,False,0,0,0
