activation,parameter,depth,width,seed,train_data_seed,eval_data_seed,final_eval_accuracy,perfect_eval,eval_errors,duration_seconds
sin_family,0.95,8,3,0,10000,20000,0.9695,False,61,1.9882072091568261
sin_family,0.95,8,3,1,10001,20001,0.996,False,8,1.4609520409721881
sin_family,0.95,8,3,2,10002,20002,0.999,False,2,1.437054666923359
sin_family,0.95,8,3,3,10003,20003,0.9815,False,37,1.430002042092383
sin_family,0.95,8,3,4,10004,20004,0.979,False,42,1.4603689580690116
sin_family,0.95,8,3,5,10005,20005,0.9625,False,75,1.4675987500231713
sin_family,0.95,8,3,6,10006,20006,0.961,False,78,1.4636340001598
sin_family,0.95,8,3,7,10007,20007,0.9905,False,19,1.4739327081479132
sin_family,0.95,8,3,8,10008,20008,0.9635,False,73,1.4565811669453979
sin_family,0.95,8,3,9,10009,20009,0.994,False,12,1.4642467079684138
sin_family,0.95,8,3,10,10010,20010,0.9635,False,73,1.4680888750590384
sin_family,0.95,8,3,11,10011,20011,0.99,False,20,1.463604458142072
sin_family,0.95,8,3,12,10012,20012,0.992,False,16,1.462444582954049
sin_family,0.95,8,3,13,10013,20013,0.9585,False,83,1.4832066670060158
sin_family,0.95,8,3,14,10014,20014,0.952,False,96,1.5123801250010729
sin_family,0.95,8,3,15,10015,20015,0.968,False,64,1.4667251659557223
sin_family,0.95,8,3,16,10016,20016,0.947,False,106,1.451415958115831
sin_family,0.95,8,3,17,10017,20017,0.971,False,58,1.4695355829317123
sin_family,0.95,8,3,18,10018,20018,0.97,False,60,2.9588124160654843
sin_family,0.95,8,3,19,10019,20019,0.9825,False,35,1.5381034170277417
sin_family,0.95,8,3,20,10020,20020,0.9685,False,63,1.5098462500609457
sin_family,0.95,8,3,21,10021,20021,0.969,False,62,1.4973213749472052
sin_family,0.95,8,3,22,10022,20022,0.969,False,62,1.5041061660740525
sin_family,0.95,8,3,23,10023,20023,0.9725,False,55,1.4907625000923872
sin_family,0.95,8,3,24,10024,20024,0.976,False,48,1.5477791659068316
sin_family,0.95,8,3,25,10025,20025,0.9635,False,73,1.522538207937032
sin_family,0.95,8,3,26,10026,20026,0.9925,False,15,1.503645959077403
sin_family,0.95,8,3,27,10027,20027,0.9975,False,5,1.5040673329494894
sin_family,0.95,8,3,28,10028,20028,0.95,False,100,1.9258147499058396
