source_depth,source_seed,target,parameter,errors_after_swap,train_errors_after_swap,errors_after_tune_lr0.001,tune_seconds_lr0.001,errors_after_tune_lr0.01,tune_seconds_lr0.01
3,10,tanh,,883,862,89,0.6899829579051584,85,0.6821944168768823
3,10,leaky_relu,,640,649,143,0.6974782920442522,89,0.6200617498252541
3,10,sin_family,1.0,873,873,176,0.7359424161259085,97,0.7312655420973897
3,10,sin_family,0.95,879,877,124,0.7280775411054492,97,0.7286832497920841
3,17,tanh,,1156,1224,143,0.6972715000156313,52,0.7165735829621553
3,17,leaky_relu,,351,322,71,0.6303174160420895,74,0.6561622500885278
3,17,sin_family,1.0,1233,1285,526,0.756198792019859,357,0.7671822500415146
3,17,sin_family,0.95,1232,1287,541,0.755007625091821,178,0.7805527090094984
5,0,tanh,,992,987,105,1.0270203750114888,66,1.0434520840644836
5,0,leaky_relu,,689,673,149,0.9234920830931515,118,0.9242017909418792
5,0,sin_family,1.0,681,689,158,1.114848290802911,106,1.1181360420305282
5,0,sin_family,0.95,681,687,165,1.127381332917139,109,1.1117603338789195
5,1,tanh,,1063,1064,561,1.0415824581868947,102,1.0320554578211159
5,1,leaky_relu,,609,604,122,0.9201523328665644,99,0.9259169169235975
5,1,sin_family,1.0,1009,979,344,1.154622791102156,231,1.1899214161094278
5,1,sin_family,0.95,1010,980,239,1.1772950410377234,202,1.1703027919866145
8,14,tanh,,1000,1000,97,1.5083198340144008,97,1.5100438329391181
8,14,leaky_relu,,891,908,117,1.3213686670642346,112,1.3242359580472112
8,14,sin_family,1.0,1000,1000,580,1.7214661249890924,92,1.7275969579350203
8,14,sin_family,0.95,1000,1000,549,1.6871370000299066,98,1.7037731660529971
12,2,tanh,,1000,1000,539,2.1247119170147926,84,2.1223968339618295
12,2,leaky_relu,,1000,1000,95,1.843061416177079,110,1.8444576249457896
12,2,sin_family,1.0,736,698,505,2.5275010420009494,451,2.4121991670690477
12,2,sin_family,0.95,730,699,526,2.544468707870692,349,2.4518655829597265
