family,budget,eps,rate
q4_beta1.25,2000,0.6,0.7
q4_beta1.25,2000,0.4,0.7
q4_beta1.25,2000,0.25,0.7
q4_beta1.25,2000,0.15,0.025
q0.667_beta2.5,2000,0.6,0.0
q0.667_beta2.5,2000,0.48,0.0
q0.667_beta2.5,2000,0.384,0.0
q0.667_beta2.5,2000,0.3072,0.0
q0.667_beta2.5,2000,0.24576,0.0
q0.667_beta2.5,2000,0.19661,0.0
q0.667_beta2.5,2000,0.15729,0.0
q0.667_beta2.5,2000,0.12583,0.0
q0.667_beta2.5,2000,0.10066,0.0
q0.667_beta2.5,2000,0.08053,0.0
q0.667_beta2.5,2000,0.06442,0.0
q0.667_beta2.5,2000,0.05154,0.0
q0.667_beta2.5,2000,0.04123,0.0
q4_beta1.25,8000,0.6,0.85
q4_beta1.25,8000,0.4,0.85
q4_beta1.25,8000,0.25,0.825
q4_beta1.25,8000,0.15,0.375
q0.667_beta2.5,8000,0.6,0.0
q0.667_beta2.5,8000,0.48,0.0
q0.667_beta2.5,8000,0.384,0.0
q0.667_beta2.5,8000,0.3072,0.0
q0.667_beta2.5,8000,0.24576,0.0
q0.667_beta2.5,8000,0.19661,0.0
q0.667_beta2.5,8000,0.15729,0.0
q0.667_beta2.5,8000,0.12583,0.0
q0.667_beta2.5,8000,0.10066,0.0
q0.667_beta2.5,8000,0.08053,0.0
q0.667_beta2.5,8000,0.06442,0.0
q0.667_beta2.5,8000,0.05154,0.0
q0.667_beta2.5,8000,0.04123,0.0
q4_beta1.25,32000,0.6,0.9
q4_beta1.25,32000,0.4,0.9
q4_beta1.25,32000,0.25,0.875
q4_beta1.25,32000,0.15,0.15
q0.667_beta2.5,32000,0.6,0.0
q0.667_beta2.5,32000,0.48,0.0
q0.667_beta2.5,32000,0.384,0.0
q0.667_beta2.5,32000,0.3072,0.0
q0.667_beta2.5,32000,0.24576,0.0
q0.667_beta2.5,32000,0.19661,0.0
q0.667_beta2.5,32000,0.15729,0.0
q0.667_beta2.5,32000,0.12583,0.0
q0.667_beta2.5,32000,0.10066,0.0
q0.667_beta2.5,32000,0.08053,0.0
q0.667_beta2.5,32000,0.06442,0.0
q0.667_beta2.5,32000,0.05154,0.0
q0.667_beta2.5,32000,0.04123,0.0
q4_beta1.25,128000,0.6,0.925
q4_beta1.25,128000,0.4,0.925
q4_beta1.25,128000,0.25,0.9
q4_beta1.25,128000,0.15,0.175
