a,seed,crossed,step,w2_cross
1.3,0,True,14958,4.9092490596916125
1.3,1,True,4257,5.263898576006115
1.3,2,True,18010,5.0273430630231095
1.3,3,True,5163,5.9388405797471
1.3,4,False,,
1.3,5,True,4303,5.434363765286882
1.3,6,False,,
1.3,7,True,4442,5.1778077674237535
1.3,8,False,,
1.3,9,True,3586,4.67356200811112
1.3,10,True,4905,5.3776936871477465
1.3,11,False,,
1.3,12,True,4001,4.897933948994421
1.3,13,True,5239,5.785133122444615
1.3,14,True,3863,4.925596804714546
1.3,15,True,4662,5.3666877956599945
1.3,16,False,,
1.3,17,False,,
1.3,18,True,5181,5.421413213856452
1.3,19,True,4030,5.066825202056678
1.3,20,True,5034,5.736450229969436
1.3,21,False,,
1.3,22,True,9697,5.11716111980508
1.3,23,False,,
1.3,24,True,7017,5.739958581428669
1.3,25,True,5431,5.945438930523173
1.3,26,False,,
1.3,27,True,4540,5.30016909210327
1.3,28,True,5292,5.883701859311445
1.3,29,True,3863,4.962878320866101
1.3,30,True,4649,5.643445140124554
1.3,31,True,4854,5.540287837035023
1.3,32,True,4846,5.787515761837055
1.3,33,True,7229,5.535076476656985
1.3,34,True,3645,4.798275655337046
1.3,35,True,4516,5.427501522283519
1.3,36,True,7779,6.203282711739482
1.3,37,False,,
1.3,38,True,5510,5.9314716149356945
1.3,39,True,4626,5.4533734876637086
1.5,0,True,14371,2.603383331142841
1.5,1,True,1127,2.7855055765801766
1.5,2,True,3182,2.6689149597889177
1.5,3,True,1330,3.116259774871741
1.5,4,False,,
1.5,5,True,1078,2.851977514355105
1.5,6,False,,
1.5,7,True,1362,2.7266631746484293
1.5,8,False,,
1.5,9,True,995,2.485402724698048
1.5,10,True,1590,2.829775486039885
1.5,11,False,,
1.5,12,True,1133,2.590583563883041
1.5,13,True,1480,3.0344853397345766
1.5,14,True,1021,2.6063484783935023
1.5,15,True,1416,2.8209578351150957
1.5,16,False,,
1.5,17,False,,
1.5,18,True,1849,2.8587729047498343
1.5,19,True,1022,2.6886724924377448
1.5,20,True,1397,3.0079460573437045
1.5,21,False,,
1.5,22,True,9124,2.714038475176184
1.5,23,False,,
1.5,24,True,3479,3.015056686832472
1.5,25,True,1562,3.1250902672358913
1.5,26,False,,
1.5,27,True,1156,2.808824077197398
1.5,28,True,1415,3.087733524933655
1.5,29,True,1026,2.6180485168554304
1.5,30,True,1181,2.9655160842862363
1.5,31,True,1344,2.922334787414851
1.5,32,True,1247,3.0354993260368
1.5,33,True,4113,2.9132362880639073
1.5,34,True,935,2.5372822957698475
1.5,35,True,1192,2.8556524066515867
1.5,36,True,3780,3.246532673815447
1.5,37,False,,
1.5,38,True,1487,3.1254065702860396
1.5,39,True,1226,2.8750958083026563
