set,s,loss,rho2,gplus,S1,S2,attained,norm,hits,ladder_ok,audit_ok,hess_min_eig,cma_loss,grid
A,0.5,0.5310693786710352,2.2937289666324246e-10,-0.6065997303604715,1.6859182869460483,3.5958627572456756e-10,True,8.04027235680527,715,True,True,,,True
A,0.625,0.49718292003262593,5.585497235707389e-10,-0.6093306681989032,1.6889401370688837,8.758944460332581e-10,True,8.089783593661906,726,True,True,,,True
A,0.78125,0.4587816689089517,4.5438516414272577e-10,-0.6044362476806671,1.6835186151968093,7.121676034207311e-10,True,8.001232878334744,713,True,True,,,True
A,0.976562,0.4166213271139223,7.961613311469316e-10,-0.5901005546527033,1.6674918266661998,1.2458284845606252e-09,True,7.74651802095523,728,True,True,,,True
A,1.220703,0.3722382871039818,4.898527065774021e-10,-0.564833601188884,1.638726989443561,7.641876643075255e-10,True,7.31317876612706,673,True,True,,,True
A,1.525879,0.32694547267089946,0.08490640780229759,-0.3857119075927336,1.351926549977621,0.19733960769302322,True,13.906304868278658,119,True,True,,,True
A,1.907349,0.2783079484002448,0.09009178543518308,-0.30712461007946223,1.237895098054209,0.1978054648672716,True,16.09960022391568,17,True,True,,,True
A,2.384186,0.23071620984716867,0.1142301351696416,-0.2592842694878679,1.1330843324807205,0.2401456447378492,True,16.525740599777286,26,True,True,,,True
A,2.980232,0.18553927186723843,0.14471418323549273,-0.20667863663519753,1.0181344944432342,0.28869707807989525,True,16.408113380545437,29,True,True,,,True
A,3.332001,0.16381027816859606,0.16603669094562679,-0.17562269545093,0.9580646547691888,0.31712190218016184,True,16.12468863466463,15,True,True,,,False
A,3.523162,0.15314092860012243,0.178100210512729,-0.15843063732059012,0.9278652499023565,0.33211323734706466,True,15.932961901678114,18,True,True,,,False
A,3.572642,0.15049432155707165,0.18128331095304348,-0.15394588860822708,0.9203132347655841,0.33593057353629585,True,15.880501770254163,14,True,True,,,False
A,3.58512,0.1498340161560067,0.18209015435923476,-0.15281290124006042,0.9184248948993136,0.33688851681905296,True,15.86712442562006,6,True,True,9.99999999999676e-05,0.14989615304458864,False
A,3.597642,0.14910385345132154,0.44821912275029735,0.07132626609360895,0.516742157676983,0.11230765989961558,True,13.796049414848598,63,True,True,9.999999999998073e-05,0.14918316270772486,False
A,3.622817,0.1475819838814162,0.4513812751340742,0.07416219928734313,0.5118155584954955,0.11272744637786108,True,13.799207237122955,48,True,True,,,False
A,3.72529,0.14154051289224573,0.46381266112941133,0.08517360471826552,0.4926335367832539,0.11441235438293637,True,13.807424591090431,43,True,True,,,True
A,4.656613,0.0967420559000709,0.5508889736926835,0.15597527784592183,0.36542745736099114,0.12904202223143857,True,13.624724239357324,167,True,True,,,True
A,5.820766,0.060611561144880866,0.6174029550635715,0.20125274994557923,0.27372267986571797,0.14813923667347118,True,13.009098741961692,183,True,True,,,True
A,7.275958,0.03488115320157331,0.6674004628982082,0.22717867711344053,0.20371813371241246,0.17476933316830523,True,11.974327603641164,139,True,True,,,True
A,9.094947,0.018626294836035017,0.7407253890442305,0.2565309072801241,0.07566976981481395,0.2150455603983265,True,9.929342042874934,704,True,True,,,True
A,11.368684,0.009543985589946801,0.7412585564167447,0.2344701613377698,0.08975530912412484,0.261481552525648,True,8.723532985632886,791,True,True,,,True
A,14.210855,0.005251548798200405,0.7466705827930445,0.21178052472774817,0.10532595558526711,0.3227793426073948,True,7.514924395674243,793,True,True,,,True
A,17.763568,0.003231296056950988,0.7547459700607939,0.18960330986075755,0.1187792114855874,0.39103895453670906,True,6.427151250142105,790,True,True,,,True
A,22.20446,0.0021751780709337396,0.7624358583793497,0.1682177372405478,0.12638992019240566,0.44834308797897265,True,5.522832148938151,791,True,True,,,True
A,27.755576,0.001546247342019439,0.7693764818611226,0.1478514774791027,0.1269353065255484,0.48190402056500675,True,4.791041246141525,795,True,True,,,True
A,34.69447,0.0011367121854571733,0.7760925393083999,0.12874098684364824,0.12164989180414683,0.49153876255741685,True,4.1944275113934735,798,True,True,,,True
A,43.368087,0.0008561723958284613,0.7828206838575662,0.11108029004229941,0.11246359901554745,0.4827194286672806,True,3.700685534485252,798,True,True,,,True
B,0.5,0.5310693786710353,6.269960014504938e-09,-0.6065997483893542,1.6859182875242258,9.829372355958952e-09,True,8.040272366240893,754,True,True,,,True
B,0.625,0.4971829200326259,2.1936277266706427e-10,-0.6093306667506344,1.688940136554112,3.439955771304754e-10,True,8.089783585194201,754,True,True,,,True
B,0.78125,0.4587816689089519,1.7134813062452727e-09,-0.6044362519984301,1.6835186159373239,2.685575973528145e-09,True,8.001232890344568,757,True,True,,,True
B,0.976562,0.41662132711392236,4.290907786641239e-10,-0.5901005543916769,1.6674918275730095,6.714386806683561e-10,True,7.746518035082495,761,True,True,,,True
B,1.220703,0.37223828710398194,1.0319080117135164e-10,-0.5648336000801283,1.6387269894614616,1.6098132495529384e-10,True,7.313178766388156,732,True,True,,,True
B,1.525879,0.3269454726708995,0.08490640551116488,-0.3857119151918012,1.3519265627301775,0.1973396036282916,True,13.906304983088592,135,True,True,,,True
B,1.907349,0.2783079484002453,0.09009179765228412,-0.3071245166666735,1.237895017555894,0.1978054908201444,True,16.099599761689163,11,True,True,,,True
B,2.384186,0.23071620984716956,0.1142301298090929,-0.2592843171691487,1.133084352285318,0.240145630898508,True,16.52574276545699,25,True,True,,,True
B,2.980232,0.18553927186723776,0.1447141779949262,-0.2066786138122253,1.0181345104335546,0.2886970709006538,True,16.408112201002385,25,True,True,,,True
B,3.332001,0.16381027816859814,0.16603667505099984,-0.17562278311132054,0.9580646983035852,0.3171218802011884,True,16.124689779957432,20,True,True,,,False
B,3.523162,0.1531409286001244,0.17810021256757802,-0.15843064497883164,0.9278652480563817,0.3321132370712884,True,15.932962151256266,16,True,True,,,False
B,3.572642,0.15049432155707065,0.1812832976288015,-0.15394590337574968,0.920313270789179,0.3359305570592368,True,15.880501621207102,11,True,True,,,False
B,3.58512,0.14983401615600367,0.18209015915868026,-0.15281287654743952,0.9184248781403841,0.3368885227577276,True,15.867122904598386,22,True,True,9.999999999988105e-05,0.14987507689793955,False
B,3.597642,0.14910385345132277,0.44821912342644904,0.07132629144146493,0.5167421620894479,0.11230764741737399,True,13.796050222955426,55,True,True,9.99999999999889e-05,0.14922416600961486,False
B,3.622817,0.14758198388141452,0.4513812720213176,0.07416219479656,0.511815563176383,0.11272744674638314,True,13.79920721185682,66,True,True,,,False
B,3.72529,0.14154051289224562,0.4638126727321358,0.08517362283699886,0.49263350837199,0.11441235174106906,True,13.807424728170107,79,True,True,,,True
B,4.656613,0.09674205590007068,0.55088897979588,0.15597528357352122,0.36542745321309594,0.12904202762040096,True,13.62472412602346,218,True,True,,,True
B,5.820766,0.060611561144880796,0.6174029591385835,0.20125275206063672,0.27372267374598513,0.14813923700896875,True,13.009098749820389,230,True,True,,,True
B,7.275958,0.03488115320157133,0.6674004159895438,0.22717870266374385,0.20371810531470833,0.1747692964348479,True,11.974328100220712,206,True,True,,,True
B,9.094947,0.018626294836035,0.7407253882605952,0.25653090691545394,0.07566977001767115,0.21504556050108092,True,9.92934203592793,698,True,True,,,True
B,11.368684,0.009543985589946822,0.7412585566451066,0.23447016229212064,0.08975530902099842,0.2614815524026544,True,8.723532990589106,791,True,True,,,True
B,14.210855,0.0052515487982006046,0.7466705923251749,0.2117805270092214,0.10532595323052686,0.32277934704774824,True,7.514924412426376,799,True,True,,,True
B,17.763568,0.003231296056951146,0.7547459952973358,0.18960330535004152,0.11877920418748147,0.3910389721004057,True,6.427151192061298,796,True,True,,,True
B,22.20446,0.002175178070933559,0.7624358820623781,0.1682177575776219,0.12638991053069423,0.4483431079931038,True,5.522832258820875,798,True,True,,,True
B,27.755576,0.0015462473420187722,0.7693764501226755,0.14785147642733965,0.12693532108535358,0.48190399404793616,True,4.791041288250673,792,True,True,,,True
B,34.69447,0.001136712185456918,0.7760925640566441,0.12874099184656218,0.12164987574919849,0.4915387746028276,True,4.194427339988778,797,True,True,,,True
B,43.368087,0.0008561723958290365,0.7828206577843653,0.11108027556801506,0.11246360930459856,0.4827194025903353,True,3.7006854445500412,793,True,True,,,True
