activation,parameter,box,draws,solution_measure
sin_family,1.02,5.0,20000,6.725379175478996e-08
sin_family,1.05,5.0,20000,7.585112783952131e-07
sin_family,1.1,5.0,20000,4.0730073944927014e-06
sin_family,1.25,5.0,20000,3.740605226473851e-05
sin_family,1.35,5.0,20000,7.496477332395902e-05
sin_family,1.5,5.0,20000,0.0001377735647488269
sin_family,2.0,5.0,20000,0.0006272081600979529
sin_family,3.0,5.0,20000,0.0018486853274506776
pwl_family,-0.05,5.0,20000,0.0007460176552069103
pwl_family,-0.25,5.0,20000,0.003249801907819645
gelu,,5.0,20000,2.6409173395638838e-05
sin_family,1.02,10.0,20000,5.624443980908611e-08
sin_family,1.05,10.0,20000,4.90075356447156e-07
sin_family,1.1,10.0,20000,2.4945576538177445e-06
sin_family,1.25,10.0,20000,1.194324140880571e-05
sin_family,1.35,10.0,20000,2.7560095610977554e-05
sin_family,1.5,10.0,20000,6.140509465411182e-05
sin_family,2.0,10.0,20000,0.00022507052787501335
sin_family,3.0,10.0,20000,0.0008513304227419094
pwl_family,-0.05,10.0,20000,0.0014920353104138206
pwl_family,-0.25,10.0,20000,0.00649960381563929
gelu,,10.0,20000,6.206566824404718e-06
