optimizer,a,lr,steps,solved,n,realized_w1,realized_b1,realized_w2,realized_b2,realized_mean
adam,1.25,0.03,2000,83,200,0.0008482886478304863,0.00123576819896698,0.0010060276836156845,0.0016127810813486576,0.001175716402940452
adam,1.25,0.01,2000,0,200,0.0010252222418785095,0.0007571689784526825,0.0010081231594085693,0.0017870040610432625,0.001144379610195756
adam,1.25,0.003,6666,0,200,0.001307968981564045,0.001012495020404458,0.0007956400513648987,0.0008013993501663208,0.0009793757926672697
adam,1.25,0.001,20000,0,200,0.0005920398980379105,0.0007043376099318266,0.0007554143667221069,0.000756971538066864,0.000702190853189677
adam,1.25,0.0003,40000,0,200,0.0002621598541736603,0.00026939064264297485,0.0002703949576243758,0.00028177350759506226,0.0002709297405090183
adam,1.35,0.03,2000,170,200,0.0007951781153678894,0.0012227892875671387,0.0009764023125171661,0.0016147636342793703,0.0011522832792252302
adam,1.35,0.01,2000,2,200,0.0009783543646335602,0.000757317990064621,0.00095328688621521,0.001682019792497158,0.0010927447583526373
adam,1.35,0.003,6666,5,200,0.0013401024043560028,0.0009938846342265606,0.000815175473690033,0.0008593499660491943,0.0010021281195804477
adam,1.35,0.001,20000,16,200,0.0005920063704252243,0.0006988849490880966,0.0007606595754623413,0.0007558353245258331,0.0007018465548753738
adam,1.35,0.0003,40000,0,200,0.0002621673047542572,0.0002721305936574936,0.00027034763479605317,0.00028183311223983765,0.0002716196468099952
adam,1.45,0.03,2000,176,200,0.0011144578456878662,0.0011753886938095093,0.0009850040078163147,0.0016497205942869186,0.0012311427854001522
adam,1.45,0.01,2000,50,200,0.0009492114186286926,0.0007309764623641968,0.000727139413356781,0.0014888206496834755,0.0009740369860082865
adam,1.45,0.003,6666,80,200,0.0013437718152999878,0.0009191904682666063,0.0008512455970048904,0.0009094327688217163,0.0010059101041406393
adam,1.45,0.001,20000,125,200,0.000591963529586792,0.0007026351522654295,0.0007639229297637939,0.0007547065615653992,0.0007033070432953537
adam,1.45,0.0003,40000,0,200,0.0002624727785587311,0.0002737361937761307,0.000270843505859375,0.0002819374203681946,0.00027224747464060783
adam,1.5,0.03,2000,176,200,0.0010915398597717285,0.0011782199144363403,0.0011915359646081924,0.0018524563638493419,0.0013284380547702312
adam,1.5,0.01,2000,81,200,0.0009295474737882614,0.0007231873460114002,0.0006268657743930817,0.0014226073399186134,0.0009255519835278392
adam,1.5,0.003,6666,117,200,0.0013410244137048721,0.0008702084887772799,0.0008549764752388,0.000934407114982605,0.0010001540649682283
adam,1.5,0.001,20000,147,200,0.0005919449031352997,0.0007045024540275335,0.0007654726505279541,0.0007541421800851822,0.0007040155469439924
adam,1.5,0.0003,40000,9,200,0.0002626180648803711,0.0002729184925556183,0.00027120113372802734,0.00028183311223983765,0.0002721427008509636
sgd,1.25,1.0,2000,0,200,0.0011141300201416016,0.0011704564094543457,0.004578977823257446,0.014070816338062286,0.00523359514772892
sgd,1.25,0.3,2000,0,200,0.0003700554370880127,0.0003281794488430023,0.00026383716613054276,0.00021090824156999588,0.0002932450734078884
sgd,1.25,0.1,2000,0,200,0.00013736635446548462,8.631125092506409e-05,9.98442992568016e-05,0.00011277291923761368,0.000109073705971241
sgd,1.25,0.03,6666,0,200,0.00013838615268468857,0.00015241652727127075,0.00015906617045402527,0.00023569725453853607,0.00017139152623713017
sgd,1.25,0.01,20000,0,200,0.00020121317356824875,0.00035897642374038696,0.0003780210390686989,0.0004229247570037842,0.0003402838483452797
sgd,1.35,1.0,2000,0,200,0.0011387765407562256,0.001220703125,0.005581319332122803,0.01761174201965332,0.006388135254383087
sgd,1.35,0.3,2000,0,200,0.0004193447530269623,0.00032654404640197754,0.00028932467103004456,0.0002185869961977005,0.0003134501166641712
sgd,1.35,0.1,2000,0,200,0.0001382008194923401,8.621811866760254e-05,0.00010324455797672272,0.00010796263813972473,0.00010890653356909752
sgd,1.35,0.03,6666,0,200,0.00013662883429788053,0.00015738606452941895,0.00014758482575416565,0.00022770557552576065,0.00016732633230276406
sgd,1.35,0.01,20000,0,200,0.00017762952484190464,0.00034587085247039795,0.0003642711089923978,0.0003912001848220825,0.0003197429177816957
sgd,1.45,1.0,2000,0,200,0.0011134445667266846,0.0012158751487731934,0.006489664316177368,0.020538926124572754,0.0073394775390625
sgd,1.45,0.3,2000,1,200,0.000469304621219635,0.00032251328229904175,0.0003112168051302433,0.00021617207676172256,0.00032980169635266066
sgd,1.45,0.1,2000,0,200,0.00013833865523338318,8.590519428253174e-05,0.00010927021503448486,0.00010622572153806686,0.00010993494652211666
sgd,1.45,0.03,6666,0,200,0.00012982916086912155,0.00014786794781684875,0.0001557767391204834,0.00021469779312610626,0.00016204291023314
sgd,1.45,0.01,20000,0,200,0.0001568434527143836,0.00033166445791721344,0.0003499069425743073,0.00036767125129699707,0.000301521533401683
sgd,1.5,1.0,2000,0,200,0.0010619759559631348,0.0011780858039855957,0.006905049085617065,0.021815776824951172,0.007740221917629242
sgd,1.5,0.3,2000,37,200,0.0004943776875734329,0.00032012537121772766,0.0003065178170800209,0.00021502189338207245,0.0003340106923133135
sgd,1.5,0.1,2000,0,200,0.00013820454478263855,8.541345596313477e-05,0.00011288747191429138,0.00010728556662797928,0.000110947759822011
sgd,1.5,0.03,6666,0,200,0.00011899415403604507,0.00014901161193847656,0.0001599341630935669,0.00020824745297431946,0.000159046845510602
sgd,1.5,0.01,20000,0,200,0.00015195272862911224,0.0003314269706606865,0.0003425477189011872,0.000356137752532959,0.000295516278129071
