arm,seed,s_r,available,final,status,t_rule,cross_step,end_dist
T2-3b,600161,0.07498942093324558,True,True,ok,226,500,3.107736290530738e-12
T2-3b,600162,0.07498942093324558,True,True,ok,102,30148,2.339426430353342e-10
T2-3b,600163,0.07498942093324558,True,True,ok,129,404,4.982680934517703e-13
T2-3b,600164,0.07498942093324558,True,False,ok,102,30758,33.07456983644679
T2-3b,600165,0.07498942093324558,True,False,ok,104,1758,3.1317479162536754
T2-3b,600166,0.07498942093324558,True,True,ok,120,27526,6.483702463810914e-13
T2-3b,600167,0.07498942093324558,True,True,ok,195,31327,4.334310688136611e-13
T2-3b,600168,0.07498942093324558,True,True,ok,285,28089,3.1086244689504383e-13
T2-3b,600169,0.07498942093324558,True,True,ok,381,30137,7.283063041541027e-14
T2-3b,600171,0.07498942093324558,True,False,ok,82,27733,22.455569172262283
T2-3b,600172,0.07498942093324558,True,True,ok,97,99,5.085056820064437e-10
T2-3b,600173,0.07498942093324558,True,True,ok,325,28515,1.5235812611535948e-11
T2-3b,600175,0.07498942093324558,True,True,ok,233,31341,6.572520305780927e-14
T2-3b,600177,0.07498942093324558,True,True,ok,212,26063,2.6645352591003757e-14
T2-3b,600178,0.07498942093324558,True,True,ok,3,26805,2.3447910280083306e-13
T2-3b,600180,0.07498942093324558,True,True,ok,298,28929,3.8902214782865485e-13
T2-3b,600184,0.07498942093324558,True,True,ok,178,29754,1.1546319456101628e-13
T2-3b,600185,0.07498942093324558,True,True,ok,324,30381,1.758593271006248e-13
T2-3b,600187,0.07498942093324558,True,True,ok,217,30596,4.832674704857709e-09
T2-3b,600189,0.07498942093324558,True,True,ok,244,28509,5.329070518200751e-13
T2-3b,600191,0.07498942093324558,True,True,ok,63,30927,2.007283228522283e-13
T2-3b,600195,0.07498942093324558,True,True,ok,218,28358,3.9968028886505635e-13
T2-3b,600196,0.07498942093324558,True,True,ok,176,30568,1.155875395397743e-11
T2-3b,600198,0.07498942093324558,True,True,ok,336,513,3.212763388660278e-12
T2-3b,600199,0.07498942093324558,True,True,ok,246,30708,5.080380560684716e-13
T2-3b,600201,0.07498942093324558,True,True,ok,101,136,1.155844020495067e-08
T2-3b,600203,0.07498942093324558,True,True,ok,264,30154,1.0658141036401503e-14
T2-3b,600206,0.07498942093324558,True,False,ok,56,31551,25.92329501104284
T2-3b,600207,0.07498942093324558,True,True,ok,235,31240,1.1439738045737613e-12
T2-3b,600208,0.07498942093324558,True,False,jump,452,28616,
T2-3b,600209,0.07498942093324558,True,False,jump,74,31868,
T2-3b,600210,0.07498942093324558,True,True,ok,156,285,2.7755575615628914e-14
T2-3b,600212,0.07498942093324558,True,True,ok,349,29507,3.2152058793144533e-13
T2-3b,600213,0.07498942093324558,True,True,ok,220,28562,2.495337270147502e-10
T2-3b,600215,0.07498942093324558,True,False,no_basin_at_rule,1,1904,
T2-3b,600217,0.07498942093324558,True,True,ok,225,30637,6.217248937900877e-14
T2-3b,600219,0.07498942093324558,True,True,ok,472,797,4.030553668599168e-12
T2-3b,600220,0.07498942093324558,True,True,ok,222,30100,1.2715837272025965e-09
T2-3b,600222,0.07498942093324558,True,True,ok,248,30281,4.0323300254385686e-13
T2-3b,600223,0.07498942093324558,True,True,ok,353,30397,4.014566457044566e-13
T2-3b,600226,0.07498942093324558,True,True,ok,241,28222,6.217248937900877e-14
T2-3b,600229,0.07498942093324558,True,True,ok,207,28446,1.3525180975193507e-11
T2-3b,600230,0.07498942093324558,True,True,ok,331,26470,2.007283228522283e-13
T2-3b,600232,0.07498942093324558,True,False,ok,232,1507,3.275908924401053
T2-3b,600234,0.07498942093324558,True,True,ok,224,27978,3.552713678800501e-15
T2-3b,600235,0.07498942093324558,True,True,ok,253,27874,1.7408297026122455e-13
T2-3b,600236,0.07498942093324558,True,True,ok,345,28049,1.3500311979441904e-13
T2-3b,600237,0.07498942093324558,True,True,ok,133,26816,6.163958232718869e-12
T2-3b,600238,0.07498942093324558,True,True,ok,181,268,3.879119248040297e-13
T2-3b,600239,0.07498942093324558,True,True,ok,143,29328,2.0961010704922955e-13
T2-3c,600320,0.07498942093324558,True,False,ok,140,187,2.9909200851441446
T2-3c,600321,0.07498942093324558,True,False,no_basin_at_rule,63,18076,
T2-3c,600322,0.07498942093324558,True,True,ok,229,14791,1.4521361890729167e-10
T2-3c,600325,0.07498942093324558,True,True,ok,162,16774,1.0658141036401503e-14
T2-3c,600326,0.07498942093324558,True,True,ok,256,16790,5.861977570020827e-14
T2-3c,600327,0.07498942093324558,True,False,ok,129,653,3.2322548841792695
T2-3c,600328,0.07498942093324558,True,True,ok,106,15830,1.3145040611561853e-13
T2-3c,600329,0.07498942093324558,True,True,ok,158,18484,1.2789769243681803e-13
T2-3c,600331,0.07498942093324558,True,True,ok,89,15640,1.6324719354088302e-12
T2-3c,600332,0.07498942093324558,True,True,ok,133,17869,3.659295089164516e-13
T2-3c,600333,0.07498942093324558,True,True,ok,195,18717,8.587299760165479e-10
T2-3c,600334,0.07498942093324558,True,False,ok,168,431,3.5238254095338606
T2-3c,600336,0.07498942093324558,True,False,ok,192,1657,9.729796591776491
T2-3c,600337,0.07498942093324558,True,True,ok,186,18473,3.765876499528531e-13
T2-3c,600340,0.07498942093324558,True,True,ok,131,17707,6.217248937900877e-14
T2-3c,600341,0.07498942093324558,True,True,ok,109,19852,2.8066438062523957e-13
T2-3c,600342,0.07498942093324558,True,False,ok,79,695,3.1966195715812127
T2-3c,600343,0.07498942093324558,True,True,ok,111,17619,1.723066134218243e-13
T2-3c,600345,0.07498942093324558,True,True,ok,161,171,2.495781359357352e-13
T2-3c,600346,0.07498942093324558,True,True,ok,109,20310,4.392219921101059e-11
T2-3c,600347,0.07498942093324558,True,True,ok,64,16811,2.3092638912203256e-14
T2-3c,600348,0.07498942093324558,True,True,ok,88,236,2.3006041516282494e-12
T2-3c,600349,0.07498942093324558,True,True,ok,89,20845,4.227729277772596e-13
T2-3c,600350,0.07498942093324558,True,True,ok,126,16461,3.1796787425264483e-13
T2-3c,600353,0.07498942093324558,True,True,ok,159,17578,1.6994405882542196e-11
T2-3c,600354,0.07498942093324558,True,True,ok,129,18508,1.4210854715202004e-14
T2-3c,600355,0.07498942093324558,True,False,ok,361,945,3.209737062887318
T2-3c,600356,0.07498942093324558,True,True,ok,94,18625,2.581046487648564e-11
T2-3c,600357,0.07498942093324558,True,True,ok,96,15791,4.600764214046649e-13
T2-3c,600358,0.07498942093324558,True,False,ok,287,1342,3.1859573935867727
T2-3c,600359,0.07498942093324558,True,False,ok,171,1227,3.220095028317598
T2-3c,600360,0.07498942093324558,True,True,ok,175,16525,2.0961010704922955e-13
T2-3c,600361,0.07498942093324558,True,True,ok,190,15834,2.4683597388275302e-09
T2-3c,600362,0.07498942093324558,True,True,ok,114,15757,6.394884621840902e-14
T2-3c,600364,0.07498942093324558,True,True,ok,79,252,2.237352525469305e-10
T2-3c,600365,0.07498942093324558,True,False,ok,125,138,6.364030405206581
T2-3c,600366,0.07498942093324558,True,True,ok,5,17819,2.984279490192421e-13
T2-3c,600367,0.07498942093324558,True,True,ok,186,16655,3.090860900556436e-13
T2-3c,600368,0.07498942093324558,True,True,ok,104,17357,8.171241461241152e-14
T2-3c,600369,0.07498942093324558,True,True,ok,82,152,1.978417429882029e-13
T2-3c,600371,0.07498942093324558,True,True,ok,107,185,3.5929037522919316e-12
T2-3c,600372,0.07498942093324558,True,True,ok,220,16131,1.723066134218243e-13
T2-3c,600373,0.07498942093324558,True,True,ok,123,20390,5.435651928564766e-13
T2-3c,600374,0.07498942093324558,True,True,ok,86,16535,1.8474111129762605e-13
T2-3c,600375,0.07498942093324558,True,True,ok,106,17109,4.263256414560601e-14
T2-3c,600376,0.07498942093324558,True,False,jump,71,124,
T2-3c,600378,0.07498942093324558,True,True,ok,171,16615,6.128431095930864e-13
T2-3c,600379,0.07498942093324558,True,False,jump,152,17203,
T2-3c,600380,0.07498942093324558,True,True,ok,59,16249,8.881784197001252e-14
T2-3c,600381,0.07498942093324558,True,True,ok,104,14077,7.105427357601002e-15
T2-3c,600382,0.07498942093324558,True,True,ok,181,17191,8.053435252008967e-09
T2-3c,600383,0.07498942093324558,True,False,ok,163,16115,15.993919690075552
T2-3c,600384,0.07498942093324558,True,False,ok,65,1385,6.314084871210976
T2-3c,600385,0.07498942093324558,True,True,ok,309,17352,2.9309887850104133e-13
T2-3c,600386,0.07498942093324558,True,True,ok,165,16664,6.181721801112872e-13
T2-3c,600387,0.07498942093324558,True,False,ok,219,251,5.027778084250514
T2-3c,600388,0.07498942093324558,True,True,ok,62,19726,2.7711166694643907e-13
T2-3c,600389,0.07498942093324558,True,False,jump,98,17333,
T2-3c,600391,0.07498942093324558,True,False,jump,49,18799,
T2-3c,600392,0.07498942093324558,True,True,ok,122,17382,3.7125857943465235e-13
T2-3c,600394,0.07498942093324558,True,True,ok,85,17853,1.0871303857129533e-12
T2-3c,600395,0.07498942093324558,True,False,no_basin_at_rule,10,19059,
T2-3c,600398,0.07498942093324558,True,True,ok,115,413,2.2317703241014897e-12
T2-3c,600399,0.07498942093324558,True,True,ok,96,16806,4.2454928461665986e-13
T2-3d,600482,0.07498942093324558,True,False,ok,116,1275,3.1830907264897057
T2-3d,600481,0.07498942093324558,True,True,ok,119,15939,1.5170087408478139e-12
T2-3d,600480,0.07498942093324558,True,True,ok,209,16053,8.171241461241152e-14
T2-3d,600484,0.07498942093324558,True,False,ok,46,948,3.143926784422557
T2-3d,600483,0.07498942093324558,True,True,ok,154,17040,4.856257618257587e-10
T2-3d,600485,0.07498942093324558,True,False,jump,96,16792,
T2-3d,600486,0.07498942093324558,True,True,ok,66,16972,3.375077994860476e-14
T2-3d,600487,0.07498942093324558,True,True,ok,113,18027,1.6342482922482304e-13
T2-3d,600489,0.07498942093324558,True,True,ok,149,15467,5.329070518200751e-15
T2-3d,600488,0.07498942093324558,True,False,jump,165,17564,
T2-3d,600492,0.07498942093324558,True,False,ok,94,1075,3.242701238379368
T2-3d,600490,0.07498942093324558,True,True,ok,59,16833,4.600764214046649e-13
T2-3d,600491,0.07498942093324558,True,True,ok,142,17855,5.613287612504791e-13
T2-3d,600496,0.07498942093324558,True,False,ok,210,1039,6.283185307179894
T2-3d,600494,0.07498942093324558,True,True,ok,135,18473,5.684341886080802e-14
T2-3d,600493,0.07498942093324558,True,True,ok,152,20647,3.4859226616390515e-11
T2-3d,600497,0.07498942093324558,True,True,ok,143,15320,4.362933125889867e-09
T2-3d,600501,0.07498942093324558,True,False,ok,125,199,3.500450660720336
T2-3d,600498,0.07498942093324558,True,True,ok,128,16415,3.1317171078626416e-12
T2-3d,600503,0.07498942093324558,True,False,ok,88,1463,3.179516591543707
T2-3d,600500,0.07498942093324558,True,True,ok,60,18248,2.1671553440683056e-13
T2-3d,600502,0.07498942093324558,True,True,ok,144,17113,7.672085189369682e-12
T2-3d,600504,0.07498942093324558,True,True,ok,31,16177,4.2732040128612425e-11
T2-3d,600505,0.07498942093324558,True,True,ok,91,17356,3.68594044175552e-12
T2-3d,600506,0.07498942093324558,True,True,ok,93,16255,1.2434497875801753e-14
T2-3d,600510,0.07498942093324558,True,True,ok,189,323,2.950750754848741e-12
T2-3d,600508,0.07498942093324558,True,True,ok,122,16258,5.666578317686799e-13
T2-3d,600509,0.07498942093324558,True,True,ok,111,20048,4.121147867408581e-13
T2-3d,600511,0.07498942093324558,True,False,ok,74,15906,22.81902691091762
T2-3d,600512,0.07498942093324558,True,False,ok,37,15625,7.4729174050451475
T2-3d,600516,0.07498942093324558,True,False,ok,260,1563,12.566370614358679
T2-3d,600513,0.07498942093324558,True,False,jump,130,19074,
T2-3d,600518,0.07498942093324558,True,False,jump,120,213,
T2-3d,600514,0.07498942093324558,True,False,jump,190,16142,
T2-3d,600517,0.07498942093324558,True,False,jump,81,16827,
T2-3d,600523,0.07498942093324558,True,False,ok,7,335,3.3522403037111648
T2-3d,600519,0.07498942093324558,True,True,ok,192,17578,5.5067062021407764e-14
T2-3d,600522,0.07498942093324558,True,True,ok,88,16363,1.0302869668521453e-13
T2-3d,600524,0.07498942093324558,True,True,ok,92,20336,4.973799150320701e-14
T2-3d,600525,0.07498942093324558,True,True,ok,154,18151,1.5631940186722204e-13
T2-3d,600526,0.07498942093324558,True,True,ok,88,17330,1.3677947663381929e-13
T2-3d,600527,0.07498942093324558,True,False,jump,32,14832,
T2-3d,600528,0.07498942093324558,True,True,ok,119,16061,5.115907697472721e-13
T2-3d,600530,0.07498942093324558,True,True,ok,109,18144,4.050093593832571e-13
T2-3d,600531,0.07498942093324558,True,True,ok,85,19400,7.247535904753022e-13
T2-3d,600535,0.07498942093324558,True,True,ok,107,203,7.66053886991358e-14
T2-3d,600532,0.07498942093324558,True,True,ok,79,15460,1.2216183620239462e-10
T2-3d,600538,0.07498942093324558,True,False,no_basin_at_rule,1,997,
T2-3d,600534,0.07498942093324558,True,True,ok,112,15820,1.6697754290362354e-13
T2-3d,600537,0.07498942093324558,True,True,ok,90,17687,9.350742402602918e-12
T2-3d,600540,0.07498942093324558,True,True,ok,230,18814,1.6697754290362354e-13
T2-3d,600539,0.07498942093324558,True,True,ok,106,21492,1.1617373729677638e-12
T2-3d,600542,0.07498942093324558,True,True,ok,93,15312,1.3322676295501878e-13
T2-3d,600545,0.07498942093324558,True,True,ok,132,148,8.701928067011977e-13
T2-3d,600543,0.07498942093324558,True,True,ok,213,15389,4.1941916606447194e-10
T2-3d,600544,0.07498942093324558,True,True,ok,165,18274,4.263256414560601e-14
T2-3d,600548,0.07498942093324558,True,False,jump,94,19899,
T2-3d,600554,0.07498942093324558,True,True,ok,192,261,2.233768725545815e-13
T2-3d,600552,0.07498942093324558,True,True,ok,132,17740,6.604494728890131e-12
T2-3d,600557,0.07498942093324558,True,False,ok,124,1414,3.2376473043004905
T2-3d,600558,0.07498942093324558,True,True,ok,175,408,2.161826273550105e-12
T2-3d,600556,0.07498942093324558,True,True,ok,182,15157,1.7093544357749124e-09
T2-3d,600555,0.07498942093324558,True,True,ok,127,21621,1.0658141036401503e-14
T2-3b,600173,0.01333521432163324,True,True,ok,107,28515,8.486367164550757e-11
T2-3b,600180,0.01333521432163324,True,True,ok,65,28929,1.4566126083082054e-13
T2-3b,600185,0.01333521432163324,True,False,no_basin_at_rule,30,30381,
T2-3b,600205,0.01333521432163324,True,True,ok,94,242,5.7909232964448165e-12
T2-3b,600212,0.01333521432163324,True,False,jump,62,29507,
T2-3b,600236,0.01333521432163324,True,True,ok,140,28049,7.638334409421077e-14
T2-3c,600325,0.01333521432163324,True,False,jump,1,16774,
T2-3c,600353,0.01333521432163324,True,False,jump,33,17578,
T2-3c,600355,0.01333521432163324,True,False,ok,8,945,6.4744964331702555
T2-3c,600385,0.01333521432163324,True,False,jump,23,17352,
T2-3c,600393,0.01333521432163324,True,False,jump,27,218,
T2-3d,600480,0.01333521432163324,True,False,no_basin_at_rule,7,16053,
T2-3d,600494,0.01333521432163324,True,False,no_basin_at_rule,1,18473,
T2-3d,600516,0.01333521432163324,True,False,ok,36,1563,3.1876495371594205
T2-3d,600520,0.01333521432163324,True,False,ok,9,17,5.264380596969945
T2-3d,600540,0.01333521432163324,True,False,ok,56,18814,35.39319047011917
T2-3d,600543,0.01333521432163324,True,False,branch_lost,30,15389,
