seed,s_w1_own,note
600480,4.782858141653791,frozen T2-3d value
600481,4.782858141653791,frozen T2-3d value
600482,5.139696800771513,frozen T2-3d value
600483,5.139696800771513,frozen T2-3d value
600484,4.782858141653791,frozen T2-3d value
600485,4.958068241684655,frozen T2-3d value
600486,5.139696800771513,frozen T2-3d value
600487,5.327978945865642,frozen T2-3d value
600488,5.327978945865642,frozen T2-3d value
600489,4.613839682733214,frozen T2-3d value
600490,5.139696800771513,frozen T2-3d value
600491,5.327978945865642,frozen T2-3d value
600492,4.293510210083482,frozen T2-3d value
600493,6.378043838892179,frozen T2-3d value
600494,5.523158417307099,frozen T2-3d value
600496,4.613839682733214,frozen T2-3d value
600497,4.613839682733214,frozen T2-3d value
600498,4.958068241684655,frozen T2-3d value
600499,4.958068241684655,frozen T2-3d value
600500,5.72548788435838,frozen T2-3d value
600502,5.139696800771513,frozen T2-3d value
600503,4.293510210083482,frozen T2-3d value
600504,4.958068241684655,frozen T2-3d value
600505,5.327978945865642,frozen T2-3d value
600506,4.958068241684655,frozen T2-3d value
600508,4.958068241684655,frozen T2-3d value
600509,6.152654101490373,frozen T2-3d value
600511,4.782858141653791,frozen T2-3d value
600512,4.782858141653791,frozen T2-3d value
600513,5.72548788435838,frozen T2-3d value
600514,4.958068241684655,frozen T2-3d value
600515,4.782858141653791,frozen T2-3d value
600516,4.958068241684655,frozen T2-3d value
600517,5.139696800771513,frozen T2-3d value
600518,5.139696800771513,frozen T2-3d value
600519,5.327978945865642,frozen T2-3d value
600520,4.958068241684655,frozen T2-3d value
600522,4.958068241684655,frozen T2-3d value
600524,6.152654101490373,frozen T2-3d value
600525,5.523158417307099,frozen T2-3d value
600526,5.139696800771513,frozen T2-3d value
600527,4.613839682733214,frozen T2-3d value
600528,4.782858141653791,frozen T2-3d value
600529,4.958068241684655,frozen T2-3d value
600530,5.523158417307099,frozen T2-3d value
600532,4.782858141653791,frozen T2-3d value
600534,4.782858141653791,frozen T2-3d value
600535,5.523158417307099,frozen T2-3d value
600537,5.523158417307099,frozen T2-3d value
600539,6.611690262414816,frozen T2-3d value
600542,4.613839682733214,frozen T2-3d value
600543,4.450794062355996,frozen T2-3d value
600544,4.613839682733214,frozen T2-3d value
600545,5.327978945865642,frozen T2-3d value
600548,6.152654101490373,frozen T2-3d value
600549,4.958068241684655,frozen T2-3d value
600551,5.139696800771513,frozen T2-3d value
600552,5.523158417307099,frozen T2-3d value
600553,4.782858141653791,frozen T2-3d value
600555,6.611690262414816,frozen T2-3d value
600556,4.450794062355996,frozen T2-3d value
600557,6.152654101490373,frozen T2-3d value
600558,5.327978945865642,frozen T2-3d value
600559,4.958068241684655,frozen T2-3d value
