a,seed,step,w2,dL_dw2,loss
1.25,0,0,0.8230451345443726,-0.4055064916610718,1.0181764364242554
1.25,0,10,0.7245270609855652,-0.27151918411254883,0.8942793011665344
1.25,0,20,0.6343091130256653,-0.17743420600891113,0.8129492402076721
1.25,0,30,0.5576796531677246,-0.11919500678777695,0.7647932171821594
1.25,0,40,0.4959809184074402,-0.07687553018331528,0.7357374429702759
1.25,0,50,0.44924530386924744,-0.045167021453380585,0.7179507613182068
1.25,0,60,0.4165275990962982,-0.02449829690158367,0.7073667645454407
1.25,0,70,0.39536312222480774,-0.01258869469165802,0.7011615037918091
1.25,0,80,0.382567435503006,-0.006149603985249996,0.6974958777427673
1.25,0,90,0.375275582075119,-0.0027972881216555834,0.6953215599060059
1.25,0,100,0.3713603615760803,-0.001132188830524683,0.6940515041351318
1.25,0,110,0.3694012463092804,-0.00034647283609956503,0.6933320760726929
1.25,0,120,0.3685191571712494,1.0974123142659664e-05,0.6929394006729126
1.25,0,130,0.3682056665420532,0.0001635323278605938,0.6927339434623718
1.25,0,140,0.36817988753318787,0.000211282167583704,0.6926316618919373
1.25,0,150,0.36828720569610596,0.0002033334458246827,0.6925835609436035
1.25,0,160,0.36844176054000854,0.0001703314483165741,0.6925623416900635
1.25,0,170,0.36859774589538574,0.00013291696086525917,0.6925535798072815
1.25,0,180,0.3687349259853363,0.00010257167741656303,0.6925501823425293
1.25,0,190,0.368848979473114,8.269259706139565e-05,0.6925489902496338
1.25,0,200,0.368943989276886,7.155165076255798e-05,0.6925484538078308
1.25,0,210,0.3690263032913208,6.578746251761913e-05,0.6925482153892517
1.25,0,220,0.3691013753414154,6.270525045692921e-05,0.6925479173660278
1.25,0,230,0.3691728711128235,6.087450310587883e-05,0.6925477385520935
1.25,0,240,0.3692428171634674,5.971570499241352e-05,0.6925475597381592
1.25,0,250,0.3693122863769531,5.896156653761864e-05,0.6925473213195801
1.25,0,260,0.3693821430206299,5.839753430336714e-05,0.692547082901001
1.25,0,270,0.3694526255130768,5.784910172224045e-05,0.6925468444824219
1.25,0,280,0.3695238530635834,5.722767673432827e-05,0.6925466656684875
1.25,0,290,0.3695957660675049,5.651777610182762e-05,0.6925463676452637
1.25,0,300,0.36966824531555176,5.575129762291908e-05,0.6925462484359741
1.25,0,310,0.36974117159843445,5.494547076523304e-05,0.6925459504127502
1.25,0,320,0.3698144257068634,5.411100573837757e-05,0.6925457119941711
1.25,0,330,0.36988794803619385,5.32523263245821e-05,0.692545473575592
1.25,0,340,0.36996155977249146,5.237723235040903e-05,0.6925452351570129
1.25,0,350,0.37003517150878906,5.148514173924923e-05,0.6925449967384338
1.25,0,360,0.37010878324508667,5.0574541091918945e-05,0.69254469871521
1.25,0,370,0.3701823949813843,4.9647409468889236e-05,0.6925444006919861
1.25,0,380,0.3702559471130371,4.870584234595299e-05,0.6925441026687622
1.25,0,390,0.37032926082611084,4.774902481585741e-05,0.6925438642501831
1.25,0,400,0.3704022467136383,4.6776607632637024e-05,0.6925435066223145
1.25,0,410,0.3704748749732971,4.578509833663702e-05,0.6925432682037354
1.25,0,420,0.3705470561981201,4.47805505245924e-05,0.6925430297851562
1.25,0,430,0.3706187307834625,4.375656135380268e-05,0.6925427317619324
1.25,0,440,0.3706897795200348,4.2719533666968346e-05,0.6925424337387085
1.25,0,450,0.3707601726055145,4.166201688349247e-05,0.6925420165061951
1.25,0,460,0.37082982063293457,4.058994818478823e-05,0.6925417184829712
1.25,0,470,0.37089860439300537,3.9502279832959175e-05,0.6925414204597473
1.25,0,480,0.37096649408340454,3.8396334275603294e-05,0.6925410628318787
1.25,0,490,0.3710334002971649,3.727455623447895e-05,0.6925408244132996
1.25,0,500,0.37109920382499695,3.613601438701153e-05,0.6925405263900757
1.25,0,510,0.37116387486457825,3.4977681934833527e-05,0.6925401091575623
1.25,0,520,0.37122729420661926,3.3806427381932735e-05,0.6925398111343384
1.25,0,530,0.3712894022464752,3.261491656303406e-05,0.6925394535064697
1.25,0,540,0.3713500499725342,3.14079225063324e-05,0.6925391554832458
1.25,0,550,0.37140920758247375,3.0182301998138428e-05,0.692538857460022
1.25,0,560,0.37146684527397156,2.8940034098923206e-05,0.6925383806228638
1.25,0,570,0.37152278423309326,2.7679256163537502e-05,0.6925380825996399
1.25,0,580,0.3715769946575165,2.6398804038763046e-05,0.6925376653671265
1.25,0,590,0.3716293275356293,2.5103799998760223e-05,0.692537248134613
1.25,0,600,0.3716796934604645,2.3788772523403168e-05,0.6925369501113892
1.25,0,610,0.3717280626296997,2.2455118596553802e-05,0.6925365328788757
1.25,0,620,0.3717743158340454,2.1104468032717705e-05,0.6925361752510071
1.25,0,630,0.37181833386421204,1.9735773093998432e-05,0.6925356984138489
1.25,0,640,0.3718600571155548,1.8344842828810215e-05,0.6925353407859802
1.25,0,650,0.3718993663787842,1.6937265172600746e-05,0.6925350427627563
1.25,0,660,0.3719361126422882,1.551024615764618e-05,0.6925345063209534
1.25,0,670,0.3719702661037445,1.4060060493648052e-05,0.6925342082977295
1.25,0,680,0.3720017075538635,1.2594740837812424e-05,0.6925337314605713
1.25,0,690,0.3720303177833557,1.1108233593404293e-05,0.6925332546234131
1.25,0,700,0.37205609679222107,9.599956683814526e-06,0.6925327777862549
1.25,0,710,0.37207865715026855,8.072471246123314e-06,0.6925324201583862
1.25,0,720,0.3720981478691101,6.521004252135754e-06,0.6925320625305176
1.25,0,730,0.3721143305301666,4.9514928832650185e-06,0.6925315856933594
1.25,0,740,0.37212714552879333,3.3569522202014923e-06,0.6925310492515564
1.25,0,750,0.3721364438533783,1.744716428220272e-06,0.6925306916236877
1.25,0,760,0.37214213609695435,1.0849907994270325e-07,0.6925302147865295
1.25,0,770,0.37214407324790955,-1.548323780298233e-06,0.6925297379493713
1.25,0,780,0.37214216589927673,-3.2335519790649414e-06,0.6925292015075684
1.25,0,790,0.37213626503944397,-4.936708137392998e-06,0.6925288438796997
1.25,0,800,0.3721262216567993,-6.664777174592018e-06,0.6925283074378967
1.25,0,810,0.3721119463443756,-8.418923243880272e-06,0.6925277709960938
1.25,0,820,0.3720933198928833,-1.0197749361395836e-05,0.6925272941589355
1.25,0,830,0.3720701336860657,-1.2000557035207748e-05,0.6925267577171326
1.25,0,840,0.37204229831695557,-1.3828277587890625e-05,0.6925263404846191
1.25,0,850,0.37200966477394104,-1.5681958757340908e-05,0.6925256848335266
1.25,0,860,0.37197205424308777,-1.7563579604029655e-05,0.6925252676010132
1.25,0,870,0.3719293773174286,-1.946929842233658e-05,0.6925247311592102
1.25,0,880,0.3718814253807068,-2.1405634470283985e-05,0.6925241947174072
1.25,0,890,0.3718280792236328,-2.3370608687400818e-05,0.6925236582756042
1.25,0,900,0.37176916003227234,-2.535991370677948e-05,0.6925231218338013
1.25,0,910,0.37170448899269104,-2.7382513508200645e-05,0.6925225853919983
1.25,0,920,0.3716338574886322,-2.943293657153845e-05,0.6925219893455505
1.25,0,930,0.3715572655200958,-3.1516305170953274e-05,0.6925214529037476
1.25,0,940,0.37147441506385803,-3.362889401614666e-05,0.6925209164619446
1.25,0,950,0.3713851571083069,-3.577466122806072e-05,0.6925202012062073
1.25,0,960,0.37128931283950806,-3.7953141145408154e-05,0.6925196647644043
1.25,0,970,0.3711867034435272,-4.016561433672905e-05,0.6925190687179565
1.25,0,980,0.37107712030410767,-4.241312853991985e-05,0.6925184726715088
1.25,0,990,0.3709603548049927,-4.4693006202578545e-05,0.692517876625061
1.25,0,1000,0.3708362281322479,-4.7012465074658394e-05,0.6925172209739685
1.25,0,1010,0.3707045018672943,-4.936615005135536e-05,0.6925166249275208
1.25,0,1020,0.3705649971961975,-5.175964906811714e-05,0.6925159692764282
1.25,0,1030,0.37041744589805603,-5.4192496463656425e-05,0.6925152540206909
1.25,0,1040,0.37026169896125793,-5.666515789926052e-05,0.6925145983695984
1.25,0,1050,0.37009748816490173,-5.917763337492943e-05,0.6925139427185059
1.25,0,1060,0.36992448568344116,-6.173294968903065e-05,0.6925132274627686
1.25,0,1070,0.3697425425052643,-6.433273665606976e-05,0.6925125122070312
1.25,0,1080,0.36955150961875916,-6.697745993733406e-05,0.692511796951294
1.25,0,1090,0.36935099959373474,-6.966781802475452e-05,0.6925111413002014
1.25,0,1100,0.36914077401161194,-7.240613922476768e-05,0.6925104260444641
1.25,0,1110,0.36892056465148926,-7.51926563680172e-05,0.6925097107887268
1.25,0,1120,0.36869004368782043,-7.802888285368681e-05,0.6925089955329895
1.25,0,1130,0.36844900250434875,-8.091749623417854e-05,0.6925082206726074
1.25,0,1140,0.36819711327552795,-8.386140689253807e-05,0.6925075054168701
1.25,0,1150,0.36793407797813416,-8.686003275215626e-05,0.6925066113471985
1.25,0,1160,0.3676595687866211,-8.991488721221685e-05,0.6925057768821716
1.25,0,1170,0.36737316846847534,-9.302992839366198e-05,0.6925051212310791
1.25,0,1180,0.3670746982097626,-9.620538912713528e-05,0.6925041675567627
1.25,0,1190,0.36676374077796936,-9.944452904164791e-05,0.6925033330917358
1.25,0,1200,0.36643993854522705,-0.00010274909436702728,0.6925024390220642
1.25,0,1210,0.3661028742790222,-0.00010611908510327339,0.6925016641616821
1.25,0,1220,0.365752249956131,-0.00010956171900033951,0.6925007700920105
1.25,0,1230,0.36538761854171753,-0.00011307594832032919,0.6924998760223389
1.25,0,1240,0.36500856280326843,-0.00011666771024465561,0.6924989223480225
1.25,0,1250,0.36461466550827026,-0.00012033258099108934,0.6924980282783508
1.25,0,1260,0.3642054498195648,-0.00012408173643052578,0.6924970746040344
1.25,0,1270,0.3637804687023163,-0.0001279180869460106,0.6924961805343628
1.25,0,1280,0.36333924531936646,-0.00013183674309402704,0.6924951672554016
1.25,0,1290,0.36288130283355713,-0.00013585190754383802,0.6924941539764404
1.25,0,1300,0.3624061048030853,-0.0001399561297148466,0.6924931406974792
1.25,0,1310,0.36191314458847046,-0.00014416524209082127,0.6924920678138733
1.25,0,1320,0.3614017963409424,-0.00014847388956695795,0.6924909949302673
1.25,0,1330,0.3608715534210205,-0.00015289185103029013,0.6924899220466614
1.25,0,1340,0.3603217601776123,-0.0001574204070493579,0.6924888491630554
1.25,0,1350,0.35975173115730286,-0.00016206735745072365,0.6924876570701599
1.25,0,1360,0.3591608703136444,-0.00016683607827872038,0.6924865245819092
1.25,0,1370,0.35854852199554443,-0.00017173716332763433,0.6924853324890137
1.25,0,1380,0.35791394114494324,-0.00017676630523055792,0.6924841403961182
1.25,0,1390,0.35725638270378113,-0.00018193956930190325,0.6924828290939331
