test,a,arm,n,n_ratio,median_ratio,pred,obs,diff,tol,within_tol
4b,1.3,control,48,48,0.003991336243666,0.026328447566594575,0.0310530517860165,0.004724604219421925,0.01,True
4b,1.3,reset,48,48,0.0040988758643487,0.02661433352436754,0.03148379449908685,0.004869460974719311,0.01,True
4b,1.3,teleport,48,48,0.00400928097824165,0.026376152287873794,0.03078724324826395,0.004411090960390156,0.01,True
4b,1.3,teleport_reset,48,48,0.004088420102139,0.02658653767038749,0.03122235263596425,0.004635814965576759,0.01,True
4b,1.5,control,48,48,0.0156705637722791,0.05737679167334539,0.06559416360338086,0.008217371930035466,0.014344197918336347,True
4b,1.5,reset,48,48,0.0163019186806736,0.059055201003182844,0.06721890090942605,0.008163699906243202,0.014763800250795711,True
4b,1.5,teleport,48,48,0.0157733204166198,0.05764996244983116,0.0654723583093015,0.007822395859470338,0.01441249061245779,True
4b,1.5,teleport_reset,48,48,0.016097362914049652,0.05851140495026745,0.0660116650135584,0.0075002600632909505,0.014627851237566863,True
lag1,1.3,0.25,49,49,0.0008928935279568,0.01809147167099623,0.0047314235115061,-0.013360048159490129,0.01,False
lag1,1.3,0.5,48,48,0.003480328811352,0.024969972910567705,0.026629020244591198,0.0016590473340234932,0.01,True
lag1,1.3,1.0,48,48,0.003991336243666,0.026328447566594575,0.0310530517860165,0.004724604219421925,0.01,True
lag1,1.3,2.0,44,44,0.0040319227777754,0.026436343801516087,0.031224492954618648,0.00478814915310256,0.01,True
lag1,1.5,0.25,49,49,0.0034709699846424,0.024945093176749415,0.0106895977517933,-0.014255495424956115,0.01,False
lag1,1.5,0.5,48,48,0.0145903214352062,0.054505049024445834,0.0534367498118889,-0.0010682992125569321,0.013626262256111459,True
lag1,1.5,1.0,48,48,0.0156705637722791,0.05737679167334539,0.06559416360338086,0.008217371930035466,0.014344197918336347,True
lag1,1.5,2.0,44,44,0.015766157445518597,0.05763092023226737,0.06644830138552635,0.008817381153258981,0.014407730058066842,True
lag2-prim,1.3,0.25,48,48,0.00339984925853145,0.02475602409902104,0.027751469637684302,0.0029954455386632627,0.01,True
lag2-prim,1.3,0.5,48,48,0.0038429783333169,0.02593404926925921,0.03024300502645825,0.004308955757199039,0.01,True
lag2-prim,1.3,1.0,48,48,0.003991336243666,0.026328447566594575,0.0310530517860165,0.004724604219421925,0.01,True
lag2-prim,1.3,2.0,48,48,0.004057183270269349,0.02650349691257045,0.0315858218259824,0.005082324913411949,0.01,True
lag2-prim,1.5,0.25,48,48,0.0134587691942514,0.05149690287215475,0.056340105166158005,0.004843202294003257,0.012874225718038687,True
lag2-prim,1.5,0.5,48,48,0.01499795472997575,0.05558871134495176,0.0628575228321519,0.007268811487200141,0.01389717783623794,True
lag2-prim,1.5,1.0,48,48,0.0156705637722791,0.05737679167334539,0.06559416360338086,0.008217371930035466,0.014344197918336347,True
lag2-prim,1.5,2.0,48,48,0.01618100561968335,0.058733762764615394,0.0667494878854272,0.008015725120811806,0.014683440691153848,True
lag2-tstar,1.3,0.25,48,48,0.0013153399020485001,0.01921451344386302,0.00710721573011745,-0.012107297713745569,0.01,False
lag2-tstar,1.3,0.5,48,48,0.003523411910657,0.025084506075464936,0.02713521241731805,0.0020507063418531146,0.01,True
lag2-tstar,1.3,1.0,48,48,0.003991336243666,0.026328447566594575,0.0310530517860165,0.004724604219421925,0.01,True
lag2-tstar,1.3,2.0,48,48,0.004072015681388,0.02654292775705194,0.03150113938354345,0.004958211626491512,0.01,True
lag2-tstar,1.5,0.25,48,48,0.005376295581843099,0.030010257343845038,0.01638282996688285,-0.013627427376962188,0.01,False
lag2-tstar,1.5,0.5,48,48,0.0145633824640549,0.054433433804677384,0.0557188489105302,0.0012854151058528177,0.013608358451169346,True
lag2-tstar,1.5,1.0,48,48,0.0156705637722791,0.05737679167334539,0.06559416360338086,0.008217371930035466,0.014344197918336347,True
lag2-tstar,1.5,2.0,48,48,0.0161809599584778,0.05873364137774981,0.0673685262942616,0.008634884916511792,0.014683410344437452,True
