seed,newton_res,s_frozen,branch_w1,branch_b1,w2_own_lo,w2_own_hi,w2_own,own_evals,note
1650000,2.220446049250313e-16,1.7860946801989557,-1.1154792243012424,-2.2030262395962383,1.879845,1.886095,1.88297,6,
1650001,3.602895759513558e-13,1.51884434630001,-1.10235927157828,-2.2348922572402135,2.181344,2.187594,2.184469,12,
1650002,1.4210854715202004e-16,1.7338090420529233,-1.1220721761045511,-2.211970149126384,1.733809,1.740059,1.736934,6,
1650003,8.881784197001253e-17,1.8395585962882217,-1.129126188300728,-2.199800600304582,1.833309,1.839559,1.8364340000000001,6,
1650004,2.3980817331903383e-16,1.7469976445477533,-1.1252377379427385,-2.210832894140825,1.921998,1.928248,1.9251230000000001,7,
1650005,7.105427357601002e-17,1.921572707613513,-1.1377227824817782,-2.1916659307743225,1.915323,1.921573,1.9184480000000002,6,
1650006,1.376676550535194e-16,1.783778053127683,-1.1278621288975448,-2.2066395263258696,1.808778,1.815028,1.811903,6,
1650007,2.220446049250313e-16,1.7010946233544049,-1.1280135259050035,-2.217837761563577,2.026095,2.032345,2.02922,9,
1650008,2.3980817331903383e-16,1.8422982603494518,-1.1266429763803154,-2.1986606569832867,1.867298,1.873548,1.870423,6,
1650009,4.0666137124389935e-13,2.092119121930119,-1.1382513001709893,-2.1734779877407053,1.735869,1.742119,1.738994,9,
1650010,3.765876499528531e-15,1.91480685428356,-1.1419164032131397,-2.194421303885941,1.783557,1.789807,1.7866819999999999,7,
1650011,8.43769498715119e-17,1.6783160339622016,-1.1213664227858569,-2.2193680673779137,1.678316,1.684566,1.681441,6,
1650012,6.217248937900877e-17,1.87136043810938,-1.130978462052736,-2.1963874532787244,1.87136,1.87761,1.874485,6,
1650013,1.2219558698234324e-13,2.0508516410619513,-1.1473078541094004,-2.177958967621236,2.044602,2.050852,2.047727,6,
1650014,5.684341886080802e-16,1.721118913144462,-1.1354623910828803,-2.2245789353584207,1.964869,1.971119,1.967994,8,
1650015,2.6283863974185807e-13,2.2552936612997425,-1.1367661040237151,-2.1559036575096466,2.249044,2.255294,2.2521690000000003,6,
1650016,1.3669065879184928e-14,2.063302344268758,-1.1506165857535615,-2.1775345214331,2.063302,2.069552,2.066427,6,
1650017,1.0658141036401502e-15,1.7416189055686466,-1.1134690529782365,-2.208146424041937,1.904119,1.910369,1.907244,7,
1650018,3.087308186877635e-14,2.07391699157462,-1.1335101281866111,-2.1710855379414005,2.067667,2.073917,2.070792,6,
1650019,2.3092638912203257e-16,1.724122441187519,-1.1247098400825646,-2.213968962598555,1.724122,1.730372,1.727247,6,
1650020,7.140954494389006e-15,1.5916539821933298,-1.1033155364228904,-2.226363913927336,2.116654,2.122904,2.1197790000000003,11,
1650021,3.3436364788030913e-13,2.1152663925266126,-1.1525106293090095,-2.1707255458532693,2.115266,2.121516,2.118391,6,
1650022,1.8562928971732616e-15,1.5989316704665946,-1.1191795334909767,-2.229596435392183,2.080182,2.086432,2.083307,10,
1650023,1.6431300764452317e-16,1.7068913170636093,-1.0998177923114587,-2.208450373814834,1.875641,1.881891,1.878766,7,
1650024,1.509903313490213e-16,2.042736276270553,-1.1209721263462864,-2.1726797031834733,2.042736,2.048986,2.0458610000000004,6,
1650025,1.0658141036401502e-16,1.828748580022729,-1.1290312679975603,-2.20109100474846,1.822499,1.828749,1.825624,6,
1650026,9.50821643641575e-13,1.794174090727612,-1.144848069910111,-2.22382704059498,1.794174,1.800424,1.797299,6,
1650027,3.321787289678468e-14,2.0049915636244147,-1.1362221823871907,-2.179797657399865,1.998742,2.004992,2.001867,6,
1650028,5.948130876731739e-14,1.9117798376129853,-1.1471863392782742,-2.1953332094382842,1.90553,1.91178,1.908655,6,
1650029,3.730349362740526e-16,1.772025925882414,-1.126139869050972,-2.207661825598174,1.940776,1.947026,1.9439009999999999,7,
1650030,9.873168949070531e-13,1.4944546048831082,-1.0920665343402105,-2.2381253942775117,2.000705,2.006955,2.00383,11,
1650031,5.684341886080802e-16,1.665617202686526,-1.1148240136057102,-2.2187601266040113,1.940617,1.946867,1.9437419999999999,8,
1650032,2.3536728122053318e-15,1.6140808402224502,-1.1059183983163643,-2.2233809562847786,1.926581,1.932831,1.929706,9,
1650033,6.392397722265742e-13,1.6849874213535054,-1.1369232025735714,-2.2471712508815354,2.184987,2.191237,2.1881120000000003,11,
1650034,1.5987211554602254e-16,1.75086986756805,-1.1287683882266992,-2.21119284713106,1.74462,1.75087,1.747745,6,
1650035,2.029043599804936e-13,1.5990905662452874,-1.1228691044990227,-2.231966948936433,2.105341,2.111591,2.108466,11,
1650036,2.575717417130363e-16,1.8137939494253459,-1.1312730867758578,-2.2037161165709684,1.807544,1.813794,1.8106689999999999,6,
1650037,1.623590151211829e-14,2.1528524445060158,-1.144587540857138,-2.165381111260361,2.152852,2.159102,2.155977,6,
1650038,6.8478556158879655e-15,1.9610102858787428,-1.1205683703847018,-2.1826167544193247,1.76726,1.77351,1.770385,7,
1650039,1.312727704316785e-14,1.6973623339326442,-1.1077522340703463,-2.2121257057510655,1.903612,1.909862,1.9067370000000001,8,
1650040,2.9132252166164106e-15,1.901112738643687,-1.130157694577705,-2.1929536746021983,1.888613,1.894863,1.8917380000000001,6,
1650041,4.076738946423575e-15,1.9846305277187573,-1.136497507611284,-2.1835816030499284,1.978381,1.984631,1.981506,6,
1650042,7.993605777301127e-17,1.351161534462023,-1.0975662383281892,-2.2707196232636484,2.476162,2.482412,2.4792870000000002,17,
1650043,5.329070518200751e-17,1.6589919530630022,-1.1225944564398327,-2.222651476758024,1.652742,1.658992,1.655867,6,
1650044,8.881784197001253e-17,2.1310890446151802,-1.1273166829886314,-2.1654072514817604,2.131089,2.137339,2.134214,6,
1650045,4.973799150320702e-16,1.9139183581951946,-1.1443289271063612,-2.194433171745655,1.913918,1.920168,1.917043,6,
1650046,2.063327286805361e-13,2.077446313717267,-1.1186677611210782,-2.1699113500771623,1.658696,1.664946,1.661821,10,
1650047,6.750155989720952e-16,1.8690859669787527,-1.1364112872822583,-2.1979675228108495,1.894086,1.900336,1.897211,6,
1650048,3.019806626980426e-16,1.6370277098943147,-1.1189598905267866,-2.224303429763904,1.899528,1.905778,1.902653,8,
