set,a,arm,n,median_r_obs,ci_lo,ci_hi,median_chi_1A
4b,1.3,control,48,0.0311812855662603,0.0301844144728484,0.0316928796139912,0.003991336243666
4b,1.3,reset,48,0.03168412535665005,0.031383861648780056,0.0319307714471015,0.0040988758643487
4b,1.3,teleport,48,0.03095597338595565,0.0304319408443474,0.0314138596730215,0.00400928097824165
4b,1.3,teleport_reset,48,0.031489852006812896,0.0312139774418873,0.0316940458790249,0.004088420102139
4b,1.5,control,48,0.06609514144774135,0.0629407920630999,0.06748013124369659,0.0156705637722791
4b,1.5,reset,48,0.0675197673675965,0.0669015233496681,0.0684046000110252,0.0163019186806736
4b,1.5,teleport,48,0.06583152087450955,0.06396253545281345,0.0667282416792287,0.0157733204166198
4b,1.5,teleport_reset,48,0.06632560099706855,0.0656081791337721,0.06661819150135705,0.016097362914049652
SGD,1.3,sgd,30,0.0288325641206889,0.02735714326489575,0.029867983660509648,0.0035418534444108503
SGD,1.5,sgd,30,0.0622520557924133,0.05911739835273975,0.065713465764001,0.01403531295133275
TaskB,1.45,adam,80,0.05362033618241175,0.0514593059767916,0.055077485749716555,0.011249265828270849
TaskB,1.6,adam,80,0.08150071395994155,0.07835677119314605,0.0861263067698052,0.0248597716032564
lag1,1.3,0.25,49,0.0067379035165633,0.0041608897983813,0.0129620111146429,0.0008928935279568
lag1,1.3,0.5,48,0.026444591725276752,0.02567421685451135,0.0277204874870262,0.003480328811352
lag1,1.3,1.0,48,0.0311812855662603,0.030179174833040598,0.0316928796139912,0.003991336243666
lag1,1.3,2.0,44,0.0315332596618974,0.03099732287566565,0.03213355125220835,0.0040319227777754
lag1,1.5,0.25,49,0.0129219126350663,0.009598238947486,0.0230381095959886,0.0034709699846424
lag1,1.5,0.5,48,0.0538706159906511,0.0519983191961146,0.0559886823362344,0.0145903214352062
lag1,1.5,1.0,48,0.06609514144774135,0.0629407920630999,0.0675417476811548,0.0156705637722791
lag1,1.5,2.0,44,0.0669902957501439,0.065892885532548,0.0685432429354022,0.015766157445518597
lag2-prim,1.3,0.25,48,0.0262750921866712,0.0239978419284097,0.0285400609170535,0.00339984925853145
lag2-prim,1.3,0.5,48,0.0297665600106021,0.02832427775952335,0.0306915316955553,0.0038429783333169
lag2-prim,1.3,1.0,48,0.0311812855662603,0.03022232447237075,0.0316928796139912,0.003991336243666
lag2-prim,1.3,2.0,48,0.0315083796956008,0.0310699847656001,0.0319759043443483,0.004057183270269349
lag2-prim,1.5,0.25,48,0.053270561935518004,0.0465913786276734,0.05938957479793855,0.0134587691942514
lag2-prim,1.5,0.5,48,0.06266161964656256,0.0571639449452876,0.0653476851504655,0.01499795472997575
lag2-prim,1.5,1.0,48,0.06609514144774135,0.0629407920630999,0.0674154845783481,0.0156705637722791
lag2-prim,1.5,2.0,48,0.0672668210334731,0.0662171463748237,0.06859222614377455,0.01618100561968335
lag2-tstar,1.3,0.25,48,0.009925020887626649,0.006142042099234,0.0138235461555376,0.0013153399020485001
lag2-tstar,1.3,0.5,48,0.02708207723295725,0.0259224509499951,0.02807337982484875,0.003523411910657
lag2-tstar,1.3,1.0,48,0.0311812855662603,0.0301844144728484,0.0316928796139912,0.003991336243666
lag2-tstar,1.3,2.0,48,0.03156088995706095,0.0312900758182016,0.0320538800956708,0.004072015681388
lag2-tstar,1.5,0.25,48,0.02134465832160495,0.0129271914607091,0.0286197571719264,0.005376295581843099
lag2-tstar,1.5,0.5,48,0.05500042495473125,0.0524106478000863,0.057624418996836846,0.0145633824640549
lag2-tstar,1.5,1.0,48,0.06609514144774135,0.0629407920630999,0.0674154845783481,0.0156705637722791
lag2-tstar,1.5,2.0,48,0.06753408228328645,0.0662498201005319,0.0685310483350412,0.0161809599584778
