setting,label,chi,obs,pred,branch_conditioned_post_hoc,reference,ratio,resolved
"width 1, free training",4b a=1.30 control,0.003991336243666,0.0311812855662603,0.03037623726316615,True,tracked-branch switch (post hoc),1.0265025683108666,True
"width 1, free training (registered reference)",4b a=1.30 control,0.003991336243666,0.0310530517860165,0.03037623726316615,False,global own threshold (committed comparison),1.0222810520271728,True
"width 1, free training",4b a=1.30 reset,0.0040988758643487,0.03168412535665005,0.03119467220164885,True,tracked-branch switch (post hoc),1.0156902804375463,True
"width 1, free training (registered reference)",4b a=1.30 reset,0.0040988758643487,0.03148379449908685,0.03119467220164885,False,global own threshold (committed comparison),1.009268322986985,True
"width 1, free training",4b a=1.30 teleport,0.00400928097824165,0.03095597338595565,0.0305128064424628,True,tracked-branch switch (post hoc),1.0145239653497138,True
"width 1, free training (registered reference)",4b a=1.30 teleport,0.00400928097824165,0.03078724324826395,0.0305128064424628,False,global own threshold (committed comparison),1.00899415156448,True
"width 1, free training",4b a=1.30 teleport_reset,0.004088420102139,0.031489852006812896,0.03111509817073295,True,tracked-branch switch (post hoc),1.0120441154973583,True
"width 1, free training (registered reference)",4b a=1.30 teleport_reset,0.004088420102139,0.03122235263596425,0.03111509817073295,False,global own threshold (committed comparison),1.0034470231989234,True
"width 1, free training",4b a=1.50 control,0.0156705637722791,0.06609514144774135,0.0634038821086416,True,tracked-branch switch (post hoc),1.0424462864038564,True
"width 1, free training (registered reference)",4b a=1.50 control,0.0156705637722791,0.06559416360338086,0.0634038821086416,False,global own threshold (committed comparison),1.0345449114769698,True
"width 1, free training",4b a=1.50 reset,0.0163019186806736,0.0675197673675965,0.06595837553735734,True,tracked-branch switch (post hoc),1.0236723815212039,True
"width 1, free training (registered reference)",4b a=1.50 reset,0.0163019186806736,0.06721890090942605,0.06595837553735734,False,global own threshold (committed comparison),1.019110922029224,True
"width 1, free training",4b a=1.50 teleport,0.0157733204166198,0.06583152087450955,0.06381964061346215,True,tracked-branch switch (post hoc),1.0315244686699632,True
"width 1, free training (registered reference)",4b a=1.50 teleport,0.0157733204166198,0.0654723583093015,0.06381964061346215,False,global own threshold (committed comparison),1.0258966938696725,True
"width 1, free training",4b a=1.50 teleport_reset,0.016097362914049652,0.06632560099706855,0.06513073270968764,True,tracked-branch switch (post hoc),1.0183456908539152,True
"width 1, free training (registered reference)",4b a=1.50 teleport_reset,0.016097362914049652,0.0660116650135584,0.06513073270968764,False,global own threshold (committed comparison),1.0135256010061704,True
"width 1, free training",SGD a=1.30 sgd,0.0035418534444108503,0.0288325641206889,0.0269876779361309,True,tracked-branch switch (post hoc),1.0683603157309092,True
"width 1, free training (registered reference)",SGD a=1.30 sgd,0.0035418534444108503,0.0295180460143398,0.0269876779361309,False,global own threshold (committed comparison),1.093760125795086,True
"width 1, free training",SGD a=1.50 sgd,0.01403531295133275,0.0622520557924133,0.057185350471896504,True,tracked-branch switch (post hoc),1.0886014561195496,True
"width 1, free training (registered reference)",SGD a=1.50 sgd,0.01403531295133275,0.06433223976164365,0.057185350471896504,False,global own threshold (committed comparison),1.124977625052057,True
"width 1, free training",TaskB a=1.45 adam,0.011249265828270849,0.05362033618241175,0.05161115600531875,True,tracked-branch switch (post hoc),1.038929183777359,True
"width 1, free training (registered reference)",TaskB a=1.45 adam,0.011249265828270849,0.05324161810925605,0.05161115600531875,False,global own threshold (committed comparison),1.031591272704089,True
"width 1, free training",TaskB a=1.60 adam,0.0248597716032564,0.08150071395994155,0.0818810477227851,True,tracked-branch switch (post hoc),0.9953550452342623,True
"width 1, free training (registered reference)",TaskB a=1.60 adam,0.0248597716032564,0.0808758976288116,0.0818810477227851,False,global own threshold (committed comparison),0.9877242643819543,True
"width 1, free training",lag1 a=1.30 0.25,0.0008928935279568,0.0067379035165633,0.0067954048469365,True,tracked-branch switch (post hoc),0.9915382038791813,True
"width 1, free training (registered reference)",lag1 a=1.30 0.25,0.0008928935279568,0.0047314235115061,0.0067954048469365,False,global own threshold (committed comparison),0.6962680838124188,True
"width 1, free training",lag1 a=1.30 0.5,0.003480328811352,0.026444591725276752,0.026487193078566403,True,tracked-branch switch (post hoc),0.99839162446684,True
"width 1, free training (registered reference)",lag1 a=1.30 0.5,0.003480328811352,0.026629020244591198,0.026487193078566403,False,global own threshold (committed comparison),1.005354556279486,True
"width 1, free training",lag1 a=1.30 1.0,0.003991336243666,0.0311812855662603,0.03037623726316615,True,tracked-branch switch (post hoc),1.0265025683108666,True
"width 1, free training (registered reference)",lag1 a=1.30 1.0,0.003991336243666,0.0310530517860165,0.03037623726316615,False,global own threshold (committed comparison),1.0222810520271728,True
"width 1, free training",lag1 a=1.30 2.0,0.0040319227777754,0.0315332596618974,0.030685122837954097,True,tracked-branch switch (post hoc),1.02764000093538,True
"width 1, free training (registered reference)",lag1 a=1.30 2.0,0.0040319227777754,0.031224492954618648,0.030685122837954097,False,global own threshold (committed comparison),1.0175775772354871,True
"width 1, free training",lag1 a=1.50 0.25,0.0034709699846424,0.0129219126350663,0.014043717565427,True,tracked-branch switch (post hoc),0.9201205147330525,True
"width 1, free training (registered reference)",lag1 a=1.50 0.25,0.0034709699846424,0.0106895977517933,0.014043717565427,False,global own threshold (committed comparison),0.7611658168139956,True
"width 1, free training",lag1 a=1.50 0.5,0.0145903214352062,0.0538706159906511,0.059033167769078854,True,tracked-branch switch (post hoc),0.9125482847435495,True
"width 1, free training (registered reference)",lag1 a=1.50 0.5,0.0145903214352062,0.0534367498118889,0.059033167769078854,False,global own threshold (committed comparison),0.9051987523508553,True
"width 1, free training",lag1 a=1.50 1.0,0.0156705637722791,0.06609514144774135,0.0634038821086416,True,tracked-branch switch (post hoc),1.0424462864038564,True
"width 1, free training (registered reference)",lag1 a=1.50 1.0,0.0156705637722791,0.06559416360338086,0.0634038821086416,False,global own threshold (committed comparison),1.0345449114769698,True
"width 1, free training",lag1 a=1.50 2.0,0.015766157445518597,0.0669902957501439,0.06379065887535446,True,tracked-branch switch (post hoc),1.0501583920153805,True
"width 1, free training (registered reference)",lag1 a=1.50 2.0,0.015766157445518597,0.06644830138552635,0.06379065887535446,False,global own threshold (committed comparison),1.041661938550672,True
"width 1, free training",lag2-prim a=1.30 0.25,0.00339984925853145,0.0262750921866712,0.02587469995795045,True,tracked-branch switch (post hoc),1.015474275233005,True
"width 1, free training (registered reference)",lag2-prim a=1.30 0.25,0.00339984925853145,0.027751469637684302,0.02587469995795045,False,global own threshold (committed comparison),1.0725330026158306,True
"width 1, free training",lag2-prim a=1.30 0.5,0.0038429783333169,0.0297665600106021,0.02924715296419645,True,tracked-branch switch (post hoc),1.0177592344472466,True
"width 1, free training (registered reference)",lag2-prim a=1.30 0.5,0.0038429783333169,0.03024300502645825,0.02924715296419645,False,global own threshold (committed comparison),1.0340495385475945,True
"width 1, free training",lag2-prim a=1.30 1.0,0.003991336243666,0.0311812855662603,0.03037623726316615,True,tracked-branch switch (post hoc),1.0265025683108666,True
"width 1, free training (registered reference)",lag2-prim a=1.30 1.0,0.003991336243666,0.0310530517860165,0.03037623726316615,False,global own threshold (committed comparison),1.0222810520271728,True
"width 1, free training",lag2-prim a=1.30 2.0,0.004057183270269349,0.0315083796956008,0.0308773689095794,True,tracked-branch switch (post hoc),1.0204360283374285,True
"width 1, free training (registered reference)",lag2-prim a=1.30 2.0,0.004057183270269349,0.0315858218259824,0.0308773689095794,False,global own threshold (committed comparison),1.0229440830427494,True
"width 1, free training",lag2-prim a=1.50 0.25,0.0134587691942514,0.053270561935518004,0.0544548510009111,True,tracked-branch switch (post hoc),0.9782519088083946,True
"width 1, free training (registered reference)",lag2-prim a=1.50 0.25,0.0134587691942514,0.056340105166158005,0.0544548510009111,False,global own threshold (committed comparison),1.034620499929664,True
"width 1, free training",lag2-prim a=1.50 0.5,0.01499795472997575,0.06266161964656256,0.06068247239785335,True,tracked-branch switch (post hoc),1.0326148090297524,True
"width 1, free training (registered reference)",lag2-prim a=1.50 0.5,0.01499795472997575,0.0628575228321519,0.06068247239785335,False,global own threshold (committed comparison),1.0358431413281621,True
"width 1, free training",lag2-prim a=1.50 1.0,0.0156705637722791,0.06609514144774135,0.0634038821086416,True,tracked-branch switch (post hoc),1.0424462864038564,True
