model,set,a,arm,n,frac_within_10,frac_within_20,arm_median_ratio
"closed form (committed κχ), tracked-branch lag",4b,1.3,control,48,1.0,1.0,1.0265025683108666
"closed form (committed κχ), tracked-branch lag",4b,1.3,reset,48,1.0,1.0,1.0156902804375463
"closed form (committed κχ), tracked-branch lag",4b,1.3,teleport,48,1.0,1.0,1.0145239653497138
"closed form (committed κχ), tracked-branch lag",4b,1.3,teleport_reset,48,1.0,1.0,1.0120441154973583
"closed form (committed κχ), tracked-branch lag",4b,1.5,control,48,0.8333333333333334,1.0,1.0424462864038564
"closed form (committed κχ), tracked-branch lag",4b,1.5,reset,48,1.0,1.0,1.0236723815212039
"closed form (committed κχ), tracked-branch lag",4b,1.5,teleport,48,0.9791666666666666,1.0,1.0315244686699632
"closed form (committed κχ), tracked-branch lag",4b,1.5,teleport_reset,48,1.0,1.0,1.0183456908539152
"closed form (committed κχ), tracked-branch lag",SGD,1.3,sgd,30,0.7,0.9666666666666667,1.0683603157309092
"closed form (committed κχ), tracked-branch lag",SGD,1.5,sgd,30,0.6333333333333333,0.9666666666666667,1.0886014561195496
"closed form (committed κχ), tracked-branch lag",TaskB,1.45,adam,80,0.75,0.9875,1.038929183777359
"closed form (committed κχ), tracked-branch lag",TaskB,1.6,adam,80,0.6125,0.7875,0.9953550452342623
"closed form (committed κχ), tracked-branch lag",lag1,1.3,0.25,49,0.9387755102040817,1.0,0.9915382038791813
"closed form (committed κχ), tracked-branch lag",lag1,1.3,0.5,48,1.0,1.0,0.99839162446684
"closed form (committed κχ), tracked-branch lag",lag1,1.3,1.0,48,1.0,1.0,1.0265025683108666
"closed form (committed κχ), tracked-branch lag",lag1,1.3,2.0,44,1.0,1.0,1.02764000093538
"closed form (committed κχ), tracked-branch lag",lag1,1.5,0.25,49,0.673469387755102,0.7959183673469388,0.9201205147330525
"closed form (committed κχ), tracked-branch lag",lag1,1.5,0.5,48,0.6041666666666666,0.9583333333333334,0.9125482847435495
"closed form (committed κχ), tracked-branch lag",lag1,1.5,1.0,48,0.8333333333333334,1.0,1.0424462864038564
"closed form (committed κχ), tracked-branch lag",lag1,1.5,2.0,44,0.8181818181818182,1.0,1.0501583920153805
"closed form (committed κχ), tracked-branch lag",lag2-prim,1.3,0.25,48,1.0,1.0,1.015474275233005
"closed form (committed κχ), tracked-branch lag",lag2-prim,1.3,0.5,48,1.0,1.0,1.0177592344472466
"closed form (committed κχ), tracked-branch lag",lag2-prim,1.3,1.0,48,1.0,1.0,1.0265025683108666
"closed form (committed κχ), tracked-branch lag",lag2-prim,1.3,2.0,48,1.0,1.0,1.0204360283374285
"closed form (committed κχ), tracked-branch lag",lag2-prim,1.5,0.25,48,0.8541666666666666,1.0,0.9782519088083946
"closed form (committed κχ), tracked-branch lag",lag2-prim,1.5,0.5,48,0.8333333333333334,1.0,1.0326148090297524
"closed form (committed κχ), tracked-branch lag",lag2-prim,1.5,1.0,48,0.8333333333333334,1.0,1.0424462864038564
"closed form (committed κχ), tracked-branch lag",lag2-prim,1.5,2.0,48,0.8125,1.0,1.0274582092955638
"closed form (committed κχ), tracked-branch lag",lag2-tstar,1.3,0.25,48,0.8958333333333334,0.9583333333333334,0.9914658815732864
"closed form (committed κχ), tracked-branch lag",lag2-tstar,1.3,0.5,48,1.0,1.0,1.009957023188112
"closed form (committed κχ), tracked-branch lag",lag2-tstar,1.3,1.0,48,1.0,1.0,1.0265025683108666
"closed form (committed κχ), tracked-branch lag",lag2-tstar,1.3,2.0,48,1.0,1.0,1.018413478781829
"closed form (committed κχ), tracked-branch lag",lag2-tstar,1.5,0.25,48,0.8958333333333334,0.9583333333333334,0.9812390896007749
"closed form (committed κχ), tracked-branch lag",lag2-tstar,1.5,0.5,48,0.7291666666666666,0.9375,0.9334102405772324
"closed form (committed κχ), tracked-branch lag",lag2-tstar,1.5,1.0,48,0.8333333333333334,1.0,1.0424462864038564
"closed form (committed κχ), tracked-branch lag",lag2-tstar,1.5,2.0,48,0.8125,1.0,1.0315433670129623
"closed form (committed κχ), registered reference (global own threshold)",4b,1.3,control,48,0.75,0.75,1.0222810520271728
"closed form (committed κχ), registered reference (global own threshold)",4b,1.3,reset,48,0.75,0.75,1.009268322986985
"closed form (committed κχ), registered reference (global own threshold)",4b,1.3,teleport,48,0.75,0.75,1.00899415156448
"closed form (committed κχ), registered reference (global own threshold)",4b,1.3,teleport_reset,48,0.75,0.75,1.0034470231989234
"closed form (committed κχ), registered reference (global own threshold)",4b,1.5,control,48,0.5833333333333334,0.8125,1.0345449114769698
"closed form (committed κχ), registered reference (global own threshold)",4b,1.5,reset,48,0.75,0.7916666666666666,1.019110922029224
"closed form (committed κχ), registered reference (global own threshold)",4b,1.5,teleport,48,0.7083333333333334,0.8125,1.0258966938696725
"closed form (committed κχ), registered reference (global own threshold)",4b,1.5,teleport_reset,48,0.75,0.7916666666666666,1.0135256010061704
"closed form (committed κχ), registered reference (global own threshold)",SGD,1.3,sgd,30,0.5,0.7666666666666667,1.093760125795086
