dataset,depth,width,activation,seed,train_data_seed,eval_data_seed,n_train_per_class,n_eval_per_class,tube_radius,layer,distance_from_output,relative_layer_position,format,mantissa_bits,delta_value,convention,quantizer,precision_note,training_step,training_progress,train_accuracy,eval_accuracy,training_steps_total,learning_rate,train_accuracy_required,eval_accuracy_required,initialization_scheme,initialization_gain,paper_upper_saturation_fraction,paper_lower_saturation_fraction,paper_total_saturation_fraction,paper_per_unit_saturation_min,paper_per_unit_saturation_median,paper_per_unit_saturation_max,paper_fraction_units_over_50pct_saturation,exact_upper_saturation_fraction,exact_lower_saturation_fraction,exact_total_saturation_fraction,exact_per_unit_saturation_min,exact_per_unit_saturation_median,exact_per_unit_saturation_max,exact_fraction_units_over_50pct_saturation,per_unit_collision_mean,per_unit_collision_std,per_unit_collision_min,per_unit_collision_median,per_unit_collision_max,vector_collision_rate,collision_group_count,collision_group_pure_fraction,collision_group_size_mean,collision_group_size_std,collision_group_size_min,collision_group_size_median,collision_group_size_max,fraction_inputs_in_collision_groups,baseline_per_unit_collision_mean,baseline_per_unit_collision_std,baseline_per_unit_collision_min,baseline_per_unit_collision_median,baseline_per_unit_collision_max,baseline_vector_collision_rate,baseline_collision_group_count,baseline_collision_group_pure_fraction,baseline_collision_group_size_mean,baseline_collision_group_size_std,baseline_collision_group_size_min,baseline_collision_group_size_median,baseline_collision_group_size_max,baseline_fraction_inputs_in_collision_groups,excess_per_unit_collision_mean,excess_per_unit_collision_std,excess_per_unit_collision_min,excess_per_unit_collision_median,excess_per_unit_collision_max,excess_vector_collision_rate
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,float64,52.0,1.1102230246251565e-16,IEEE,float64,Standard IEEE unit roundoff.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999449e-05,0.00014999999999998345,0.0,0.0,0.0004999999999999449,0.0,0.0,,,,,,,0.0,4.999999999999449e-05,0.00014999999999998345,0.0,0.0,0.0004999999999999449,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,float64,52.0,5.551115123125783e-17,paper,float64,Paper's stated double value.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999449e-05,0.00014999999999998345,0.0,0.0,0.0004999999999999449,0.0,0.0,,,,,,,0.0,4.999999999999449e-05,0.00014999999999998345,0.0,0.0,0.0004999999999999449,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,float32,23.0,5.960464477539063e-08,IEEE,float32,Standard IEEE unit roundoff.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666665932e-05,0.00016996731711974077,0.0,0.0,0.0004999999999999449,0.0,0.0,,,,,,,0.0,6.666666666665932e-05,0.00016996731711974077,0.0,0.0,0.0004999999999999449,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,float16,10.0,0.00048828125,IEEE,float16,Standard IEEE unit roundoff.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2366,0.07935735630677221,0.133,0.20575,0.38549999999999995,0.0,0.0,,,,,,,0.0,0.2366,0.07935735630677221,0.133,0.20575,0.38549999999999995,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,half,,0.001953125,paper,,Paper's stated half value; no corresponding IEEE format; saturation only.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,bfloat16,7.0,0.00390625,IEEE,bfloat16,Standard bfloat16 unit roundoff.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6556,0.07550920473690607,0.5640000000000001,0.62175,0.833,0.0,0.0,,,,,,,0.0,0.6556,0.07550920473690607,0.5640000000000001,0.62175,0.833,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,fixed-8,,0.00390625,simulated,fixed-8,Uniform 8-bit quantizer.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9294333333333334,0.01768037204233993,0.899,0.9275,0.9705,0.0010000000000000009,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.002,0.9294333333333334,0.01768037204233993,0.899,0.9275,0.9705,0.0010000000000000009,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,fixed-6,,0.015625,simulated,fixed-6,Uniform 6-bit quantizer.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9819166666666668,0.0044648317126429575,0.9745,0.9815,0.992,0.0020000000000000018,4.0,1.0,2.0,0.0,2.0,2.0,2.0,0.004,0.9819166666666668,0.0044648317126429575,0.9745,0.9815,0.992,0.0020000000000000018,4.0,1.0,2.0,0.0,2.0,2.0,2.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,1,5,0.16666666666666666,fixed-4,,0.0625,simulated,fixed-4,Uniform 4-bit quantizer.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0006,0.0011166666666666666,0.0017166666666666667,0.0,0.0,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951166666666668,0.0011739061101960204,0.993,0.995,0.998,0.0675,121.0,1.0,2.115702479338843,0.3679310626372239,2.0,2.0,4.0,0.128,0.9951166666666668,0.0011739061101960204,0.993,0.995,0.998,0.0675,121.0,1.0,2.115702479338843,0.3679310626372239,2.0,2.0,4.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0
linked_tori,6,30,tanh,0,10000,20000,1000,1000,0.2,2,4,0.3333333333333333,float64,52.0,1.1102230246251565e-16,IEEE,float64,Standard IEEE unit roundoff.,0,0.0,0.5,0.5,2000,0.01,1.0,0.99,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666302e-05,0.00021343747458108756,0.0,0.0,0.0010000000000000009,0.0,0.0,,,,,,,0.0,6.666666666666302e-05,0.00021343747458108756,0.0,0.0,0.0010000000000000009,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
