sweep,configuration,activation,parameter,depth,width,seed,uniform_seed,uniform_errors,area_uniform_control_errors
width_sweep,baseline,gelu,,3,3,10,992177,0,-1
width_sweep,baseline,gelu,,3,3,17,984498,2,0
width_sweep,baseline,gelu,,5,3,0,977989,0,-1
width_sweep,baseline,gelu,,8,3,14,983291,0,-1
width_sweep,baseline,gelu,,12,3,2,982048,0,-1
threshold_sweep,baseline,sin_family,1.1,5,3,4,984243,0,-1
threshold_sweep,baseline,sin_family,1.1,5,3,19,990810,0,-1
threshold_sweep,baseline,sin_family,1.1,8,3,8,982777,0,-1
threshold_sweep,baseline,sin_family,1.25,5,3,0,982714,0,-1
threshold_sweep,baseline,sin_family,1.25,5,3,4,984243,0,-1
threshold_sweep,baseline,sin_family,1.25,5,3,19,990810,0,-1
threshold_sweep,baseline,sin_family,1.25,8,3,4,986274,0,-1
threshold_sweep,baseline,sin_family,1.25,12,3,4,979895,0,-1
threshold_sweep,baseline,sin_family,1.5,3,3,3,994768,0,-1
threshold_sweep,baseline,sin_family,1.5,3,3,5,978565,0,-1
threshold_sweep,baseline,sin_family,1.5,3,3,10,993747,0,-1
threshold_sweep,baseline,sin_family,1.5,3,3,11,990149,0,-1
threshold_sweep,baseline,sin_family,1.5,3,3,18,991265,0,-1
threshold_sweep,baseline,sin_family,1.5,5,3,4,984243,0,-1
threshold_sweep,baseline,sin_family,1.5,5,3,11,982728,0,-1
threshold_sweep,baseline,sin_family,1.5,5,3,15,977057,0,-1
threshold_sweep,baseline,sin_family,1.5,5,3,18,975916,0,-1
threshold_sweep,baseline,sin_family,1.5,5,3,19,990810,2,2
threshold_sweep,baseline,sin_family,1.5,8,3,2,985463,0,-1
threshold_sweep,baseline,sin_family,1.5,8,3,18,975810,0,-1
threshold_sweep,baseline,sin_family,1.5,12,3,2,980226,0,-1
threshold_sweep,baseline,sin_family,2,3,3,2,986694,0,-1
threshold_sweep,baseline,sin_family,2,3,3,3,994768,0,-1
threshold_sweep,baseline,sin_family,2,3,3,11,990149,0,-1
threshold_sweep,baseline,sin_family,2,3,3,15,989356,0,-1
threshold_sweep,baseline,sin_family,2,3,3,17,987536,0,-1
threshold_sweep,baseline,sin_family,2,3,3,18,991265,0,-1
threshold_sweep,baseline,sin_family,2,5,3,0,982714,0,-1
threshold_sweep,baseline,sin_family,2,5,3,8,981352,0,-1
threshold_sweep,baseline,sin_family,2,5,3,9,983838,0,-1
threshold_sweep,baseline,sin_family,2,5,3,11,982728,0,-1
threshold_sweep,baseline,sin_family,2,5,3,15,977057,0,-1
threshold_sweep,baseline,sin_family,2,5,3,19,990810,0,-1
threshold_sweep,baseline,sin_family,2,8,3,2,985463,0,-1
threshold_sweep,baseline,sin_family,2,8,3,4,986274,1,0
threshold_sweep,baseline,sin_family,2,8,3,7,993192,0,-1
threshold_sweep,baseline,sin_family,2,8,3,8,982777,0,-1
threshold_sweep,baseline,sin_family,2,8,3,15,985519,0,-1
threshold_sweep,baseline,sin_family,2,8,3,19,982676,0,-1
threshold_sweep,baseline,sin_family,2,12,3,8,980844,0,-1
