{'sweep': 'width_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 3, 'width': 3, 'seed': 10, 'uniform_seed': 992177, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'width_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 3, 'width': 3, 'seed': 17, 'uniform_seed': 984498, 'uniform_errors': 2, 'area_uniform_control_errors': 0}
{'sweep': 'width_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 5, 'width': 3, 'seed': 0, 'uniform_seed': 977989, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'width_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 8, 'width': 3, 'seed': 14, 'uniform_seed': 983291, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'width_sweep', 'configuration': 'baseline', 'activation': 'gelu', 'parameter': '', 'depth': 12, 'width': 3, 'seed': 2, 'uniform_seed': 982048, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '1.1', 'depth': 5, 'width': 3, 'seed': 4, 'uniform_seed': 984243, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '1.1', 'depth': 5, 'width': 3, 'seed': 19, 'uniform_seed': 990810, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '1.1', 'depth': 8, 'width': 3, 'seed': 8, 'uniform_seed': 982777, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '1.25', 'depth': 5, 'width': 3, 'seed': 0, 'uniform_seed': 982714, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '1.25', 'depth': 5, 'width': 3, 'seed': 4, 'uniform_seed': 984243, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '1.25', 'depth': 5, 'width': 3, 'seed': 19, 'uniform_seed': 990810, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
{'sweep': 'threshold_sweep', 'configuration': 'baseline', 'activation': 'sin_family', 'parameter': '1.25', 'depth': 8, 'width': 3, 'seed': 4, 'uniform_seed': 986274, 'uniform_errors': 0, 'area_uniform_control_errors': -1}
