a,budget,seed,final_solved,cross_step,w2_abs,R_cert
1.3,2000,2,False,1860,5.038900452698551,0.21692918407444947
1.3,2000,7,False,1890,5.190144373236034,0.2234403705101423
1.3,2000,12,False,1954,4.910283248449368,0.21139209806974982
1.3,2000,38,False,1982,5.947082750742639,0.25602724658926945
1.3,4000,1,True,2623,5.269599695445666,0.22686099339783541
1.3,4000,2,True,1860,5.038900452698551,0.21692918407444947
1.3,4000,3,False,3219,5.9376904128092445,0.25562289801688365
1.3,4000,5,True,2444,5.426866379393371,0.233631465200389
1.3,4000,7,True,1890,5.190144373236034,0.2234403705101423
1.3,4000,9,True,2828,5.935939269400689,0.2555475097224767
1.3,4000,10,True,2111,5.391209948263309,0.23209642385860005
1.3,4000,11,False,3890,5.543373125216351,0.2386471851074995
1.3,4000,12,True,1954,4.910283248449368,0.21139209806974982
1.3,4000,15,True,2833,5.1431885257763525,0.2214188791604773
1.3,4000,16,False,3670,5.167824538736009,0.22247948161538864
1.3,4000,18,False,2603,5.43660796406678,0.23405084915818536
1.3,4000,19,True,2161,5.056840949860075,0.21770153856878272
1.3,4000,20,False,3359,5.740516491301325,0.2471343838430095
1.3,4000,22,False,3525,5.1266525551794535,0.2207069907945257
1.3,4000,23,True,2758,5.623834981179644,0.24211114017608698
1.3,4000,24,True,2789,5.7388713561382,0.2470635592986513
1.3,4000,26,False,3249,5.64693904594661,0.24310579088723908
1.3,4000,27,False,3184,5.3106522839015815,0.22862834415252567
1.3,4000,28,False,3150,5.890700372480379,0.25359993463353137
1.3,4000,30,True,2769,5.651702180476316,0.24331084810098352
1.3,4000,31,True,2089,5.547553671199355,0.2388271613617621
1.3,4000,32,False,3004,5.7927849740664525,0.24938458890768314
1.3,4000,33,True,2519,5.54792393307365,0.23884310146755278
1.3,4000,34,True,2510,4.79996216133562,0.20664267631822958
1.3,4000,35,False,3654,5.425449224985528,0.23357045543203045
1.3,4000,36,True,2430,6.218949268094949,0.2677313440089386
1.3,4000,37,False,3639,5.01962446693574,0.21609933559797923
1.3,4000,38,True,1982,5.947082750742639,0.25602724658926945
1.3,4000,39,True,2141,5.44235215185237,0.23429814159454046
1.3,8000,0,True,4016,4.918012170196644,0.21172483508334053
1.3,8000,1,True,2623,5.269599695445666,0.22686099339783541
1.3,8000,2,True,1860,5.038900452698551,0.21692918407444947
1.3,8000,3,True,3219,5.9376904128092445,0.25562289801688365
1.3,8000,5,True,2444,5.426866379393371,0.233631465200389
1.3,8000,6,True,4375,4.860305231006296,0.20924049959159807
1.3,8000,7,True,1890,5.190144373236034,0.2234403705101423
1.3,8000,9,True,2828,5.935939269400689,0.2555475097224767
1.3,8000,10,True,2111,5.391209948263309,0.23209642385860005
1.3,8000,11,True,3890,5.543373125216351,0.2386471851074995
1.3,8000,12,True,1954,4.910283248449368,0.21139209806974982
1.3,8000,13,True,4327,5.791345784248592,0.24932263049515893
1.3,8000,14,True,4628,4.928170234350483,0.21216214885632606
1.3,8000,15,True,2833,5.1431885257763525,0.2214188791604773
1.3,8000,16,True,3670,5.167824538736009,0.22247948161538864
1.3,8000,18,True,2603,5.43660796406678,0.23405084915818536
1.3,8000,19,True,2161,5.056840949860075,0.21770153856878272
1.3,8000,20,True,3359,5.740516491301325,0.2471343838430095
1.3,8000,22,True,3525,5.1266525551794535,0.2207069907945257
1.3,8000,23,True,2758,5.623834981179644,0.24211114017608698
1.3,8000,24,True,2789,5.7388713561382,0.2470635592986513
1.3,8000,25,True,4303,5.9490051288757035,0.25611000669215356
1.3,8000,26,True,3249,5.64693904594661,0.24310579088723908
1.3,8000,27,True,3184,5.3106522839015815,0.22862834415252567
1.3,8000,28,True,3150,5.890700372480379,0.25359993463353137
1.3,8000,29,True,6839,5.311316159787619,0.2286569246048757
1.3,8000,30,True,2769,5.651702180476316,0.24331084810098352
1.3,8000,31,True,2089,5.547553671199355,0.2388271613617621
1.3,8000,32,True,3004,5.7927849740664525,0.24938458890768314
1.3,8000,33,True,2519,5.54792393307365,0.23884310146755278
1.3,8000,34,True,2510,4.79996216133562,0.20664267631822958
1.3,8000,35,True,3654,5.425449224985528,0.23357045543203045
1.3,8000,36,True,2430,6.218949268094949,0.2677313440089386
1.3,8000,37,True,3639,5.01962446693574,0.21609933559797923
1.3,8000,38,True,1982,5.947082750742639,0.25602724658926945
1.3,8000,39,True,2141,5.44235215185237,0.23429814159454046
1.3,16000,0,True,4016,4.918012170196644,0.21172483508334053
1.3,16000,1,True,2623,5.269599695445666,0.22686099339783541
1.3,16000,2,True,1860,5.038900452698551,0.21692918407444947
1.3,16000,3,True,3219,5.9376904128092445,0.25562289801688365
1.3,16000,5,True,2444,5.426866379393371,0.233631465200389
1.3,16000,6,True,4375,4.860305231006296,0.20924049959159807
1.3,16000,7,True,1890,5.190144373236034,0.2234403705101423
1.3,16000,9,True,2828,5.935939269400689,0.2555475097224767
1.3,16000,10,True,2111,5.391209948263309,0.23209642385860005
1.3,16000,11,True,3890,5.543373125216351,0.2386471851074995
1.3,16000,12,True,1954,4.910283248449368,0.21139209806974982
1.3,16000,13,True,4327,5.791345784248592,0.24932263049515893
1.3,16000,14,True,4628,4.928170234350483,0.21216214885632606
1.3,16000,15,True,2833,5.1431885257763525,0.2214188791604773
1.3,16000,16,True,3670,5.167824538736009,0.22247948161538864
1.3,16000,18,True,2603,5.43660796406678,0.23405084915818536
1.3,16000,19,True,2161,5.056840949860075,0.21770153856878272
1.3,16000,20,True,3359,5.740516491301325,0.2471343838430095
1.3,16000,21,True,8483,5.586310171001452,0.24049566344045428
1.3,16000,22,True,3525,5.1266525551794535,0.2207069907945257
1.3,16000,23,True,2758,5.623834981179644,0.24211114017608698
1.3,16000,24,True,2789,5.7388713561382,0.2470635592986513
1.3,16000,25,True,4303,5.9490051288757035,0.25611000669215356
1.3,16000,26,True,3249,5.64693904594661,0.24310579088723908
1.3,16000,27,True,3184,5.3106522839015815,0.22862834415252567
1.3,16000,28,True,3150,5.890700372480379,0.25359993463353137
1.3,16000,29,True,6839,5.311316159787619,0.2286569246048757
1.3,16000,30,True,2769,5.651702180476316,0.24331084810098352
1.3,16000,31,True,2089,5.547553671199355,0.2388271613617621
1.3,16000,32,True,3004,5.7927849740664525,0.24938458890768314
1.3,16000,33,True,2519,5.54792393307365,0.23884310146755278
1.3,16000,34,True,2510,4.79996216133562,0.20664267631822958
1.3,16000,35,True,3654,5.425449224985528,0.23357045543203045
1.3,16000,36,True,2430,6.218949268094949,0.2677313440089386
1.3,16000,37,True,3639,5.01962446693574,0.21609933559797923
1.3,16000,38,True,1982,5.947082750742639,0.25602724658926945
