a,budget,size,min,median,max
1.3,2000,4,1860,1922.0,1982
1.3,4000,30,1860,2763.5,3890
1.3,8000,36,1860,2830.5,6839
1.3,16000,37,1860,2833.0,8483
1.3,32000,38,1860,2918.5,27778
1.35,2000,10,1466,1654.5,1959
1.35,4000,33,1466,2367.0,3820
1.35,8000,36,1466,2380.5,6543
1.35,16000,37,1466,2387.0,8201
1.35,32000,38,1466,2403.5,27616
1.4,2000,17,1193,1610.0,1995
1.4,4000,34,1193,2041.5,3726
1.4,8000,36,1193,2089.5,6372
1.4,16000,37,1193,2091.0,8040
1.4,32000,38,1193,2103.5,27545
1.45,2000,24,995,1436.0,1948
1.45,4000,34,995,1741.0,3721
1.45,8000,37,995,1807.0,7949
1.45,16000,37,995,1807.0,7949
1.45,32000,38,995,1815.0,27507
1.5,2000,26,839,1258.5,1862
1.5,4000,34,839,1486.0,3861
1.5,8000,37,839,1547.0,7904
1.5,16000,37,839,1547.0,7904
1.5,32000,38,839,1566.0,27652
1.6,2000,26,612,976.0,1652
1.6,4000,33,612,1166.0,2773
1.6,8000,37,612,1228.0,7883
1.6,16000,37,612,1228.0,7883
1.6,32000,38,612,1242.5,27650
