act,R2,s,n,conditional_local_min,n_placed_min_found,gap_to_placed_median,gap_to_placed_rel_median,n_lowest_found_is_placed,n_stuck_is_lowest_found
f1.30,0.003,0.005055301256734821,46,46,2,1.963629960299862e-05,2.8434621475733427e-05,2,20
f1.30,0.01,0.01685100418911607,44,44,8,-0.0017618593086491385,-0.0025702428673622167,2,15
f1.30,0.03,0.050553012567348204,34,34,21,-0.0049148284316710145,-0.007329444046340263,5,12
f1.30,0.1,0.1685100418911607,1,1,1,-0.015197829260490736,-0.024322332497895206,0,0
f1.50,0.003,0.004381272344474136,55,55,2,1.1162057161895333e-05,1.6161126534797705e-05,1,26
f1.50,0.01,0.01460424114824712,45,45,5,-0.002999367523635499,-0.004371706511359299,0,22
f1.50,0.03,0.04381272344474136,36,36,15,0.0005741142995470128,0.0008604302366346022,8,13
f1.50,0.1,0.1460424114824712,4,4,4,-0.01635850860169169,-0.02623927408852999,0,0
tanh,0.003,0.006,1,0,0,,,0,0
tanh,0.01,0.02,3,0,1,2.5000555876508734e-05,3.632958539223786e-05,0,1
tanh,0.03,0.06,4,0,2,0.0002249166365896893,0.0003316084450175151,2,1
tanh,0.1,0.2,8,0,8,0.00045147887400798226,0.0007015111820716472,5,0
