predictor,arm,n,median_abs_log_err,spearman
P1,T2-3,79,1.212358132290477,
P1,T2-3b,71,2.3575268001068337,
P1,T2-3c,80,2.399333475121866,
P1,pooled,230,2.048308504701531,
P2,T2-3,10,1.4122625658687047,-0.7439162686493072
P2,T2-3b,10,2.2881120441245586,0.601826488243264
P2,T2-3c,10,2.4192958272488077,0.2735574946560291
P2,pooled,30,2.1614575965801492,0.23940305968786096
P3,T2-3,10,0.9622783112814051,-0.5385034375355536
P3,T2-3b,10,0.015255708839860164,0.4506945701674536
P3,T2-3c,10,0.01078026936115733,0.5124335523821733
P3,pooled,30,0.80024779655106,0.22912047869140417
P4,T2-3,79,1.2653983753844702,
P4,T2-3b,71,0.11002556641461067,
P4,T2-3c,80,0.14981850467632948,
P4,pooled,230,1.0817640455951432,
P5,T2-3,77,1.1705475914750907,0.2959934802040065
P5,T2-3b,49,0.009618620948080001,0.9908163265306121
P5,T2-3c,61,0.006175021384671873,0.9859862506610257
P5,pooled,187,0.07066317410746724,0.9324724086926841
