predictor,arm,n,median_abs_log_err,spearman
P1,T2-3,10,1.4662294039857526,
P1,T2-3b,10,2.3719278165747437,
P1,T2-3c,10,2.398599183902472,
P1,pooled,30,2.3065650617781097,
P2,T2-3,10,1.4122625658687047,-0.7439162686493072
P2,T2-3b,10,2.2881120441245586,0.601826488243264
P2,T2-3c,10,2.4192958272488077,0.2735574946560291
P2,pooled,30,2.1614575965801492,0.23940305968786096
P3,T2-3,10,0.9622783112814051,-0.5385034375355536
P3,T2-3b,10,0.015255708839860164,0.4506945701674536
P3,T2-3c,10,0.01078026936115733,0.5124335523821733
P3,pooled,30,0.80024779655106,0.22912047869140417
P4,T2-3,10,0.9712727843009128,
P4,T2-3b,10,0.08175953548746816,
P4,T2-3c,10,0.12669901343473358,
P4,pooled,30,0.773264377492536,
P5,T2-3,10,1.344898848262515,0.6
P5,T2-3b,9,0.014819570723103612,0.9833333333333333
P5,T2-3c,8,0.00533012373268061,0.9761904761904763
P5,pooled,27,0.051199180765506586,0.9694749694749695
