kind,arm,seed,value,note
P5,T2-3b,600160,,not placed at 4x s_cross
P5,T2-3b,600161,0.21270791285822346,ok
P5,T2-3b,600162,5.209735654075702,ok
P5,T2-3b,600163,0.22993745090785092,ok
P5,T2-3b,600164,5.366233548228777,ok
P5,T2-3b,600165,0.3511124133779435,ok
P5,T2-3b,600166,4.642154210886747,ok
P5,T2-3b,600167,5.30044941409425,ok
P5,T2-3b,600168,4.771483054268738,ok
P5,T2-3b,600169,5.12781917756354,ok
P5,T2-3b,600170,,not placed at 4x s_cross
P5,T2-3b,600171,4.759576079659543,ok
P5,T2-3b,600172,,not placed at 4x s_cross
P5,T2-3b,600173,4.81430393110104,ok
P5,T2-3b,600174,,not placed at 4x s_cross
P5,T2-3b,600175,5.3373796718246735,ok
P5,T2-3b,600177,4.382701073743799,ok
P5,T2-3b,600178,4.601423682528658,ok
P5,T2-3b,600180,4.847212781774123,ok
P5,T2-3b,600182,,not placed at 4x s_cross
P5,T2-3b,600183,0.11723634383990529,ok
P5,T2-3b,600184,5.006801285763989,ok
P5,T2-3b,600185,5.133733348495686,ok
P5,T2-3b,600186,,not placed at 4x s_cross
P5,T2-3b,600187,5.163829904850328,ok
P5,T2-3b,600188,,not placed at 4x s_cross
P5,T2-3b,600189,4.869067848084018,ok
P5,T2-3b,600191,5.279945463863498,ok
P5,T2-3b,600194,,not placed at 4x s_cross
P5,T2-3b,600195,4.766382827311859,ok
P5,T2-3b,600196,5.163618936740299,ok
P5,T2-3b,600197,,not placed at 4x s_cross
P5,T2-3b,600198,0.33000417684746264,ok
P5,T2-3b,600199,5.219807420417666,ok
P5,T2-3b,600200,,not placed at 4x s_cross
P5,T2-3b,600201,,not placed at 4x s_cross
P5,T2-3b,600202,,not placed at 4x s_cross
P5,T2-3b,600203,5.080382141317433,ok
P5,T2-3b,600205,,not placed at 4x s_cross
P5,T2-3b,600206,5.525964122407079,ok
P5,T2-3b,600207,5.347804221933481,ok
P5,T2-3b,600208,4.893777322306555,ok
P5,T2-3b,600209,5.486934472598947,ok
P5,T2-3b,600210,,not placed at 4x s_cross
P5,T2-3b,600211,4.581069556473436,ok
P5,T2-3b,600212,4.962258187510475,ok
P5,T2-3b,600213,4.790335899286384,ok
P5,T2-3b,600214,,not placed at 4x s_cross
P5,T2-3b,600215,0.3196416189857862,ok
P5,T2-3b,600216,0.3320625447555559,ok
P5,T2-3b,600217,5.177491423015125,ok
P5,T2-3b,600218,,not placed at 4x s_cross
P5,T2-3b,600219,0.06704370614376082,ok
P5,T2-3b,600220,5.085484521137229,ok
P5,T2-3b,600221,,not placed at 4x s_cross
P5,T2-3b,600222,5.193867314471461,ok
P5,T2-3b,600223,5.208634881390934,ok
P5,T2-3b,600224,,not placed at 4x s_cross
P5,T2-3b,600226,4.749408110829056,ok
P5,T2-3b,600227,,not placed at 4x s_cross
