arm,seed,phi2,step,s_cross,s_replay,reproduced,s_init,s_min_pre,sdot,min_share,dir_drift_rel,status,dist_c,branch_grad_c,branch_pd_c,g_branch_c,n_cont_steps,lambda_min_c,relax_times_c,chi_c,t_star,s_star,grad_star,pd_star,kappa2,kappa2_sgd,lambda_min,gdot,gdot_dir_part,gradG_asym,chi,r_obs,r_pred,z_star,ray_status,ray_s_star,ray_kappa2,ray_chi,ray_r_obs,ray_r_pred,p
T2-3b,600160,0.00930572040929699,61,0.04156922558428673,0.04156922558428673,True,0.04776693975142347,0.04129428718989218,-0.00010019332952027892,0.30145694813551344,0.6749572728611946,branch_lost,1.4829947458820414,9.711766739656062e-11,True,-0.6423937737915522,34,2.467895733864871,1.5054163976575714,-0.0976652503729092,,,,,,,,,,,,,,,no_switch_in_range,,,,,,"[164.35382687366348, 1952.383710673405, 848.386535029338, 406.07393693859393, 43.23750672149728]"
T2-3b,600161,0.00930572040929699,500,0.11229965140305391,0.11229965140305391,True,0.042200571089619984,0.042200571088201536,0.00016902149168007184,0.3923952919259743,0.050625853743842736,ok,1.0993438247895275,4.1011844528066055e-15,True,0.48927970335548543,33,11.87991617301283,59.39958086506415,0.012669227823138753,110.59620212280674,0.058832851602871085,7.722988915048745e-15,True,0.0016922949287868836,-0.00852364255982173,6.917542630958194,0.003042087687995467,0.003094928268348805,3.501516520286914e-07,0.041530789486145546,0.9087915738147496,7.028234443591973e-05,"[1.6847399035517046, -1.7248490735091444, -1.6175176513534055, -1.4261403800530572, 0.08830204492625722]",no_switch_in_range,,,,,,"[875.8914572391392, 574.4012649418048, 1019.7620335939231, 641.3111276463094, 61.02030941669131]"
T2-3b,600162,0.00930572040929699,30148,5.15325356884431,5.15325356884431,True,0.050705331217035146,0.050705331217035146,0.00018264141268726776,0.49846420235376776,0.003071595394902786,ok,0.0013138498366211948,2.5239164057333507e-13,True,-0.0006623154892033689,1,623.4551245238279,187959.25094144364,5.68476538844346e-06,30264.71403443214,5.174570384973427,2.952599753233698e-12,True,3.198436035746056,7.643983173274576,625.0624584067958,5.649093007463495e-06,-2.3973773968518908e-17,4.745282415956292e-06,5.646788782458202e-06,-0.004119533515481666,1.806089272806091e-05,"[0.8304441807843469, -2.4504881447728235, 0.8304441807843468, -2.4504881447728235, 15.555257950731626]",ok,5.174570385124592,3.1984357896546824,5.646789217018417e-06,-0.004119533544574394,1.8060892728347846e-05,"[2987.974154075092, 4688.399794925501, 2969.630427174064, 4659.553885233785, 11287.394143947362]"
T2-3b,600163,0.00930572040929699,404,0.12041821352294196,0.12041821352294196,True,0.058250565951584565,0.05825056595100543,0.00020421678346685583,0.38767203928963156,0.2022099992468047,ok,0.6643930501785535,2.3960868011929648e-17,True,0.06883195585687574,2,3.7144481995852052,15.00637072632423,0.04565674492163715,397.8038825901915,0.11801118336965258,2.5224614064178752e-14,True,0.09245661585816685,0.010701183173258327,3.6376386220575707,0.0019434701966670003,0.0019425220939641294,5.908995720241174e-06,0.04757170465351426,0.020396627544609247,0.0043983188228681365,"[-1.785554072853292, 1.6261442162222144, -1.6295675785248505, -1.532925388464787, 0.18186390323661358]",ok,0.024437445818774453,0.4379850596102752,0.95516335061604,3.9276104555259526,0.41834727705711644,"[823.644562148232, 183.70944755314858, 468.1303315802548, 292.0230518810311, 19.181690783616713]"
T2-3b,600164,0.00930572040929699,30758,5.257174772784545,5.257174772784545,True,0.05434236111425367,0.05434236111425367,0.0001827531595296783,0.49935264589649236,0.0012947082787245468,ok,0.0024643488876012754,1.0148132334464322e-15,True,-0.0030379521794436926,1,574.9446374743577,176841.47159436293,6.046254882963918e-06,31289.635213696052,5.354332787804736,2.041222468829318e-10,True,3.8870187916162426,7.541599952861234,581.6274412995936,5.602676711891485e-06,0.0,4.644628274265932e-06,5.868331583292701e-06,-0.018145681053199136,2.2810315139693827e-05,"[-0.8411460635804981, 2.4537859596714098, 0.841146063580513, -2.453785959671384, 16.03434822919798]",ok,5.354332787162748,3.8870185702344267,5.8683319139679565e-06,-0.018145680935474084,2.2810315125892784e-05,"[3078.839879542014, 4306.773760359978, 3070.6188035962723, 4295.231560955182, 9042.011896307671]"
T2-3b,600165,0.00930572040929699,1758,0.2910072220902984,0.2910072220902984,True,0.06805845374866415,0.06805845374609791,0.00046677227516895653,0.34117280333013555,0.9293444628812565,ok,0.0029050756075337802,4.996442647640931e-11,True,0.002452770175177754,1,12.335339097434254,216.8552613328942,0.013003198503576539,1757.1204857929538,0.290697439344177,2.6012178522272222e-15,True,0.012388667968220895,-0.05161914382717638,12.332650485735877,0.00427272142160631,0.004857576295898043,7.45340162002134e-07,0.013019893224864316,0.001065653508404596,0.0001612991341445328,"[1.6511864959076954, -1.6729419863512347, -1.611596205077971, -1.4707520459041896, 0.41185114663143874]",ok,0.2872160244186782,0.885061059178727,0.013170268282747342,0.01319981250800173,0.011656491595996356,"[924.4552494148102, 638.994971101672, 473.5316563195793, 421.48183248731505, 69.66255397323114]"
T2-3b,600166,0.00930572040929699,27526,4.613651768141374,4.613651768141374,True,0.045198191664123956,0.045198191664123956,0.0001823101646049885,0.4964932467446815,0.007013507038447695,ok,0.0022859917491562243,6.990133298578893e-14,True,-0.002452820627265151,1,561.9519372016969,154682.89023413908,7.031806299454143e-06,27788.54149957531,4.661515752144588,2.4716357432952307e-12,True,3.641745526585353,6.980642260853375,565.5831249813527,9.23813651197775e-06,0.0,5.906062688497998e-06,6.914921972204609e-06,-0.010267901375468735,2.51823861589629e-05,"[-0.8499010392726045, 2.4638467529411203, 0.8499010392726045, -2.4638467529411203, 13.802614450515447]",ok,4.66151575210397,3.641742074800077,6.914928526394404e-06,-0.010267901366844634,2.5182386158805796e-05,"[3136.979133523051, 4560.007644207732, 3091.6185068889945, 4493.871703588683, 9035.500113763519]"
T2-3b,600167,0.00930572040929699,31327,5.265410377284756,5.265410377284756,True,0.03670605912671561,0.03670605912671561,0.00018265479132165474,0.497441346570076,0.00511730722087236,ok,0.002098602751887668,1.0135121908394495e-15,True,-0.0015876328175163934,1,552.4050966667515,173051.94463279325,6.279732828176649e-06,31601.261011579823,5.315505465122536,3.40469839821278e-14,True,4.194401485336087,7.935101879527407,555.596303706493,5.728817578220887e-06,0.0,4.860785794280429e-06,6.184821245822793e-06,-0.009424331922237128,2.594162342001731e-05,"[0.8194972639851983, -2.4472622320392396, 0.8194972639851983, -2.4472622320392396, 15.848586076999021]",ok,5.315505465261784,4.194399528159787,6.184824131918571e-06,-0.009424331948186815,2.5941623420670516e-05,"[2900.438312688678, 4223.887505380885, 2869.937780318979, 4179.2832595718855, 8996.880370115397]"
T2-3b,600168,0.00930572040929699,28089,4.7753175677747866,4.7753175677747866,True,0.049465261486536655,0.04056542554600815,0.00018253637111310006,0.49770602556716775,0.004587949297719781,ok,0.00020444822000698082,7.980595351231301e-15,True,-0.00011182944798271421,1,600.2676180786336,168609.1712421074,6.367988030818779e-06,28106.305274726103,4.778476409824404,3.1923682447532187e-14,True,4.12027084039073,7.7629993036466605,600.5214307748706,6.45753836942607e-06,-3.888943317488429e-17,4.603444645925199e-06,6.361088756589207e-06,-0.0006610563239619616,2.6209408516911836e-05,"[0.8443655755266027, -2.4548067410756147, -0.8443655755266026, 2.454806741075615, 14.280638818148896]",ok,4.778476409750281,4.120270731876996,6.361088923988533e-06,-0.0006610563084603616,2.6209408516376884e-05,"[3110.6153671068682, 4388.634317196968, 3081.0328424734835, 4346.76269842035, 8550.38660770215]"
T2-3b,600169,0.00930572040929699,30137,5.052387412316213,5.052387412316213,True,0.021302532747123053,0.021302532747123053,0.0001825664141664518,0.4973979775536398,0.005204045204150902,ok,0.0022554709881106305,1.0555792351318871e-15,True,-0.0026835203067330227,1,488.7408152112939,147291.81948022766,7.3934243280278136e-06,30550.628459674284,5.127902076996142,4.2500725161431774e-16,True,3.743638913711815,7.3215722936168355,493.22724004127247,6.383943232041663e-06,0.0,4.613519531183041e-06,7.218286380926849e-06,-0.014726229858929796,2.7022657785953778e-05,"[0.8443645634034365, -2.4548064180535185, 0.8443645634034366, -2.4548064180535185, 15.251576160115736]",ok,5.127902076805643,3.743636100357507,7.2182918056911685e-06,-0.014726229822327519,2.7022657786700234e-05,"[2658.671143863197, 3727.9231582710395, 2687.3870157978017, 3768.3124239828817, 8227.72740799504]"
