arm,seed,phi2,step,s_cross,s_replay,reproduced,s_init,s_min_pre,sdot,min_share,dir_drift_rel,status,dist_c,branch_grad_c,branch_pd_c,g_branch_c,n_cont_steps,lambda_min_c,relax_times_c,chi_c,t_star,s_star,grad_star,pd_star,kappa2,kappa2_sgd,lambda_min,gdot,gdot_dir_part,gradG_asym,chi,r_obs,r_pred,z_star,ray_status,ray_s_star,ray_kappa2,ray_chi,ray_r_obs,ray_r_pred,p
T2-3c,600320,0.01778279410038923,187,0.0992003068121649,0.0992003068121649,True,0.03720545983502181,0.03720545968860868,0.00046833149538160634,0.48783860661880457,0.05344872731638883,placed_back_to_init,1.6750849632599891,5.627930847046381e-15,True,0.7744136944203901,65,7.65944892390932,14.323169487710429,0.0616371891512238,,,,,,,,,,,,,,,no_switch_in_range,,,,,,"[277.5766862136897, 546.0915058675996, 486.9240250751778, 392.97055017733516, 39.14636882724697]"
T2-3c,600321,0.01778279410038923,18076,5.35794686815714,5.35794686815714,True,0.05639866756136788,0.056398667481687204,0.000342879590510945,0.49899978096232556,0.0020003971374708837,ok,0.00011901691260085556,1.0232613367744392e-13,True,2.1080737627521273e-05,1,456.81223456651304,82573.37952024289,1.400894742900845e-05,18074.572247978933,5.357457263109892,3.982014371017861e-14,True,4.137851102080054,7.899262643671724,456.78696526567774,1.4764709988171612e-05,0.0,5.792610033905105e-06,1.4011002713863012e-05,9.138757869697756e-05,5.797544302080469e-05,"[-0.8490263684823055, 2.4612234698316566, -0.8490263684823055, 2.461223469831656, 15.843540223189898]",ok,5.3574572630197554,4.137851104776691,1.4011002704787473e-05,9.138759552307363e-05,5.797544302103405e-05,"[2691.2767722069043, 3656.437510593491, 2679.8773188753207, 3640.8807788640293, 8419.026018355906]"
T2-3c,600322,0.01778279410038923,14791,4.327998937368616,4.327998937368616,True,0.03703582196539827,0.028552819479784164,0.00034147406121058486,0.49328365574123495,0.013412340486467915,ok,8.754870273897097e-05,1.0928757898653885e-16,True,7.982284258467587e-06,1,682.2161412237756,100906.58944840865,1.1565078465348744e-05,14790.424239021704,4.327802294222061,3.198396408832238e-14,True,3.392648095977463,6.493923622018697,682.1953929489499,1.386206329646056e-05,-4.699859033518675e-16,4.635382658665309e-06,1.156595570594972e-05,4.54371833984446e-05,3.923921760394999e-05,"[0.8418375221596872, -2.4540040608759335, 0.8418375221596871, -2.4540040608759335, 12.838837111241196]",ok,4.327802294285837,3.3926481457576525,1.1565955536282864e-05,4.5437168661344174e-05,3.9239217604085516e-05,"[3745.280733869056, 5810.789458796928, 3854.836840693941, 5983.793044314318, 9920.200284820776]"
T2-3c,600323,0.01778279410038923,33,0.02767932040132521,0.02767932040132521,True,0.02693733726264652,0.02693733725875531,2.3186973205309327e-05,0.31497704521427783,15.116145468638749,ok,4.124043219298797,4.618572505780266e-14,True,0.6244002305881057,8,1.2274864206865712,0.4050705188265685,0.06824517329884189,21.221263433230202,0.02714235723000917,3.638612306421096e-14,True,-0.01056671658416772,-0.0033897590705752874,0.9219517131715048,0.09494691665208546,0.09658489976855134,2.2018179580759856e-06,0.09265915223300299,0.0197832180442441,-0.0009791030005753942,"[3.545894571019234, -2.029746144729209, -1.7807782109430657, 1.6462668973911203, 0.012959530090034484]",no_switch_in_range,,,,,,"[482.1947899183386, 932.5579625002312, 143.02485454676432, 222.9733823824925, 10.186865529489825]"
T2-3c,600324,0.01778279410038923,58,0.04057414574138067,0.04057414574138067,True,0.018749167021440173,0.018749167021440173,0.00038289435831497366,0.4905124262771639,0.01536707270312816,jump,23.293440645057316,9.225205235136036e-16,True,-31.196516325369338,17,0.2751110353700821,0.1595644005146476,3.430216812247616,,,,,,,,,,,,,,,jump,,,,,,"[141.40123046657536, 541.5864486860304, 482.3141559863686, 219.7577749328537, 18.516387299312928]"
T2-3c,600325,0.01778279410038923,16774,4.916388165385319,4.916388165385319,True,0.013008467654734665,0.013008467654734665,0.0003422927930799169,0.49879433395925005,0.002411108984624754,ok,0.002357885136690996,8.903468240450962e-16,True,-0.002218815317389655,1,547.0253975854472,91758.04019098292,1.2727529144682354e-05,16965.694051408005,4.982003657658568,3.574180881815714e-14,True,4.234704749851307,7.791282115777292,551.5305685917189,1.1407220802543104e-05,-3.6298853041691484e-17,4.826454018013762e-06,1.2457305782487745e-05,-0.013170502629475611,5.2753011967451005e-05,"[-0.8224488555539508, 2.448117654791174, -0.8224488555539508, 2.448117654791174, 14.879874671138888]",ok,4.982003657562304,4.234704165955558,1.2457307500005806e-05,-0.013170502610407642,5.275301196686401e-05,"[2722.2517022287648, 4016.00818812558, 2736.2405468441484, 4036.8231424963874, 7934.781650758]"
T2-3c,600326,0.01778279410038923,16790,5.08829140632833,5.08829140632833,True,0.050538146618048604,0.03093653927756114,0.0003429761768456885,0.4989077758260443,0.0021845644890352606,ok,0.00010178508346392334,8.500145032286355e-17,True,1.1697921955988733e-05,1,534.3263377952826,89713.39211582796,1.2614946057931484e-05,16788.969021692377,5.087937765806963,3.370567713822936e-15,True,3.9923743364263236,7.5865958892752685,534.3027015013345,1.1346051234393238e-05,-3.2700729748939216e-17,4.662861747750925e-06,1.2616380962514731e-05,6.950566961405613e-05,5.0369315573321454e-05,"[-0.8376564233904139, 2.4526946374724505, -0.837656423390414, 2.4526946374724505, 15.176031203365344]",ok,5.0879377670908426,3.9923743400821903,1.2616380949662414e-05,6.950541725858628e-05,5.0369315568134e-05,"[2848.443653253855, 4016.678680500317, 2835.2091564295324, 3997.902072525622, 8210.815710482952]"
T2-3c,600327,0.01778279410038923,653,0.26243797251370005,0.26243797251370005,True,0.05168378741890855,0.044875977902224945,0.0006587186592152505,0.3546458650912947,0.7350306552777132,ok,0.06034420081143166,3.454268121538817e-16,True,0.05866941097918299,2,8.265563643949209,53.97413059498834,0.03036692504600447,646.0028081315081,0.2564591680039655,5.6472404877383475e-14,True,0.009307489407184708,-0.04215782462980027,8.264487551720093,0.005864382192009722,0.006519035809478257,7.262610206803671e-07,0.031078912003318138,0.023312890532507957,0.00028926664425770924,"[1.680374243753705, 1.490121967463156, -1.683257033527389, 1.6514368224943607, 0.3703787285385875]",ok,0.16887263621249207,0.9816809355360048,0.048783072934286076,0.5540585994256342,0.04788941267645111,"[280.84270102396766, 363.3276103438339, 384.23566805697203, 228.57540875823912, 45.04534898926064]"
T2-3c,600328,0.01778279410038923,15830,4.838219843872247,4.838219843872247,True,0.04515471762558738,0.04514822072839903,0.0003426493798329755,0.497729063894426,0.004542124285854556,ok,0.0001549368709135024,5.290906601729262e-16,True,-7.752873401711824e-05,1,639.3007774970297,101201.3130777798,1.1077942819187087e-05,15836.747495223375,4.840531868925963,5.731064060821023e-12,True,3.3835513907445005,7.432439947608921,639.5008049553953,1.148412652367383e-05,7.135897776973584e-17,4.815149700400975e-06,1.1069188185574862e-05,-0.00047763863895977643,3.745316707971442e-05,"[-0.82444562110585, 2.4487023298862916, 0.82444562110585, -2.4487023298862916, 14.55132477880781]",ok,4.8405318688202925,3.383551325282532,1.1069188399928562e-05,-0.0004776386171400082,3.745316708038032e-05,"[2981.620107894775, 4739.9979951364985, 3009.1145005339445, 4783.924198449916, 10113.979748958634]"
T2-3c,600329,0.01778279410038923,18484,5.576176480017663,5.576176480017663,True,0.04581273654578074,0.04581273654578074,0.0003434110399022394,0.49816517818348266,0.003669466440191874,ok,0.00039990698790148826,1.1093556628871681e-14,True,-0.00027261100245956627,1,620.4228106155351,114678.95231417552,9.926359173571303e-06,18512.275966682508,5.585886759140344,4.929897635952418e-12,True,3.694242667190678,7.8112197774644345,621.0762839927581,9.622695553426147e-06,-5.0004565071242974e-17,4.827566560636221e-06,9.898677602715666e-06,-0.0017383594658075818,3.656811714871695e-05,"[0.823318502410433, -2.448371701532001, 0.8233185024104395, -2.4483717015319955, 16.776378380241887]",ok,5.585886758968669,3.6942424982010933,9.89867805503315e-06,-0.0017383594351272347,3.656811714691401e-05,"[3014.895391336376, 4747.111901100591, 2992.5495651676, 4711.630485385089, 10558.56117234404]"
T2-3c,600330,0.01778279410038923,44,0.0557558006312018,0.0557558006312018,True,0.03917525028375671,0.03917525028375671,0.0003773231276774166,0.47444256319361855,0.025487762437929655,placed_back_to_init,1.1835956502903766,4.514268191029014e-14,True,0.7785952163201209,18,1.3707833274554924,0.6031446640804167,0.4936902560532916,,,,,,,,,,,,,,,no_switch_in_range,,,,,,"[229.94534223553765, 121.74332784172528, 242.90810454743806, 117.61783282175048, 6.649959400401141]"
T2-3c,600331,0.01778279410038923,15640,4.633986629145405,4.633986629145405,True,0.0364387252901123,0.0364387252901123,0.00034159930060650545,0.499493533470615,0.0010133861396730646,ok,0.0002033255419870983,1.4224732503009818e-16,True,-0.00012434005029060557,1,595.8959271872511,93198.12301208609,1.237062891249657e-05,15649.22171923743,4.637136761987302,1.1310397063368782e-15,True,3.774839819262341,7.068189892990481,596.1509922185778,1.3473304643467965e-05,0.0,4.5967543475381135e-06,1.2356935992581239e-05,-0.0006793271373231047,4.664545402887168e-05,"[0.8456364375444938, -2.455213398214212, -0.8456364375444939, 2.455213398214212, 13.753625597037672]",ok,4.637136761858387,3.7748398144355413,1.2356936008407156e-05,-0.0006793271095414388,4.664545402896753e-05,"[3227.4990410922774, 4677.872720671109, 3234.6108514914613, 4688.246721957702, 9074.686603775008]"
T2-3c,600332,0.01778279410038923,17869,5.261191910124441,5.261191910124441,True,0.021578870847040604,0.021578870847040604,0.0003428439721800114,0.498336463857538,0.003326941695038639,ok,0.00010474916388503175,7.915109540013177e-15,True,1.4593072179547306e-05,1,511.9379406038378,91478.19060649977,1.2729022597430247e-05,17868.012867865866,5.260853441058101,3.837164960773798e-14,True,4.145058580441422,7.994448808460548,511.9176876145075,1.4782718401550493e-05,0.0,5.57600533051028e-06,1.2730345178748521e-05,6.433729244359476e-05,5.276802651515264e-05,"[0.847160468851245, -2.4558301356684504, 0.847160468851245, -2.4558301356684504, 15.636860659017122]",ok,5.260853441153995,4.145058585887559,1.2730345161825669e-05,6.433727421439883e-05,5.276802651433763e-05,"[2813.811827294797, 3910.9462869402437, 2793.879484228035, 3883.101967628965, 8581.826426413876]"
T2-3c,600333,0.01778279410038923,18717,5.628620960042989,5.628620960042989,True,0.04084183952679159,0.033396725984656095,0.00034304497776949106,0.4995868141274707,0.000826176369898149,ok,0.00011978082013897051,8.857454700250678e-14,True,1.3527861237427885e-05,1,465.3304068158741,87095.89224372715,1.3097476555573856e-05,18715.727224183807,5.628184297386078,4.111294638065033e-14,True,4.420657809484936,8.258354565801447,465.30949882282766,1.0628470573113652e-05,0.0,4.620640290826871e-06,1.3099081284608838e-05,7.758499612631198e-05,5.790655597788403e-05,"[0.8434470724073951, -2.4545141467779623, -0.8434470724073951, 2.4545141467779623, 16.760217045215988]",ok,5.6281842975106455,4.420657810063355,1.3099081282874702e-05,7.758497399179554e-05,5.7906555977794765e-05,"[2498.8299109479444, 3382.435614954375, 2503.216044802416, 3388.4014788138857, 7997.506294792699]"
